문화시설명,전시회,박물관,음악 및 무용 발표회,전통 예술 공연,연극 공연,영화 관람,대중 공연,운동 경기
마포아트센터,0.6353531,0.67414445,0.86508137,0.8872247,0.89544547,0.89920187,0.8956944,0.8059403
포스트극장,0.63394105,0.6360414,0.78805846,0.81772584,0.82639706,0.8676741,0.8358611,0.77139604
연세대학교 김대중도서관,0.6003488,0.65216947,0.8462323,0.8710706,0.8902763,0.90905416,0.8895025,0.79401755
망원한강공원,0.607419,0.6533556,0.8564784,0.87969136,0.895921,0.90186554,0.8957168,0.80734646
홍대 롤링홀,0.6061559,0.63736606,0.79359645,0.8259244,0.8492415,0.8662082,0.8517493,0.7844352
서울시립 난지미술창작스튜디오,0.6124774,0.65747666,0.8559158,0.87321484,0.8940766,0.9073596,0.8920157,0.80358714
서교예술실험센터,0.6477226,0.75432837,0.8143747,0.825872,0.8170754,0.84262824,0.8253139,0.7959595
서울특별시여성능력개발원,0.6083474,0.6490861,0.8176301,0.83856755,0.8405975,0.8453065,0.8476072,0.7829523
KT&G 상상마당 갤러리,0.53304183,0.58259714,0.7100426,0.69372755,0.7101667,0.7161721,0.7066194,0.68022573
서울함 공원,0.5798056,0.61733437,0.83069956,0.8486875,0.87413085,0.88041997,0.8707237,0.77650595
이건하우스,0.6180871,0.65201676,0.8601383,0.88174397,0.8953035,0.90221334,0.89643764,0.8065193
한국천주교순교자박물관,0.46103504,0.46361154,0.61357826,0.6198868,0.6414405,0.62776864,0.6384398,0.5992289
디지털 파빌리온,0.6004871,0.6463123,0.84939694,0.87163115,0.89346385,0.9106244,0.8920233,0.8009492
구립마포청소년문화의집,0.61565804,0.64443815,0.85856616,0.87962174,0.8986983,0.90687156,0.89603066,0.80148554
마포문화원,0.60579264,0.6328455,0.8473625,0.8671821,0.8850386,0.8873038,0.88015693,0.7897629
마포구립서강도서관,0.60855997,0.6538067,0.85048044,0.8761405,0.8929599,0.9072345,0.89346933,0.80351233
서울월드컵경기장,0.61730283,0.6566354,0.86021805,0.8854449,0.8993257,0.90724635,0.90046555,0.80870533
한국영화박물관,0.6237316,0.65230274,0.81113267,0.8263651,0.8259772,0.8342826,0.83532196,0.77988213
tbs(서울특별시미디어재단),0.6110862,0.6399065,0.8528608,0.88245195,0.90118647,0.90333986,0.9014157,0.80280125
이한열기념관,0.6250272,0.6507013,0.8635762,0.88566524,0.90158683,0.9077162,0.8989219,0.8051794
서울에너지드림센터,0.60641026,0.6506265,0.85030806,0.87059176,0.89072305,0.90424234,0.8893758,0.79862785
마포중앙도서관 갤러리,0.6118002,0.6636299,0.8551842,0.87835586,0.89642274,0.9118901,0.89642763,0.805026
에스제이비보이즈,0.63394105,0.6360414,0.78805846,0.81772584,0.82639706,0.8676741,0.8358611,0.77139604
난지한강공원,0.60795224,0.6535233,0.8566817,0.8801903,0.8968811,0.902897,0.89662004,0.80731833
서울생활문화센터 서교,0.5294657,0.5530267,0.702228,0.69912857,0.70645165,0.72714955,0.7091502,0.6607787
마포평생학습관 마포리움,0.63394105,0.6360414,0.78805846,0.81772584,0.82639706,0.8676741,0.8358611,0.77139604
공간 630,0.64484674,0.68831456,0.8703266,0.8841888,0.9033631,0.9213953,0.902004,0.82397246
전쟁과여성인권박물관,0.5887942,0.5971376,0.7870766,0.79600996,0.8197048,0.82264173,0.8225318,0.7255825
미디어 아트 갤러리 언더독뮤지엄,0.5887942,0.5971376,0.7870766,0.79600996,0.8197048,0.82264173,0.8225318,0.7255825
마포여성동행센터,0.5887942,0.5971376,0.7870766,0.79600996,0.8197048,0.82264173,0.8225318,0.7255825
프로타주 갤러리,0.6065501,0.6536123,0.8524871,0.8744539,0.8967438,0.9109987,0.89361787,0.8000149
베짱이홀,0.615651,0.6495829,0.8554995,0.877304,0.89858925,0.9071497,0.8966965,0.79697025
홍익대학교 박물관,0.62761706,0.6641768,0.85784894,0.86936367,0.8793373,0.8754268,0.87632567,0.7990348
서울디자인창업센터,0.60724795,0.64505506,0.8521719,0.8763648,0.8945412,0.9091718,0.8918669,0.80239415
복합문화공간 홍대스페이스M ,0.6079174,0.64541054,0.85377854,0.8773935,0.8970057,0.90793085,0.896089,0.8026296
마포중앙도서관,0.6115643,0.6644317,0.85363585,0.8772337,0.89541817,0.9110612,0.8954724,0.8046042
소담상회 with 아이디어스 크래프트랩,0.5887942,0.5971376,0.7870766,0.79600996,0.8197048,0.82264173,0.8225318,0.7255825
문화비축기지,0.60402036,0.6598317,0.85097754,0.8817686,0.8978853,0.9056998,0.89553964,0.80144316
서울마포음악창작소,0.58212924,0.62158906,0.8285861,0.8447217,0.869142,0.87690437,0.8640754,0.77273405
월드컵공원,0.5977602,0.65339667,0.84457546,0.8660199,0.88481426,0.8933605,0.88392276,0.79174256
