번호,주제분류,문화시설명,문화시설주소,위도,경도,전화번호,팩스번호,홈페이지,관람시간,관람료,휴관일,개관일자,객석수,대표이미지,기타사항,시설소개,무료구분,지하철,버스정거장,YELLOW,GREEN,BLUE,RED,공항버스
67.0,공연장,LG아트센터 서울,서울특별시 강서구 마곡중앙로 136,37.56536299,126.8293888,1661-0017,02-2005-1538,http://www.lgart.com,평일 : 오전9시 ~ 오후6시,,"토,일 공휴일",,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=697a80a322e24ae88ee07962800cdcf6&thumb=Y,주차는 GS타워 지하주차장을 이용하시면됩니다,"<b>■ CHAMBER WALL<br>  <br>  이동형 콘서트 타워 및 천장음향 반사판<br>  </b>공연의 규모와 특성에 맞게 무대공간 크기, 음향조건, 그리고 미관까지 <br>  조절할 수 있는 음악공연을 위한 특수전문설비입니다. <br>  <br>  <b>가변형 음향설비</b><br>  객석 공간의 외벽과 내벽 사이 약 1M 정도 떨어진 틈 사이로 특수제작된 <br>  가변형 음향흡음설비를 설치하여 공연별로 필요한 최적의 음향효과를 <br>  연출합니다. <br>  <br>  <b>■ AUDITORIUM &amp; STAGE</b><br>  <br>  <b>1,103석 규모의 객석과 프로시니엄 무대로 구성<br>  </b>무대바닥의 넓이는 폭 25M 깊이 12.5M이며, 바닥재는 고무패드 위에 상을 올리고 그 위에 12mm의 합판 2겹으로 바탕을 구성하고 그 위에 <br>  단풍나무널을 깔아 무대바닥을 마감하였습니다. 무대 바닥의 뒤틀림을 <br>  방지하기 위해 600mm 간격으로 팽창 조인트를 두어 신축에 대비하였고,<br>  최종적으로 내구성이 강한 도료로 도장하였습니다.<br>  <br>  무대바닥은 그 자체가 탄력성을 지니고 있어 주로 무용수들이 선호하는 <br>  구조이며, 무거운 장치들의 이동 시에도 완충작용을 하여 무대 면의 <br>  손상이나 무대 면과 충돌할 때 충격을 완화시키는 효과를 갖습니다.<br>  <br>  <b>■ CONTROL ROOM<br>  </b><br>  <b>음향조종실<br>  </b>공연장 내에 모든 전기음향과 관련된 장치의 제어를 위한 공간으로 객석 <br>  1층의 후미에 위치하고 있습니다. 무대를 향한 방음창은 필요에 의해 개폐가<br>  가능한 전동창호(Mortorized Window)로 되어 있으며, 음향조종용 콘솔을<br>  이용하기 위한 장비반입구로도 활용되고 있습니다. <br>  <br>  <b>조명조종실</b><br>  조명장치를 제어하기 위한 공간으로 무대가 잘 보이는 객석 1층의 후면의<br>  음향조종실과 나란히 위치하고 잇으며 개폐식 도어를 통하여 공연 시 <br>  음향조종실과 동일 공간으로 운영될 수 있습니다.<br>  <br>  <b>■ LOBBY<br>  <br>  메인 로비<br>  </b>아트센터 메인 로비는 객석부 바닥의 물리적인 경사로 인해 하부층에<br>  나타나는 구조체의 경사를 이용하여 거대한 파형천장을 계획하였고, 이러한<br>  디자인 요소는 역동적인 힘과 시각적인 왜곡현상을 부각시키고자 한<br>  것입니다. 매표/보관/만남의 장소로 이용되며 간단한 식음료 서비스가<br>  제공됩니다.<br>  <br>  <b>객석 로비<br>  </b>객석 로비 바닥과 벽면의 마감에 사용된 브라운 계열의 색상은 온화하고<br>  포근한 느낌을 연출하기 위해 배려된 주 색채이며, 부분적으로 출입구에는<br>  관객의 인지도를 높이기 위해 로열블루컬러를 사용하였습니다. 특징적으로 <br>  천정은 골드계통의 색상을 사용함으로써 전체적으로 통일감과 균형감을 <br>  주었습니다. <br>  <br>  <b>■ REHEARSAL ROOM<br>  <br>  </b>오피스 타워의 지하 2층에 위치한 리허설 룸은 11Mx18M의 연습용 공간과<br>  남녀탈의실 및 샤워실을 갖추고 있습니다. <br>  연습실 바닥은 연기자의 관절을 보호하기 위해 탄력성 있는 구조의 <br>  단풍나무로 마감되어 있으며, 벽면에는 양측에 전면 거울 및 커튼을<br>  설치하여 연기자가 스스로 바라보며 연습할 수 있도록 배려하였습니다.<br>  &nbsp;<br>  <br>  <b>■ 건축구조분리공법<br>  </b><br>  공연장 건물의 하부 및 측벽에는 건축구조분리체가 설치되어 있어, 주변의<br>  어떤 소음도 공연장 내부로 유입되는 것을 방지합니다. 이는 국내<br>  공연장에서는 처음으로 도입된 공법으로 아티스트와 관객 모두에게 무소음 <br>  공연 환경을 제공합니다.",무료,,,,,,,
97.0,공연장,스카이아트홀,서울특별시 강서구 화곡로63길 65 B1,37.55797384,126.8491891,02.2657.9757,,https://skyarthall.modoo.at/,,0,매주 일요일,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=89a18073ff324953b41a04171612c23d&thumb=Y,,"<span style='font-size: 12pt;'>스카이아트홀은 2023년 리뉴얼 개관하여 다양한 공연을 대중들에게 선보이고 있는 전문 콘서트 홀로 980석의 규모로 전문적인 무대 시설과 함께 다양한 라이브 공연이 가능한 공연장입니다. 지하철 5호선 발산역, 가양역 근처에 위치하여 국내외 가수 콘서트, 기업 및 학교의 행사, 런칭쇼 등을 진행하기에 최고의 아트홀 입니다.</span>",무료,,,,,,,
98.0,기타,국립국어원 우리말 꿈터,서울특별시 강서구 금낭화로 154,37.57915505,126.8138354,02-2669-9775,,https://www.korean.go.kr/,,,"토ㆍ일요일, 관공서의 공휴일",,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100914&thumb=Y,,"<div style='text-align: center;' align='center'><span style='font-size: 14pt;'>'우리말 꿈터'는 우리말에 관한 여러 주제를 활동 중심으로 구성한 청소년 체험 공간입니다.</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>'우리말 꿈터' 체험은 사전 예약제로 운영되며, 전담강사(2명)가 체험을 직접 지도합니다.</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>자세한 프로그램은 국립국어원 누리집&nbsp;</span><span style='font-size: 18.6667px;'>에서 확인해 주세요.</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'><b><u><a href='http://www.korean.go.kr' target='_blank'>www.korean.go.kr</a></u></b></span></div>",무료,,,,,,,
105.0,박물관/기념관,허준박물관,서울특별시 강서구 허준로 87,37.56787245,126.8510312,02) 3661-8686,,http://www.heojun.seoul.kr/,,,없음,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=63b4169d516048328a657e7e9ad07727&thumb=Y,,"<div style='text-align: center;' align='center'><span style='font-size: 14pt;'>구암 허준 선생의 학문적 업적을 기리고자 개관한 공립박물관입니다.</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>이곳을 찾는 모든 분들께 유익하고, 친숙한 박물관, 다시 찾고 싶은</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>박물관이 되도록 최선을 다하겠습니다.</span></div><div style='text-align: center;' align='center'><span style='font-size: 12px;'><br></span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>허준박물관 홈페이지를 찾아주신 여러분께 진심으로 감사의 말씀을 드립니다.</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>구암 허준(1537~1615) 선생은 우리나라를 대표하는 의학자로서, 옛 양천현인 서울 강서구에서 태어나시고 돌아가셨습니다.</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>허준박물관은 허준 선생의 학문적 업적과 생애를 널리 기리고자, 서울 강서구에서 2005년 설립하였습니다.</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>그의 저서 &lt;동의보감&gt;은 의서로서는 최초로 유네스코 세계기록유산으로 등재되었고, 뒤이어 국보 제319호로 지정 되었습니다.</span></div><div style='text-align: center;' align='center'><span style='font-size: 12px;'><br></span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>허준 선생의 각종 저서를 비롯한 한의서, 내의원과 한의원 재현, 다양한 약초와 약재들을 전시하고 있으며, 침을 놓아 보거나&nbsp;</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>약재를 직접 싸보는 등 한의학을 직접 체험해 볼 수 있습니다.</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>&lt;동의보감&gt;에 나오는 약초 120여종을 심어 놓은 약초원은 훌륭한 자연 체험학습장 역할을 하고 있으며, 서울에서 가장 전망&nbsp;</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>좋은 곳 중의 하나로 선정되기도 하였습니다.</span></div><div style='text-align: center;' align='center'><span style='font-size: 12px;'><br></span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>올해 개관 11주년을 맞아 전시실 내부를 대폭 리모델링하여 여러분께 새롭게 선보입니다.</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>보다 많은 관심과 관람을 부탁드립니다.</span></div><div style='text-align: center;' align='center'><span style='font-size: 12px;'><br></span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>박물관은 과거와 현재 그리고 미래를 담는 그릇이라 하듯이, 과거의 자료들을 통해 현재를 잘 인식하고, 미래의 꿈을 키울 수 있는 곳입니다.</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>아울러 박물관의 중요한 역할인 수집, 연구, 전시, 체험, 교육 등을 통해 여러분께 유익한 지식의 터전이자 복합문화공간으로서 사명을&nbsp;</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>다할 것이며, 이곳을 찾는 모든 분들께 유익하고, 친숙한 박물관, 다시 찾고 싶은 박물관이 되도록 최선을 다하겠습니다.</span></div><div style='text-align: center;' align='center'><span style='font-size: 12px;'><br></span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>여러분을 허준박물관으로 초대합니다.</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>감사합니다!</span></div><div style='text-align: center;' align='center'><span style='font-size: 12px;'><br></span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>- 허준박물관 관장 -</span></div>",무료,,,,,,,
106.0,공연장,서울강서문화원,서울특별시 강서구 가로공원로 195,37.53754309,126.8376421,02-2607-4233,,http://www.kcc2000.or.kr,,,"공휴일, 국경일",,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=fb81ad818e6f4232b26264a13aa26306&thumb=Y,,"<div style='text-align: center;' align='center'><span style='font-size: 14pt;'>강서문화원은 향토사조사연구, 문화자료, 수집 보존, 문화행사 개최, 지역 문화에 관한 사회교육 등의 운영을 하고 있다.</span></div>",무료,,,,,,,
107.0,도서관,아리향기작은도서관,서울특별시 강서구 양천로67가길 63,37.55375866,126.8709681,02-2600-7326,,https://lib.gangseo.seoul.kr/SmallLibrary,,,공휴일,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100920&thumb=Y,,<p>강서구 작은도서관은 구민이 운영하는 도서관으로 집에서 걸어서 10분내 거리에 위치하고 있습니다. 지식?정보 제공뿐 아니라 다양한 독서?문화 프로그램 운영을 통해 문화 사랑방 역할을 하는 지역 주민의 소통 공간입니다.</p><p><br></p><p><b>대출권수</b> 도서 3권</p><p><b>대출기간</b> 14일간(1회에 한하여 7일 연장가능)</p><p><b>이용가능 서비스&nbsp;</b></p><p>- 도서 열람ㆍ대출ㆍ반납</p><p>- 구립도서관 회원가입</p><p>- 구립도서관 책두레서비스 이용</p><p>- 독서ㆍ문화 프로그램 수강 등</p>,무료,,,,,,,
170.0,미술관,겸재정선미술관,서울특별시 강서구 양천로47길 36,37.57222297,126.838412,02-2659-2206,,http://gjjs.or.kr/,,,매주월요일/1월1일/설날/추석당일,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=d88e1fe0ffcf4d8f8618323533005e28&thumb=Y,,"<div style='text-align: center;' align='center'><span style='font-size: 14pt;'>미술관은 우선 몇 가지 소박한 꿈을 갖고 있습니다.</span><br></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>첫 번째,</span></div><div style='text-align: center;' align='center'><span style='font-size: 12px;'><br></span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>교육에서 우리 모두 자랑스러운 겸재 전문가가 되는 심정으로 질 높은 교육의 확산과 체험, 심화를 통하여 생활&nbsp;</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>속의 겸재를 되살리고 국민화가로서의 위상을 고양해 나가고 싶습니다.</span></div><div style='text-align: center;' align='center'><span style='font-size: 12px;'><br></span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>두 번째,</span></div><div style='text-align: center;' align='center'><span style='font-size: 12px;'><br></span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>권위 있고 창의적이며 누구에게나 알려진 전시를 통하여 살아 있는 미술관이 되기를 지향할 것이며 모두 참여하</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>고 싶은 공모전, 최상의 브랜드를 지닌 기획전 등을 열었으면 합니다.</span></div><div style='text-align: center;' align='center'><span style='font-size: 12px;'><br></span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>세 번째,</span></div><div style='text-align: center;' align='center'><span style='font-size: 12px;'><br></span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>연구영역에서 겸재 연구 자료를 조사하고 그 성과물들의 축적과 교류를 도모하며 연구 학술지를 발간하는 등 겸</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>재 연구의 중심허브가 되었으면 합니다. 그리고 원화 소장의 한계를 넘어서기 위해 겸재 현존작품 모두를 영인하</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>고 싶은 바람을 갖고 있습니다.</span></div><div style='text-align: center;' align='center'><span style='font-size: 12px;'><br></span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>이와 함께 지역문화와 예술의 특성화에 기여하고 강서구민의 정신적 쉼터와 문화향유의 본산지가 되기를 염원합</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>니다. 이를 통해 중앙중심부 문화와 주변문화가 서로 소통하며 상승상생 발전하는 터전이 되기를 바랍니다.</span></div><div style='text-align: center;' align='center'><span style='font-size: 12px;'><br></span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>이런 일들은 미술문화를 아끼는 모든 이들의 적극적인 지지와 후원으로만 이루어 질 수 있는 것으로 계속적인&nbsp;</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>관심과 사랑을 보내주시길 간구합니다.</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>오늘의 겸재 정선이 있기까지 마음과 물질을 다하여 도와주신 여러분들께 다시 한 번 감사드립니다.</span></div>",무료,,,,,,,
215.0,기타,등촌지역정보센터,서울특별시 강서구 화곡로63길 96,37.55892531,126.8478668,02-2600-7440,,https://www.gangseo.seoul.kr/reserve/re010401,,,"일요일,국경일,법정공휴일",,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=5e395b643be749689f922ff6cb18eb6b&thumb=Y,,"<b><font size='4' face='돋움'>시설 및 이용안내<br>  </font></b><br>  <br>  ■ 이용자격 : 주민등록이 강서구에 등재된 구민<br>  <br>  ■&nbsp; 정보관 이용시간 <br>  <br>   <table style='BORDER-COLLAPSE: collapse' border='1' cellspacing='0' bordercolor='#666666' summary='정보관 이용시간에 대한 내용을 보실 수 있습니다' cellpadding='5'> <colgroup> <col width='40%'> <col width='60%'></colgroup> <thead> <tr style='BACKGROUND: #bfbfbf'> <th scope='col'>구분</th> <th scope='col'>운영시간</th></tr></thead> <tbody> <tr> <td style='PADDING-BOTTOM: 5px; PADDING-LEFT: 5px; PADDING-RIGHT: 5px; PADDING-TOP: 5px'>평일</td> <td style='PADDING-BOTTOM: 5px; PADDING-LEFT: 5px; PADDING-RIGHT: 5px; PADDING-TOP: 5px'>09:00 ~ 18:00</td></tr> <tr> <td style='PADDING-BOTTOM: 5px; PADDING-LEFT: 5px; PADDING-RIGHT: 5px; PADDING-TOP: 5px'>토요일</td> <td style='PADDING-BOTTOM: 5px; PADDING-LEFT: 5px; PADDING-RIGHT: 5px; PADDING-TOP: 5px'>수업시에만 운영</td></tr> <tr> <td style='PADDING-BOTTOM: 5px; PADDING-LEFT: 5px; PADDING-RIGHT: 5px; PADDING-TOP: 5px'>휴관일</td> <td style='PADDING-BOTTOM: 5px; PADDING-LEFT: 5px; PADDING-RIGHT: 5px; PADDING-TOP: 5px'>일요일,국경일,법정공휴일</td></tr></tbody></table><br>  ■&nbsp; 시설현황<br><br>   <div style='CLEAR: both'> <table style='BORDER-COLLAPSE: collapse' border='1' cellspacing='0' bordercolor='#666666' summary='강서시설현황에 대한 내용을 보실 수 있습니다' cellpadding='5'> <colgroup> <col width='40%'> <col width='60%'></colgroup> <thead> <tr style='BACKGROUND: #bfbfbf'> <th scope='col'>구분</th> <th scope='col'>주요시설</th></tr></thead> <tbody> <tr> <td style='PADDING-BOTTOM: 5px; PADDING-LEFT: 5px; PADDING-RIGHT: 5px; PADDING-TOP: 5px' rowspan='4'> <p align='center'>4층전산정보실</p></td> <td style='PADDING-BOTTOM: 5px; PADDING-LEFT: 5px; PADDING-RIGHT: 5px; PADDING-TOP: 5px'>휴게실</td></tr> <tr> <td style='PADDING-BOTTOM: 5px; PADDING-LEFT: 5px; PADDING-RIGHT: 5px; PADDING-TOP: 5px'>노트북코너(5석)</td></tr> <tr> <td style='PADDING-BOTTOM: 5px; PADDING-LEFT: 5px; PADDING-RIGHT: 5px; PADDING-TOP: 5px'>인터넷코너(13석)</td></tr> <tr> <td style='PADDING-BOTTOM: 5px; PADDING-LEFT: 5px; PADDING-RIGHT: 5px; PADDING-TOP: 5px'>교육장(24석)</td></tr></tbody></table></div><br>■&nbsp;&nbsp;정보관 이용안내<br>  <br>  &nbsp;- 주민등록이 강서구에 등재된 구민<br>  &nbsp;- 모집일 :지역신문 강서 까치뉴스의 배포일인 매월 25일을 기준으로 하여 3~4일이 경과된 날로 정하되 신청일 및 교육일정을 까치뉴스에 게재하며, 본 홈페이지에 게시한다.<br>  &nbsp;- 신청방법 :교육의 신청은 강서구민임을 확인할 수 있는 신분증 및 핸드폰을 가지고 본인이 직접 내방하거나 강서구청홈페이지에서 인터넷 접수로 신청 한다.<br>  <br>",무료,,,,,,,
220.0,도서관,강서구립길꽃어린이도서관,서울특별시 강서구 금낭화로24길 5,37.57870758,126.8138116,02-2663-4764~5,,https://gilkkot.gangseo.seoul.kr/,,,매주 월요일 및 법정공휴일,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100802&thumb=Y,,"<br>  ■ 길꽃어린이도서관<br>  <br>  - 시설현황<br>  &nbsp;위 치 : 서울시 강서구 금낭화로24길5 <br>  &nbsp;부지면적: 1010.9㎡ <br>  &nbsp;연면적: 539.02㎡ (지하1층,지상3층)&nbsp; <br>  &nbsp;열람석수: 총 100석 (2층 45석 +온돌 / 3층 55석 + 온돌)&nbsp;<br>  - 문의<br>  &nbsp;전화: 02) 2663 - 4764~5<br>  &nbsp;팩스: 02) 2663 - 4766&nbsp;<br>  <br>  -&nbsp;오시는 길<br>  &nbsp;지하철 5호선 방화역 1번 출구로 나오시면, 도보로 5분거리 입니다.&nbsp;<br>  &nbsp;601, 642, 651, 6629, 6646 방화3동사무소 앞 하차&nbsp;<br>  <br>  <br><br>",무료,,,,,,,
546.0,박물관/기념관,기생충박물관,서울특별시 강서구 화곡로 333,37.55362014,126.8507501,02-2601-3283,,http://www.parasite.or.kr/,,0,"일요일, 공휴일",,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=f5f115388d8a40f7b2daab95568b6b9b&thumb=Y,,"<p class='0' style='layout-grid-mode:none;mso-pagination:none;text-autospace:none;mso-padding-alt:0pt 0pt 0pt 0pt;mso-font-width:100%;letter-spacing:-0.4pt;mso-text-raise:0pt;font-size:13.0pt;'><span style='mso-fareast-font-family:휴먼명조;letter-spacing:-0.4pt;font-size:13.0pt;'>기생충박물관은 기생충을 전문으로 전시하고 있는 국내 최초</span><span lang='EN-US' style='font-family:휴먼명조;mso-ascii-font-family:휴먼명조;mso-font-width:100%;letter-spacing:-0.4pt;mso-text-raise:0pt;font-size:13.0pt;'>?</span><span style='mso-fareast-font-family:휴먼명조;letter-spacing:-0.4pt;font-size:13.0pt;'>국내 유일의 박물관입니다</span><span lang='EN-US' style='font-family:휴먼명조;mso-ascii-font-family:휴먼명조;mso-font-width:100%;letter-spacing:-0.4pt;mso-text-raise:0pt;font-size:13.0pt;'>.&nbsp;</span></p><p class='0' style='layout-grid-mode:none;mso-pagination:none;text-autospace:none;mso-padding-alt:0pt 0pt 0pt 0pt;mso-font-width:100%;letter-spacing:-0.4pt;mso-text-raise:0pt;font-size:13.0pt;'><span style='mso-fareast-font-family:휴먼명조;letter-spacing:-0.4pt;font-size:13.0pt;'>한국건강관리협회에서 보건위생 교육의 필요성을 국민들에게 알리기 위하여 설립한 비영리 문화기관으로,</span></p><p class='0' style='layout-grid-mode:none;mso-pagination:none;text-autospace:none;mso-padding-alt:0pt 0pt 0pt 0pt;mso-font-width:100%;letter-spacing:-0.4pt;mso-text-raise:0pt;font-size:13.0pt;'><span lang='EN-US' style='font-family:휴먼명조;mso-ascii-font-family:휴먼명조;mso-font-width:100%;letter-spacing:-0.4pt;mso-text-raise:0pt;font-size:13.0pt;'>2017</span><span style='mso-fareast-font-family:휴먼명조;letter-spacing:-0.4pt;font-size:13.0pt;'>월 </span><span lang='EN-US' style='font-family:휴먼명조;mso-ascii-font-family:휴먼명조;mso-font-width:100%;letter-spacing:-0.4pt;mso-text-raise:0pt;font-size:13.0pt;'>12</span><span style='mso-fareast-font-family:휴먼명조;letter-spacing:-0.4pt;font-size:13.0pt;'>월 </span><span lang='EN-US' style='font-family:휴먼명조;mso-ascii-font-family:휴먼명조;mso-font-width:100%;letter-spacing:-0.4pt;mso-text-raise:0pt;font-size:13.0pt;'>19</span><span style='mso-fareast-font-family:휴먼명조;letter-spacing:-0.4pt;font-size:13.0pt;'>일 설립되었으며</span><span lang='EN-US' style='font-family:휴먼명조;mso-ascii-font-family:휴먼명조;mso-font-width:100%;letter-spacing:-0.4pt;mso-text-raise:0pt;font-size:13.0pt;'>, 2018</span><span style='mso-fareast-font-family:휴먼명조;letter-spacing:-0.4pt;font-size:13.0pt;'>년 </span><span lang='EN-US' style='font-family:휴먼명조;mso-ascii-font-family:휴먼명조;mso-font-width:100%;letter-spacing:-0.4pt;mso-text-raise:0pt;font-size:13.0pt;'>6</span><span style='mso-fareast-font-family:휴먼명조;letter-spacing:-0.4pt;font-size:13.0pt;'>월 </span><span lang='EN-US' style='font-family:휴먼명조;mso-ascii-font-family:휴먼명조;mso-font-width:100%;letter-spacing:-0.4pt;mso-text-raise:0pt;font-size:13.0pt;'>26</span><span style='mso-fareast-font-family:휴먼명조;letter-spacing:-0.4pt;font-size:13.0pt;'>일자로 서울시 </span><span lang='EN-US' style='font-family:휴먼명조;mso-ascii-font-family:휴먼명조;mso-font-width:100%;letter-spacing:-0.4pt;mso-text-raise:0pt;font-size:13.0pt;'>1</span><span style='mso-fareast-font-family:휴먼명조;letter-spacing:-0.4pt;font-size:13.0pt;'>종 전문박물관으로 정식 등록되었습니다</span><span lang='EN-US' style='font-family:휴먼명조;mso-ascii-font-family:휴먼명조;mso-font-width:100%;letter-spacing:-0.4pt;mso-text-raise:0pt;font-size:13.0pt;'>. </span></p><p class='0' style='layout-grid-mode:none;mso-pagination:none;text-autospace:none;mso-padding-alt:0pt 0pt 0pt 0pt;letter-spacing:-0.4pt;font-size:13.0pt;'><span style='font-family:휴먼명조;letter-spacing:-0.4pt;font-size:13.0pt;'><!--[if !supportEmptyParas]-->&nbsp;<!--[endif]--><o:p></o:p></span></p><p class='0'><span style='mso-fareast-font-family:휴먼명조;letter-spacing:-0.4pt;font-size:13.0pt;'>기생충박물관은 기생충과 관련된 옛 고문서와 국내외의 다양한 실제 표본을 전시 하고 있으며</span><span lang='EN-US' style='font-family:휴먼명조;mso-ascii-font-family:휴먼명조;mso-font-width:100%;letter-spacing:-0.4pt;mso-text-raise:0pt;font-size:13.0pt;'>,&nbsp;</span></p><p class='0'><span style='mso-fareast-font-family:휴먼명조;letter-spacing:-0.4pt;font-size:13.0pt;'>박물관을 방문한 학생들에게 기생충 및 생명과학 분야에 대한 이해를 높이기 위하여&nbsp;</span></p><p class='0'><span style='mso-fareast-font-family:휴먼명조;letter-spacing:-0.4pt;font-size:13.0pt;'>연령 및 방문목적에 맞는 전문 도슨트의 전시해설과 교육 프로그램을 무상으로 제공하고 있습니다</span><span lang='EN-US' style='font-family:휴먼명조;mso-ascii-font-family:휴먼명조;mso-font-width:100%;letter-spacing:-0.4pt;mso-text-raise:0pt;font-size:13.0pt;'>.</span></p>",무료,,,,,,,
