번호,주제분류,문화시설명,문화시설주소,위도,경도,전화번호,팩스번호,홈페이지,관람시간,관람료,휴관일,개관일자,객석수,대표이미지,기타사항,시설소개,무료구분,지하철,버스정거장,YELLOW,GREEN,BLUE,RED,공항버스
49.0,문화예술회관,육영재단 어린이회관,서울특별시 광진구 광나루로 441,37.547246,127.0783044,02-2204-6028,,http://www.yookyoung.org/site/main/main.jsp,3월 ~ 10월 09:30 ~ 17:3011월 ~ 2월 09:30 ~ 16:30,"어른: 1,000 원중고생: 700원어린이: 500원단체할인: 20% 할인무료관람: 6세 이하, 65세 이상",정보없음,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100104&thumb=Y,,"<div style='text-align: center;' align='center'><span style='font-size: 14pt;'>어린이의 건전한 육성을 위해 건립된 복지회관. 1969년 4월에 설립된 재단법인 육영재단이 1970년 7월 서울 남산(南山)에 개관하였으며,&nbsp;</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>1974년 10월 남산 어린이회관을 국립중앙도서관에 이양하고 광진구(廣津區) 능동(陵洞)의 새 회관으로 이관하였다. 건축 연면적 1만 7000㎡로&nbsp;</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>과학관과 문화관 및 체육시설로 나누어져 있다. 과학관에는 생활과학전시실?우주과학전시실?컴퓨터교실?천체과학관?과학실험실?시청각실 등이 있고,&nbsp;</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>문화관에는 올림픽전시장?무지개극장?도서실?음악실?무용실?유치원?태권도교실 등이 있다. 체육시설로는 대형체육관?운동장?야구장?사격장?스케이트장</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>?수영장 등이 있고, 그 밖에 각종 놀이시설이 갖추어져 있다. 야외상설무대에서는 어린이를 위한 각종 연극이 공연되며, 또한 세계아동미술전람회?</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>어린이그림그리기대회 등 어린이의 건전한 육성을 위한 행사도 거행된다.</span></div>",유료,,,,,,,
64.0,도서관,자양4동도서관, 서울특별시 광진구 뚝섬로26길 58 (자양동),37.5340938,127.066226,02-465-0737~8,02-465-0739,https://www.gwangjinlib.seoul.kr/jy4dong/index.do,,,정보없음,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100751&thumb=Y,,"<p> </p><table border='0' cellspacing='0' cellpadding='0' width='100%'> <tbody> <tr> <td style='PADDING-BOTTOM: 10px; PADDING-LEFT: 25px; PADDING-RIGHT: 25px; PADDING-TOP: 10px' colspan='3'> <table style='PADDING-BOTTOM: 1px; PADDING-TOP: 2px' border='0' cellspacing='0' cellpadding='0' width='100%'> <tbody> <tr> <td rowspan='8' width='10'></td> <td width='70'>위 치 :</td> <td>서울시 광진구 자양4동 63-1번지 복합청사內 지상 1층</td></tr> <tr> <td>&nbsp;규 모 :</td> <td>대지 333.20㎡, 건물 333.20㎡(100.79평) </td></tr> <tr> <td>&nbsp;총열람석 :</td> <td>98석</td></tr> <tr> <td>PC 현황 :</td> <td>총 20대</td></tr> <tr> <td></td> <td>- 서비스용 : 10대<br>  - 검색용 : 4대<br>  - 업무용 : 6대</td></tr><!--<tr>            <td valign='top' rowspan='2'><img src='../image_kjl/common/semo.gif' />              주요시설 :</td>           <td><p>① <font color='#0033CC'>도서관동</font> : 종합자료실, 멀티미디어실, 디지털강의실 , 가족                / 어린이열람실,  E-book/<br />   		      <img src='' width=74 height=1 />디지털정보실, 종합안내, 연속간행물실, 경독서실, 구내식당, 관리과 ? 사서과 <br />   			  <img src='' width=74 height=1 />사무실, 운영팀장실 ? 기획운영 회의실, 옥상정원...</p>           </td>         </tr>         <tr>            <td>② <font color='#0033CC'>문화동</font> : 영화음악감상실, 이야기방, 일반열람실 I II III, 휴게시설...</td>         </tr>--></tbody></table><br>   <table border='0' cellspacing='0' cellpadding='0' width='100%'> <tbody> <tr> <td style='PADDING-BOTTOM: 5px; PADDING-LEFT: 10px; PADDING-RIGHT: 10px; PADDING-TOP: 10px' colspan='2'><b>이용시간</b></td></tr> <tr> <td style='PADDING-BOTTOM: 30px; PADDING-LEFT: 10px' colspan='2'> <table style='BORDER-BOTTOM: rgb(164,164,164) 1px solid; BORDER-LEFT: rgb(164,164,164) 1px solid; PADDING-BOTTOM: 6px; PADDING-LEFT: 10px; PADDING-RIGHT: 6px; BORDER-COLLAPSE: collapse; BORDER-TOP: rgb(164,164,164) 1px solid; BORDER-RIGHT: rgb(164,164,164) 1px solid; PADDING-TOP: 6px' border='1' cellspacing='0' bordercolor='#c2c2c2' cellpadding='0' width='100%' bgcolor='#fef8ef'> <tbody> <tr align='center' bgcolor='#e6e6e6'> <td width='40%'>구 분</td> <td bgcolor='#e6e6e6' width='20%'>하절기(3-10월)</td> <td bgcolor='#e6e6e6' width='20%'>동절기(11-2월) </td> <td bgcolor='#e6e6e6' width='20%'>토요일 / 일요일</td></tr> <tr> <td bgcolor='#fef2e2' align='center'>종합자료실 <br>  (일반인코너 / 아동ㆍ청소년코너 / 유아방) <br>  </td> <td align='center'>09:00 ~ 20:00<br>  </td> <td align='center'>09:00 ~ 19:00</td> <td rowspan='3' align='center'>09:00 ~ 17:00</td></tr> <tr> <td bgcolor='#fef2e2' align='center'>멀티미디어실<br>  </td> <td align='center'>09:00 ~ 18:00<br>  </td> <td align='center'>09:00 ~ 18:00</td></tr> <tr> <td bgcolor='#fef2e2' align='center'>소강의실</td> <td align='center'>09:00~18:00</td> <td align='center'>09:00~18:00</td></tr></tbody></table></td></tr> <tr> <td style='PADDING-LEFT: 10px' colspan='2'></td></tr> <tr> <td></td> <td></td></tr> <tr> <td style='PADDING-LEFT: 10px'><b>휴관일</b></td> <td align='right'><img src='http://www.gwangjinlib.seoul.kr/KJL/Html/image_kjl/intro/close_ja.gif'></td></tr> <tr> <td style='PADDING-BOTTOM: 10px; PADDING-LEFT: 10px; PADDING-RIGHT: 10px; PADDING-TOP: 0px' colspan='2'> <table style='BORDER-BOTTOM: rgb(210,210,210) 1px solid; BORDER-LEFT: rgb(210,210,210) 1px solid; BORDER-TOP: rgb(210,210,210) 1px solid; BORDER-RIGHT: rgb(210,210,210) 1px solid' border='0' cellspacing='3' cellpadding='3' width='100%'> <tbody> <tr> <td style='BORDER-BOTTOM: rgb(187,187,187) 1px solid; BORDER-LEFT: rgb(187,187,187) 1px solid; PADDING-BOTTOM: 20px; LINE-HEIGHT: 170%; PADDING-LEFT: 20px; PADDING-RIGHT: 20px; BORDER-TOP: rgb(187,187,187) 1px solid; BORDER-RIGHT: rgb(187,187,187) 1px solid; PADDING-TOP: 20px' bgcolor='#f3f3f3'> <p><b><font color='#3399cc'>1. </font></b><font color='#ff0000'><span class='style2'>매월 첫째,셋째 화요일(정기휴관)</span><br>  </font><b><font color='#3399cc'>2. </font></b><font color='#ff0000'><span class='style2'>국경일, 일요일을 제외한 국가지정공휴일, 임시공휴일<br>  </span><span class='style2'><b>(단, 일요일과 국경일, 국가지정공휴일, 임시공휴일이 겹치는 경우 휴관) </b></span><br>  </font><b><font color='#3399cc'>3. </font></b><span class='style2'><font color='#ff0000'>장서 점검 및 관장이 필요하다고 인정하는 날 </font></span></p></td></tr></tbody></table></td></tr></tbody></table></td></tr> <tr> <td style='PADDING-BOTTOM: 35px; PADDING-LEFT: 35px; PADDING-RIGHT: 35px; PADDING-TOP: 30px' colspan='3'> <table style='BORDER-BOTTOM: rgb(164,164,164) 1px solid; TEXT-ALIGN: center; BORDER-LEFT: rgb(164,164,164) 1px solid; PADDING-BOTTOM: 5px; PADDING-LEFT: 10px; PADDING-RIGHT: 5px; BORDER-COLLAPSE: collapse; BORDER-TOP: rgb(164,164,164) 1px solid; BORDER-RIGHT: rgb(164,164,164) 1px solid; PADDING-TOP: 5px' border='1' cellspacing='0' bordercolor='#c2c2c2' cellpadding='0' width='100%' bgcolor='#eefff7'> <tbody> <tr align='center'> <td bgcolor='#e6e6e6' width='10%'><b>구분</b></td> <td bgcolor='#e6e6e6' width='10%'><b>층별</b></td> <td bgcolor='#e6e6e6' width='21%'><b>용도</b></td> <td bgcolor='#e6e6e6' width='11%'><b>면적㎡</b></td> <td bgcolor='#e6e6e6' width='10%'><b>좌석수</b></td> <td bgcolor='#e6e6e6' width='38%'><b>비고</b></td></tr> <tr> <td bgcolor='#d0faef' rowspan='4' align='center'><img alt='' src='http://www.gwangjinlib.seoul.kr/KJL/Html/image_kjl/intro/equip_sec04.gif'></td> <td rowspan='4'>지상1층</td> <td class='style01' bgcolor='#fffbf0'>종합자료실</td> <td>175.39㎡</td> <td>74</td> <td class='style01' bgcolor='#ffffff'>- 일반서 7,821권<br>  - 아동서 7,052권<br>  (유아서 포함)<br>  - 일반, 어린이, 청소년,유아도서 열람</td></tr> <tr> <td class='style01' bgcolor='#fffbf0'>멀티미디어실</td> <td>23.56㎡</td> <td>10</td> <td class='style01' bgcolor='#ffffff'>- 정보검색 및 동영상 강의 청취</td></tr> <tr> <td class='style01' bgcolor='#fffbf0'>강의실 및 사무실</td> <td>51.39㎡</td> <td>14</td> <td class='style01' bgcolor='#ffffff'>- 각종 도서모임 및 독서회 지도<br>  - 업무용 공간 </td></tr> <tr> <td class='style01' bgcolor='#fffbf0'>공유면적</td> <td>82.86㎡</td> <td>-</td> <td class='style01' bgcolor='#ffffff'>- 로비</td></tr> <tr height='28' bgcolor='#cecece'> <td colspan='3'><b>계</b></td> <td><b>333.20㎡</b></td> <td><b>98석</b></td> <td><b>14,873권</b></td></tr></tbody></table><br>  <br>  </td></tr></tbody></table><p></p>",무료,,,,,,,
68.0,도서관,광진정보도서관,서울특별시 광진구 아차산로78길 90 (광장동),37.5507093,127.1103315,02-3437-5092~5,02-3437-0165,https://www.gwangjinlib.seoul.kr/gjinfo/index.do,,,"둘째, 넷째주 화요일",2000.11.10,도서관 자료열람실  220석 / 문화동 일반열람실 348석 / 문화동 영화음악감상실 160석,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100750&thumb=Y,■ 관람시간  평일 - 종합자료실 : 09:00-22:00        어린이열람실 : 09:00-18:00        일반열람실 : 07:00-23:00 주말 - 종합자료실/어린이열람실 : 09:00-17:00        일반열람실 : 07:00-22:00,"<div style='text-align: center;' align='center'><span style='font-size: 12pt;'>저희 광진정보도서관은 광진구 광장동에 위치한 '한강이 보이는 도서관'으로 유명하며 다양한 문화 프로그램을 기획하여 주민과 소통하고 주민과 지역사회를 연결시켜주는 광진구의 대표 도서관입니다.</span></div><div style='text-align: center;' align='center'><span style='font-size: 12pt;'>도서관 건물은 도서관동과 문화동으로 나누어져 있으며 구름다리로 서로 연결되어 있습니다.&nbsp;</span></div><div style='text-align: center;' align='center'><span style='font-size: 12pt;'>도서관동은 종합안내, 어린이열람실, 멀티미디어,연속간행물실, 종합자료실, 도서관운영팀사무실로 운영되며 문화동은 영화음악감상실, 이야기방, 일반열람실과 휴게시설로 운영되고 있습니다.</span></div>",무료,,,,,,,
88.0,박물관/기념관,건국대학교 박물관,서울특별시 광진구 능동로 120,37.53918267,127.0747119,0507-1430-3880,,http://www.konkuk.ac.kr/do/Museum/Index.do,화~금 11:00~16:00,무료,"토,일요일, 공휴일 방학기간중",,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100111&thumb=Y,,"<div style='text-align: center;' align='center'><span style='font-size: 14pt;'>본교 박물관은 1963년 3월에 대학의 기본적인 문화기관의 하나로 발족하여 우리 조상의 얼이 깃든 역사 유물을 수집, 보존, 전시함으로써&nbsp;</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>본교 교직원 및 학생, 동문, 일반인의 문화 와 역사의식 고취에 기여하고 있다. 또한 본교 설립자 고(故) 상허(常虛) 유석창(劉錫昶) 박사의&nbsp;</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>유품과 본교의 역사자료도 수집, 전시하여 &lt;애교심과 자긍심을 높이는 데 활용하도록 하고 있다. 역사유물로는 구석기시대로부터 초기철</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>기시대에 이르는 선사유물과 삼국시대 이래 조선시대까지의 토기, 도자기, 금속공예품, 목공예품, 서화, 서책류, 민속자료 등을 비롯한 5,3</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>00 여점의 유물을 소장하고 있다.</span></div>",무료,,,,,,,
191.0,박물관/기념관,서울상상나라,서울  광진구 능동로 216,37.55055,127.077569,02-6450-9500,02-6450-9540,www.seoulchildrensmuseum.org,오전 10시 ~ 오후 6시 (입장마감 오후 4시),36개월 이상 4천원,"매주 월요일, 1월 1일, 설날?추석연휴, 보수기간",2013년 05월 02일,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=4462cabcd74c4d9a9fff66d4efeebf9f&thumb=Y,"36개월 미만, 국민기초수급생활자 및 자녀, 한부모가족, 장애인 및 동반성인 1인, 만 65세 이상, 서울시 다둥이 행복카드 소지자 중 세 자녀 이상 가족, 국가유공자/독립유공자 본인과 배우자 및 자녀 무료 (각각 해당 증빙서류 및 신분증 제시 시 무료입장권 발급)","<p class='0' style='line-height: 1.8;'><span style='font-size: 12pt;'>서울상상나라는 어린이들이 놀이를 통해 체험하고 배우며 꿈과 행복을 키울 수 있도록 서울시가 어린이들을 위해 마련한 어린이 복합체험시설입니다.</span></p><p class='0' style='line-height: 1.8;'><span style='font-size: 12pt;'><br></span></p><p class='0' style='line-height: 1.8;'><span style='font-size: 12pt;'>'행복을 디자인하는 어린이'를 주요 개념으로 특화된 체험전시를 통해 상상력을 촉진하고, 상호 존중의 소통 방법을 자연스럽게 배울 수 있습니다. 또, 연령별, 주제별로 특색 있고 다채로운 교육프로그램을 운영하고 있으며, 이를 통해 어린이와 가족의 건강하고 행복한 삶을 지원하기 위해 노력하고 있습니다.</span></p><p class='0' style='line-height: 175%;'><br></p><p class='0' style='line-height: 1.8;'><span style='font-size: 12pt;'>지하 1층 감성놀이 공간에서는 익숙한 소리를 낯설고 새롭게 경험할 수 있습니다. 다양한 관점의 소리 경험을 통해 세상과 교감하고 소통할 수 있는 힘을 기를 수 있습니다.</span></p><p class='0' style='line-height: 175%;'><br></p><p class='0' style='line-height: 1.8;'><span style='font-size: 12pt;'>지상 1층 자연놀이, 예술놀이, 공간놀이는 자연의 소중함을 느끼며 동물과 친구가 되는 법을 배우고, 예술 활동과 개성 있는 놀이 공간 연출을 통해 풍부한 자기 표현력과 감수성을 키울 수 있습니다.</span></p><p class='0' style='line-height: 175%;'><br></p><p class='0' style='line-height: 1.8;'><span style='font-size: 12pt;'>2층 신체놀이, 상상놀이 전시 공간은 우주탐험 경기에 참가하여 도전정신을 기를 수 있는 활동체험 전시와 우주와 외계인에 대한 상상력과 호기심을 불러일으키는 전시로 구성되어 있습니다. 또, 36개월 미만의 영유아들을 위한 아기 놀이터와 독서놀이, 조작놀이를 즐길 수 있는 생각놀이터에서는 어린이 발달에 적합한 환경 속에서 온 가족이 편안히 놀며 정서적인 교감을 나눌 수 있습니다.</span></p><p class='0' style='line-height: 175%;'><br></p><p class='0' style='line-height: 1.8;'><span style='font-size: 12pt;'>3층에는 문화놀이, 과학놀이 공간이 있어 미래의 여러 직업을 체험해 볼 수 있으며, 물과 바람으로 놀이하면서 자연스럽게 ‘흐름’에 대한 기초과학을 탐구할 수 있습니다.</span></p><p class='0' style='line-height: 175%;'><br></p><p class='0' style='line-height: 1.8;'><span style='font-size: 12pt;'>전시장 체험 외에도 어린이와 가족을 위한 특별하고 즐거운 교육프로그램들을 운영하고 있습니다. 각 프로그램별 전문 교육실에서 창의예술, 오감?가족요리 프로그램 등을 통해 직접 만들고 체험하는 활동을 할 수 있습니다. 정기적으로 진행되는 심화프로그램에서는 일정 기간 동안 매주 선생님, 친구들과 함께 상상력과 창의력을 길러주는 즐거운 수업을 할 수 있습니다.</span></p><p class='0' style='line-height: 175%;'><br></p><p class='0' style='line-height: 175%;'><br></p>",유료,,,,,,,
193.0,공연장,광진구민체육센터,서울  광진구 구천면로 14,37.5459907,127.106919,221332538,02-2049-4519,http://www.gwangjin.or.kr,,,"매월 둘째, 넷째주 일요일 / 법정 및 임시 공휴일",,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100749&thumb=Y,,"<div style='text-align: center;' align='center'><span style='font-size: 12pt;'>광진구민체육센터를 방문해 주신 것을 진심으로 환영합니다.&nbsp;</span></div><div style='text-align: center;' align='center'><span style='font-size: 12pt;'>광진구민체육센터는 보다 나은 문화, 체육 컨텐츠 제공은 물론 지역건강을 위하여 힘써 오고 있으며, 앞으로도 쉼 없는 노력을 다할 것입니다.</span></div><div style='text-align: center;' align='center'><span style='font-size: 12pt;'>광진구민체육센터 전 직원은 여러분의 지속적인 관심과 애정을 바탕으로 '고객을 먼저 생각하는 광진구민체육센터', '늘 고객과 함께 하며,&nbsp;</span></div><div style='text-align: center;' align='center'><span style='font-size: 12pt;'>기쁨을 주는 광진구민체육센터' 으로 여러분 곁에 한 걸음 더 다가서기 위해 최선을 다할 것을 약속드립니다.</span></div>",무료,,,,,,,
198.0,공연장,세종대학교 대양홀,서울특별시 광진구 능동로 209,37.55160931,127.0731836,02-3408-4373,"3409-3237, 499-4573",http://www.sejong.ac.kr/,,,정보없음,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100099&thumb=Y,,"<div style='text-align: center;' align='center'><span style='font-size: 14pt;'>새로운 천년을 맞아 각 공연장들이 참신한 기획과 다양한 서비스로 청중들을 맞이하고 있다.&nbsp;</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>세종대학교 내 위치한 대양홀도 객석을 늘리는 새단장을 마치고 동부권 문화 중심지에 위치한 최대 규모의 다목적홀로서 힘찬 기지개를 펴고 있다.&nbsp;</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>지하철 7호선 어린이 대공원역과 인접한 세종대학교 초입에 위치한 대양홀은 기존의 대학내 음학홀들이 깊숙히 위치해 있는 것과는 사뭇 다르다.&nbsp;</span></div><div style='text-align: center;' align='center'><span style='font-size: 12px;'><br></span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>대형무대, 특수조명, 최신 음향설비, 연습실, 분장실, 대기실 등을 갖춘 이곳은 음악공연을 비롯 콘서트, 무용, 연극 등의 문화행사와 세미나, 기업설명회&nbsp;</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>등의 일반 행사 영화상영등 다양한 용도로 대관되고 있다. 대형 시설임에도 불구하고 홀 실내가 둥근 형태로 이루어져있고, 무대와 관객석의 높이차이가&nbsp;</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>많지 않아 아늑한 분위기를 연출하는 것이 장점으로 꼽힌다. 학교 행사에만 이용되던 '소외된' 공간이었던 대양홀의 일반 대관이 허용된 것은 88년.&nbsp;</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>지역적 잇점과 함께 최첨단 시설이 다양한 용도로 대관되면서 학내 연주홀 재테크 성공의 예로 소문나, 각 대학의 문의가 잇따르고 있다. 세종대 교수로&nbsp;</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>재직중인 오은경 대양홀 관장은『대양홀은 조명과 음향등을 가변적으로 세팅할 수 있다』며 『어떤 행사를 개최하든 주최자의 임의대로 종류에 맞는 조명과&nbsp;</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>음색 등을 맞출 수 있다』고 강조한다.&nbsp;</span></div><div style='text-align: center;' align='center'><span style='font-size: 12px;'><br></span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>올해에는 긱스, 이수영 등 대중가수들의 공연을 시작으로, 각종 음악회, 콩쿠르, 벤쳐기업 설명회, 연극 공연, 무용발표회, 각종 기념식 등 예정된 일정이&nbsp;</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>촘촘하다. 모든 행사는 공연장을 기획?관리하는 전문 운영인이 직접 관여해 진행을 매끄럽게 도와주고 있다. 지역사회 문화발전을 위하여 각종 정서적인&nbsp;</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>예술행사를 주최하고 있는 대양홀에서 전국 국가 공인 문화 예능 단체에서 주관하는 각종 경연대회를 유치하여 교육발전에 이바지하고 있다. 자체 기획</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>공연으로 세종대 음대 재학생들의 정기공연 및 교수 발표회, 해외 유명 오케스트라의 내한 공연등이 개최했으며, 98년 5월부터 시작해 작년 12월까지 5</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>회에 걸쳐 개최된 유아음악회는 회를 거듭할수록 대양홀의 '대표 상품'으로 명성을 높여가고 있다. 미취학 아동에겐 출입이 금지된 클래식 공연의 문을&nbsp;</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>낮춰 3세 이상의 유아들에게 음악적인 정서를 제공하는 이 행사는 근교 뿐 아니라 서울시내 유치원 및 초등학교 단체관람이 주를 이뤄 매공연 매진을&nbsp;</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>기록했다.&nbsp;</span></div><div style='text-align: center;' align='center'><span style='font-size: 12px;'><br></span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>올해도 상반기 중에 세종대에 재직중인 음대교수들이 중심으로 행사를 개최할 예정이다. 김관장은『공연장 경영의 효율성을 높이기 위해 올해부터는 자체&nbsp;</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>관리를 해오고 있다』며 『다양한 장르의 공연과 유용한 행사를 통해 지역민들에게 더욱 친근한 공간으로 다가서길 바란다』고 당부했다.</span></div>",유료,,,,,,,
219.0,문화예술회관,유니버설아트센터,서울특별시 광진구 천호대로 664,37.5509798,127.0870952,0507-1318-1740,,http://www.uac.co.kr,,,정보없음,1981.11,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100706&thumb=Y,,"<div style='text-align: center;' align='center'><span style='font-size: 14pt;'>1981년 개관한 유니버설아트센터는 1,052석 규모 의 대극장과 164평의 전시실, 250대를&nbsp;</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>수용할 수 있는 지하주차장을 갖춘 복합문화공간으로 최상 의 공연과 서비스를 제공합니다</span></div>",유료,,,,,,,
257.0,기타,서울생각마루,서울특별시 광진구 강변북로 2202,37.52998878,127.0652788,02-3780-0517,,http://www.j-bug.co.kr/,,,매주 월요일,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000101418&thumb=Y,,"<h5><img alt='' src='http://www.j-bug.co.kr/img/sub/about_ico1.jpg'> 휴식이 있는 마루</h5><p>서울생각마루는 한강의 전망과 함께 지친 일상에서<br>   휴식과 여가를 즐길 수 있는 복합문화공간입니다.</p><h5><img alt='' src='http://www.j-bug.co.kr/img/sub/about_ico2.jpg'> 창의적인 생각의 마루</h5><p>한강을 바라보며 머리르 비우고,<br>  다양하고 자유로운 발상을 할 수 있는 공간입니다.</p><h5><img alt='' src='http://www.j-bug.co.kr/img/sub/about_ico3.jpg'> 생산적인 소통의 마루</h5><p>개인 혹은 여러 명이 작업할 수 있는 환경을 제공하며,<br>  생산적인 소통이 이루어집니다.</p>",무료,,,,,,,
317.0,공연장,예스24 라이브홀,서울특별시 광진구 구천면로 20,37.54572677,127.1079679,070-5001-4532,,https://yes24livehall.com,,,정보없음,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100963&thumb=Y,,"<div style='text-align: center;' align='center'><span style='font-size: 14pt;'>대한민국 최초의 전문 콘서트 공연장, 예스24 라이브홀은 2006년 개관하여 지금까지 다양한 공연을 대중들에게 선보이고 있는 전문 콘서트 공연장입니다.&nbsp;</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>일본 대중공연장의 전설 &lt;시부야 악스&gt;가 직접 설계한 예스24 라이브홀은 1,500여평의 규모를 자랑하며, 다양하고 전문적인 공연장비와 함께 스텐딩 공연뿐&nbsp;</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>아니라 좌석 공연도 가능하고, 항상 공연 기획자의 입장에서 고민하는 국내 유일한 전문 콘서트 공연장 입니다.</span></div>",무료,,,,,,,
