번호,주제분류,문화시설명,문화시설주소,위도,경도,전화번호,팩스번호,홈페이지,관람시간,관람료,휴관일,개관일자,객석수,대표이미지,기타사항,시설소개,무료구분,지하철,버스정거장,YELLOW,GREEN,BLUE,RED,공항버스
57.0,문화예술회관,마포아트센터,서울 마포구 대흥로20길 28 마포아트센터,37.54990609,126.9455338,02-3274-8600,,https://www.mfac.or.kr/,,,공휴일 09:00~17:00/매월 마지막주 일요일 휴무,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=5e017247027b4a369d1c0e0e01aef2dd&thumb=Y,,"<p><b>-아트홀 맥</b></p> <p>아트홀 맥은 가변형 음향판과 10개의 배턴, 첨단 음향과 조명시스템을 갖추어 어떠한 장르의 공연도 소화가 가능합니다. <br>   2008년 리모델링 공사를 통해 내부 시설보완 및 인테리어 공사를 거쳐 재 탄생한 공연장입니다. 바닥과 객석 의자를 전면 교체하여 쾌적한 공간으로 탈바꿈 하여 최적의 관람 환경을 갖추고 있습니다.<br>   아트홀 맥은 마포아트센터에서 운영하고 있는 781석 규모의 종합공연장으로 마포구 대흥동에 위치하고 있습니다. 지하철 6호선 대흥역 2번 출구에서 5분 거리, 2호선 이대역 5번 출구에서 10분 거리에 있으며 홍대, 신촌, 서강대등 대학가에 둘러싸인 문화예술의 새로운 공간으로 부상하고 있습니다.<br>   아트홀 맥 건물은 서울특별시 건축물대전에서 건축상 은상을 수상한 훌륭하고 멋진 건축물의 공연장으로 현대식 최첨단 시스템을 갖추고 다양한 장르의 공연을 소화할 수 있는 전문 공연장으로서 대중적이고 예술성이 뛰어난 공연은 물론 독창적인 공연 등을 기획 및 유치하여 국내외의 실력 있는 예술인, 뮤지션들이 기량을 발휘 할 수 있는 공간으로의 역할을 수행하고 있습니다. <br>   아트홀 맥은 수려한 외관은 물론 공연장 내부도 우아함과 편안함을 함께 느낄 수 있는 쾌적한 분위기에서 공연을 감상할 수 있도록 하였습니다. 또한 관객을 위한 다양한 서비스시설(안내데스크, 넓은 휴게 공간, 여유 있는 주차장 등)을 제공하고 있습니다. <br>   아트홀맥은 건물 내 외관의 고급스러움과 더불어 모든 시민들이 찾을 수 있는 대중적이고 편한 공연장으로 서울 서부지 역의 문화 예술 공연의 새로운 지역으로서의 역할을 다하겠습니다. </p> <p><br>   <br>   <b>-플레이 맥</b></p> <p>플레이 맥은 인형극, 독주회 등 소규모 공연에 적합한 공간입니다. 연극, 놀다, 연주하다 의 뜻을 지닌 ‘play'라는 <br>   이름처럼 교육적이고 수준 높은 어린이 공연을 펼치고 있습니다.</p> <p><br>   <b><br>   -갤러리 맥</b></p> <p>갤러리 맥은 전시의 목적에 맞게 다양한 공간 활용이 가능합니다.<br>   체험을 기반으로 하는 엑스퍼테인먼트(Expertainment) 전시를 특화하여 작품 감상 뿐 아니라 체험이 결합된 프로그램을 즐길 수 있는 공간입니다.</p> <p><br>   <br>   <b>-아카데미 맥</b></p> <p>아카데미 맥은 다양한 연령대가 들을 수 있는 다양한 프로그램으로 구성되어 있습니다. <br>   유수의 전문 강사진이 유익한 강좌를 펼치고 있습니다. <br>   엄마와 자녀가 함께하는 프로그램부터 유아, 청소년을 위한 강좌와 직장인 강좌 등 200여개<br>   프로그램이 운영되고 있습니다.</p> <p><br>   <br>   <b>-스포츠센터 맥</b></p><p><b><br></b></p><p><b></b><strong>대표전화</strong>&nbsp;02-3274-8500</p><p><br></p><p><strong>공연문의</strong>&nbsp;: 02-3274-8600<br></p><p>- 09:00-18:00 (토,일 공휴일 휴무)</p><p><strong>공연장</strong>&nbsp;<strong>대관문의</strong>&nbsp;: 02-3274-8618</p><p><br></p><p><strong>스포츠센터 문의</strong>&nbsp;: 02-3274-8500</p><p>09:00-18:00 (매월 마지막주 일요일,공휴일 휴무)</p><p><strong>체육관 문의</strong></p><p>- 02-3274-8501,8503</p><p><br></p><p><b>주차장 이용안내</b></p><div><ul><li><b>주차공간</b>&nbsp;: 총 152대 (장애인 주차장 포함)</li><li><b>주차대수</b>&nbsp;: 지상 15대(셔틀버스 전용) 지하1층 : 53대 지하2층 : 84대</li><li><b>운영시간</b>&nbsp;: 06:00 ~ 22:00</li></ul></div><p></p><div><h4>주차료</h4><div><table class='__se_tbl_ext' summary='차량 구분, 내용을 확인 할 수 있습니다.'><caption>주차료</caption><colgroup><col width='13%'><col width='9%'><col width='78%'></colgroup><tbody><tr><th colspan='2' scope='colgroup'>구분</th><th scope='col'>내용</th></tr><tr><th colspan='2' scope='row'>일반차량</th><td>기본 30분 : 1,000원 - 추가 10분당 : 500원</td></tr><tr><th colspan='2' scope='row'>공연관람 차량</th><td>3시간 : 3,000원 - 추가 10분당 : 500원</td></tr><tr><th rowspan='2' scope='rowgroup'>공연장대관차량<br>(대관 기간중)</th><th scope='row'>대극장</th><td>차량 5대까지 무료 - 일일주차권 12시간 기준 10,000원 판매</td></tr><tr><th scope='row'>소극장</th><td>차량 3대까지 무료 - 일일주차권 12시간 기준 10,000원 판매</td></tr><tr><th colspan='2' scope='row'>문화체육프로그램 차량</th><td><ul><li>프로그램 이용 시간 초과 1시간 30분 무료</li><li>강좌시간이 정해지지 않은 경우 3시간 무료</li><li>추가 10분당 500원</li></ul></td></tr><tr><th colspan='2' scope='row'>기타차량</th><td><ul><li>조례 제12조, 제2항에 해당하는 행사차량은 [주차확인]에 한하여 무료</li><li>업무용차량(수강신청 및 방문)은 [주차확인]에 한하여 1시간 면제<br>(추가 10분당 : 500원, 1시간 초과시[주차재확인]차량 면제)</li><li>10분 이내 회 차 차량은 면제</li></ul></td></tr></tbody></table></div><div>※ 적용일시 : 2017년 6월 1일 (목) 00:00 부터<br>※ 주차요금의 1일 상한액은 15,000원입니다.<br>※ 2개 항목 이상 주차요금 감면사유에 해당할 때에는 그 중 감면율이 높은 1개 항목만 적용됩니다</div><div><br></div><h4>주차장 이용 시&nbsp;준수 사항</h4><div><p>차량관리 및 물품도난의 책임은 이용자 책임입니다.</p><p>주차권 분실시 차량 소유자임을 증명하여야 하며, 주차요금은 06:00부터 주차한 것으로 계산합니다.</p><p>주차장내에서 주차장 시설물 또는 다른 차량 등에 재산상 손해를 입혔을 경우,</p><p>가해자는 주차관제소에 즉시 신고하고 원상복구 및 피해보상을 하여야 합니다</p></div><p></p><div><h4>기타 문의처</h4></div></div><p>주차관제소(☎02-3274-8657)？&nbsp;</p><p><br></p><p><br></p><p></p><p></p><p></p><p 맑은='' 고딕',='' dotum,='' helvetica,='' sans-serif;='' font-size:='' 12px;='' font-style:='' normal;='' font-variant-ligatures:='' font-variant-caps:='' font-weight:='' 400;='' letter-spacing:='' orphans:='' 2;='' text-align:='' start;='' text-indent:='' 0px;='' text-transform:='' none;='' white-space:='' widows:='' word-spacing:='' -webkit-text-stroke-width:='' text-decoration-thickness:='' initial;='' text-decoration-style:='' text-decoration-color:='' initial;'=''><br></p><p><b>&nbsp;</b></p>",무료,,,,,,,
69.0,공연장,포스트극장,서울특별시 마포구 와우산로 148,37.5541249,126.9296484,02-337-5961,,http://www.changmu.co.kr/,,,정보없음,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=acc1e3e2f8e34b8e8b19373e798c5c1e&thumb=Y,,"<div style='text-align: center;' align='center'><span style='font-size: 14pt;'>포스트극장은 최신형 기자재로 설비하여 공연장이 갖추어야 할 모든 시설을 짜임새 있게 갖추고 있는 소극장으로 무용, 연극, 음악, 행위예술 등 모든 공연을 볼 수 있는&nbsp;</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>2백석 규모의 무용전문극장이다. 이 극장은 한국 최초의 무용전용소극장 '창무춤터'의 후신으로 프로그램 선정위원회의 엄격한 심사를 거쳐 공연을 제공하고 있다.</span></div>",유료,,,,,,,
93.0,박물관/기념관,연세대학교 김대중도서관,서울특별시 마포구 신촌로4길 5-26,37.55698238,126.92959,02-2123-6890,02-320-7777,https://www.kdjlibrary.org/,오전 10시~오후 6시,전석 15000(학생만원),"일요일, 공휴일",2003.11.3,160,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100895&thumb=Y,,"<div style='text-align: center;' align='center'><span style='font-size: 14pt;'>김대중도서관은 2003년 11월 아시아 최초의 대통령도서관으로 개관하였습니다. 대한민국 제15대 대통령이며 노벨평화상을 수상한 김대중 전 대통령이 도서관 건물과 1만</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>6,000여 건의 자료, 1만여 권의 장서 그리고 노벨평화상 상금을 연세대학교에 기증한 뜻과 연세대학교의 건학 이념을 바탕으로 설립되었습니다. 김대중도서관은 민주주의와</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>인권, 평화 구현 그리고 빈곤 퇴치를 위해 헌신한 김대중 전 대통령의 정신을 기리고 이를 위해 세계적 수준의 교육 및 연구활동, 그리고 사료 기관으로 거듭나겠습니다.</span></div><div style='text-align: center;' align='center'><span style='font-size: 12px;'><br></span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>김대중도서관은 주요사업으로 다음과 같은 활동을 하고 있습니다.&nbsp;</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>첫째,</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>김대중 대통령의 일생의 자료 -대통령 재임 전, 재임기, 재임 이후, 노벨평화상 수상 관련 자료 등 김대중 대통령의 개인적 생애와 함께 우리나라 현대사의 참모습을 보고 이</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>해할 수 있는 전시실을 운영하고 있습니다.</span></div><div style='text-align: center;' align='center'><span style='font-size: 12px;'><br></span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>둘째,</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>김대중 대통령이 기증한 반세기에 걸친 국내 정치 관련 자료, 국내외에서의 민주화와 평화통일 활동 자료, 대통령 재임기 국정 수행 관련 자료, 국제 외교 자료 등을 정리하며</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>&nbsp;연구하고 있습니다.</span></div><div style='text-align: center;' align='center'><span style='font-size: 12px;'><br></span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>셋째,</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>김대중 대통령의 업적을 기리는 기념사업을 하고 있습니다. 또한, 김대중 대통령 연보를 비롯해 각 분야에 걸친 김대중 연구 사업을 진행합니다. 이 사업의 일부는 정부의 “전</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>직대통령 예우에 관한 법률”에 의한 예산 지원으로 수행됩니다.</span></div><div style='text-align: center;' align='center'><span style='font-size: 12px;'><br></span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>넷째,</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>김대중 대통령을 비롯하여 민주화와 평화통일 및 야당사의 주요 증인들, 해외 인사들의 구술 인터뷰를 동영상으로 제작하여 디지털 아카이브를 만들고, 국내외 민주화와 평</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>화통일에 관련한 자료들을 수집, 정리, 연구하는 일도 함께 하고 있습니다.</span></div><div style='text-align: center;' align='center'><span style='font-size: 12px;'><br></span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>다섯째,</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>6.15남북공동선언기념, 노벨평화상 수상기념 학술회의 등 국제ㆍ국내학술회의와 오슬로 노벨평화센터 및 국내외 연구기관들과 교류협력을 통해 연구를 진행합니다.</span></div><div style='text-align: center;' align='center'><span style='font-size: 12px;'><br></span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>여섯째,</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>민주주의, 평화, 빈곤퇴치에 관한 교육 사업을 진행합니다. 김대중평화아카데미 과정을 통해 평화와 통일교육, 청소년 평화 학습 등의 교육과정에 참여하고 있습니다.</span></div><div style='text-align: center;' align='center'><span style='font-size: 12px;'><br></span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>김대중도서관은 사업 수행을 위해 산하에 김대중평화연구소, 국제협력센터, 사료센터, 전시열람센터를 두고 있습니다.</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>도서관 방문과 자료 검색, 각 교육과정 및 사업에 참여하는 방법은 별도로 안내가 되어있으니 참고하시기 바랍니다.</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>그리고 김대중도서관의 운영은 연세대학교 부속기관으로서 연세대학교의 지원금과 독지가들의 정성어린 후원으로 운영되고 있습니다.</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>이 자리를 빌어 그동안 후원에 참여하여 주신 모든 분들께 진심으로 감사드리며 앞으로 많은 분들의 참여와 후원을 부탁드립니다.</span></div>",무료,,,,,,,
133.0,기타,망원한강공원,서울특별시 마포구 마포나루길 467,37.55234296,126.8998872,02-3780-0602,,https://hangang.seoul.go.kr/www/contents/666.do?mid=468,,0,-,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=280f6810dabe4b97b7cb63bf1113457c&thumb=Y,,"<span style='font-size: 12pt;'>원효대교와 성산대교 사이 강변북단에 위치해 있고, 마포구와 인접해 있습니다. 둔치에는 잔디밭이 조성되어 시야가 넓고 산책로 등 휴식공간이 짜임새 있게 잘 조성되어 있습니다. 또한 수상에서는 윈드서핑, 수상스키, 모터보트 등 수상레저활동이 이루어지고 있고, 주변에 망원정, 절두산 성지 등 문화유적지가 있으며, 월드컵경기장, 인천국제공항 등과 연계되어 있습니다.</span>",무료,,,,,,,
148.0,공연장,홍대 롤링홀,서울특별시 마포구 어울마당로 35,37.54849752,126.920121,02-325-6071,,http://rollinghall1995.cafe24.com/index.html,,,-,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ba91630f84124165b2892d158aae1c9e&thumb=Y,,"<span style='font-size: 12pt;'>음악이 멈추지 않는 공간</span><div><br>  </div><div><span style='font-size: 12pt;'>1995년부터 시작되어 25주년을 맞은 홍대 음악 문화를 이끌어온 산실입니다.</span></div><div><span style='font-size: 12pt;'>오랜 기간 자리를 지킨 역사성과 상징성만큼 신인부터 정상급까지</span></div><div><span style='font-size: 12pt;'>다양한 뮤지션들이 무대를 거쳤고 많은 관객이 방문하였습니다.</span></div><div><br>  </div><div><span style='font-size: 12pt;'>관객과 예술인이 가까이서 호흡할 수 있는 복합 공연으로 사운드, 조명, 무대 등의 지원을 하고 있으며,</span></div><div><span style='font-size: 12pt;'>즐거운 시간이 될 수 있도록 노력하고 있습니다.</span></div><div><br>  </div><div><span style='font-size: 12pt;'>좌석 200석, 스탠딩 450석 규모의 공연장으로, 대규모 공연장과 다른 분위기의 공연이 가능합니다.</span></div><div><span style='font-size: 12pt;'>롤링 개관 기념공연, HOT SUMMER MUSIC PARTY, RED STATION, 일상의 쉼표, Rolling Friday LIVE 등,</span></div><div><span style='font-size: 12pt;'>지속적인 시리즈 단위의 기획공연을 기획하고 있습니다.</span></div>",무료,서울 6호선 상수역 1번출구 / 서울 2호선 합정역 5번 출구,,,,"271, N26, N62",,
183.0,미술관,서울시립 난지미술창작스튜디오,서울특별시 마포구 하늘공원로 108-1,37.56907059,126.8789221,02-2124-8800,,https://sema.seoul.go.kr/kr/visit/nanji_residency,전시없음,,"1월 1일 , 매주 월요일<br>정기휴관",,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=a0ddfb0f20db47e1817d114d6eccb851&thumb=Y,-,"<div style='text-align: center;' align='center'><span style='font-size: 14pt;'>난지미술창작스튜디오는 미술가들을 위한 레지던시 지원 공간입니다.&nbsp;</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>난지한강공원, 노을공원, 하늘공원 사이에 있는 침출수 처리장을 개조하였으며, 서울 중심에 위치해 접근성이 뛰어납니다.&nbsp;</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>25개의 작업실, 연구실, 원형 전시실과 야외 작업장에서는 국내외의 역량 있는 작가와 연구자를 양성하고 지원하는 프로그램을 상시 운영합니다.&nbsp;</span></div>",무료,,,,,,,
210.0,기타,서교예술실험센터,서울특별시 마포구 잔다리로6길 33,37.55246841,126.9209402,02-333-0246,02-6008-7348,http://www.sfac.or.kr,,,"월요일, 공휴일",,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=94b21da6480b4a4cb0cc251c9b838897&thumb=Y,,"<p style='line-height: 1.8;'><span style='font-size: 12pt;'>서교예술실험센터는 2009년 서교동사무소를 리모델링한 홍대 앞 복합문화공간입니다. 2013년부터 민관 거버넌스 모델인 '공동운영단'을 중심으로 예술인과 재단이 함께 센터를 운영 중이며, 2019년부터 진행 중인 '인디음악 생태계 활성화 지원사업'을 비롯하여 예술현장에 필요한 다양한 지원 프로그램을 매년 새롭게 시도하고 있습니다. 예술다방 및 전시장(1층), 다목적공간(지하), 세미나실(2층) 등으로 구성되어 있습니다.&nbsp;</span><br></p>",무료,,,,,,,
264.0,공연장,폼텍웍스홀,서울특별시 마포구 잔다리로3길 34,37.5506957,126.9179163,0507-1402-3644,,http://www.workshall.co.kr/,,,정보없음,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=12f7a7fc773d457683d06f278670e1ae&thumb=Y,,<div style='text-align: center;' align='center'><span style='font-size: 14pt;'>한국폼텍㈜의 메세나 활동의 일환으로 2014년 6월 설립된 폼텍웍스홀은 예술가에게는 문화예술의 공연활동 지원을 일반인에게는 공연예술을 가까이 접할 수 있도록 함으로</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>써 문화를 통해 다양한 세대와 계층이 소통하고 교류하는 문화적 공간이 되고자 합니다.</span></div>,무료,,,,,,,
242.0,기타,서울특별시여성능력개발원,서울특별시 마포구 마포대로 89,37.54329938,126.9496941,02-827-0136,,https://swrd.seoulwomanup.or.kr/wrd/main/main.do,,,없음,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000101535&thumb=Y,,"<p>서울시여성능력개발원은<br>  서울시 여성발전센터와 여성인력개발센터의 총괄, 조정, 평가, 지원 기관으로,<br>  일자리 기관들의 네트워크를 강화하고, 여성의 직업능력과 경제역량을 강화하기 위한<br>   다양한 사업들을 펼치고 있는 기관입니다.</p><p>여성을 개발이나 발전의 개념으로 보는 시각에서<br>   여성의 전반적인 경제역량 향상으로 정책방향이 전환되고 있습니다.<br>  이에 따라 서울시의 여성일자리 기관도 그 기능과 역할에 변화가 요구됩니다.<br>  직업훈련의 전문성을 보다 강화하고, 여성의 생애주기별 맞춤형 일자리 창출과<br>   그에 필요한 지원체계를 더 갖추고자 합니다.</p><p>이에 따라 서울시여성능력개발원은<br>   여성일자리 정책을 선도하고, 전문적인 일자리 훈련과 직업 창출을 위한<br>   총괄 지원 사업에 중점을 두고 힘찬 발걸음을 내딛고자 합니다.</p><p>함께 일하는 여성, 함께 꿈꾸는 서울을 위해<br>   서울시여성능력개발원은 일하고 싶은 여성, 일하고 있는 여성 모두와 함께하고 싶습니다.<br>  여러분의 변함없는 지지와 성원을 부탁드립니다.</p><p>감사합니다.</p>",무료,,,,,,,
246.0,미술관,KT&G 상상마당 갤러리,서울특별시 마포구 어울마당로 65,37.5509577,126.921063,02-330-6229,,https://www.sangsangmadang.com/display/displayInfo/HD,,0,매주 월요일,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=6f7d2ada007e42e9a6a16cbbf09c7812&thumb=Y,,"<div style='text-align: center;' align='center'><span style='font-size: 14pt;'>현대미술, 비주류미술을 소개하고 신진작가를 발굴 및 지원하는 전시공간</span></div>",무료,,,,,,,
