번호,주제분류,문화시설명,문화시설주소,위도,경도,전화번호,팩스번호,홈페이지,관람시간,관람료,휴관일,개관일자,객석수,대표이미지,기타사항,시설소개,무료구분,지하철,버스정거장,YELLOW,GREEN,BLUE,RED,공항버스
3.0,공연장,우란2경,서울특별시 성동구 연무장7길 11,37.54378977,127.0544169,070-4244-3812,,http://www.wooranfdn.org/main.jsp,,,공연에 따라 다름,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000101414&thumb=Y,,"<h3 class='space-content-title'><span style='font-size: 18pt;'>비움으로 완성한 채움의 공간</span></h3><p class='space-content-text'><span style='font-size: 14pt;'>					볕 경, 그림자 영으로 불리는 한자어 ‘景’에는 사물을 조화롭게 비추는 ‘빛’과 그 빛이 만들어낸 ‘그림자’, 그리고 그들이 함께 어우러지는 ‘풍경’이라는 의미가 모두 담겨져 있습니다. 우란문화재단은 각 공간명에 공간의 특성을 지우고 ‘경景’이라는 명칭을 사용하여 선입견 없이 각 공간에서 자유롭게 펼쳐질 예술적 풍경에 대한 기대감을 담았습니다.</span><br>  <br><span style='font-size: 14pt;'>  1층에서 3층까지 각 층에 위치한 우란문화재단의 주요 공간은 각각 우란1경, 우란2경, 우란3경, 우란4경, 우란5경으로 불리게 됩니다. 객석과 무대의 경계를 허물고, 전시와 공연이라는 기능마저 최소화한 이 ‘무제의 공간’은 매번 새롭게 해석되며, 무한한 가능성의 공간으로 거듭납니다.</span> </p>",무료,,,,,,,
54.0,도서관,성동구립도서관,서울특별시 성동구 고산자로10길 9,37.55921809,127.0349333,02-2204-6420,02-2299-6449,https://www.sdlib.or.kr/SD/main.do,,,"매주 월요일, 공휴일, 장서 및 시설 점검 등 관장이 필요하다고 인정한 날",1994.04.23,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100747&thumb=Y,,"■ <b>이용시간</b>  <ul class='ul_style'> <li><b>평일 및 주말 공통</b>  <ul class='ul_style02'> <li class='mg_l05'>자료열람실 09:00~20:00  </li><li class='mg_l05'>어린이열람실,모자열람실 09:00~20:00  </li><li class='mg_l05'>어린이 영어 세상 09:00~18:00  </li><li class='mg_l05'>전자정보실 09:00~18:00  </li><li class='mg_l05'>일반열람실 07:00~22:00 (휴관일,국가공휴일 09:00~18:00)</li></ul></li></ul> <p class='mg_l05'>&nbsp;</p>",무료,,,,,,,
75.0,공연장,성수아트홀,서울  성동구 성수동1가   656-323,37.54541449,127.0469742,02-2204-7570,,http://seongsu.sdfac.or.kr/,,,월요일,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=9b7310f452f6455c89164adfb90e8c20&thumb=Y,,"<p style='line-height: 1.8;'><span style='color: rgb(0, 0, 0); font-size: 14pt;' noto='' sans='' kr',='' sans-serif;='' font-size:='' 14pt;='' letter-spacing:='' -0.4px;'=''>수아트홀은 성동구 성수동, 지하철 2호선 뚝섬역 인근에 위치한 350석 규모의 공연장으로 최신의 음향, 조명, 기계 시설을 갖추고 있습니다.</span><br style='color: rgb(228, 228, 228); font-family: ' noto='' sans='' kr',='' sans-serif;='' font-size:='' 15px;='' letter-spacing:='' -0.4px;'=''><span style='color: rgb(0, 0, 0); font-size: 14pt;' noto='' sans='' kr',='' sans-serif;='' font-size:='' 14pt;='' letter-spacing:='' -0.4px;'=''>콘서트, 뮤지컬, 연극, 무용 등 다양한 장르를 아우르며 큰 감동을 선사할 수 있는 공연을 선보이고 있습니다. 또한 지역주민 가까이에서 일상 속 문화예술을 통한 여유와 행복을 나눌 수 있는 공간이 되고자 노력하고 있습니다.</span><br></p>",무료,,,,,,,
143.0,미술관,코엑스전시장,"서울특별시 강남구 영동대로 513 (삼성동, 코엑스) 06164",37.5103947,127.0611127,02-6000-0114,,http://www.coex.co.kr,10:00 ~ 17:00,행사 또는 주최사 마다 다름,연중무휴,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100026&thumb=Y,,"수출입의 치열한 현장 무역센터. 영어 첫 자를 따서 코엑스라고 불리는 이 곳은 1988년 가을에 개관되었다.  이곳은 임대사무실, 전시관, 세계 각국의 비즈니스맨을 위한 호텔, 행사 시설, 백화점, 면세점, 각종 쇼핑홀, 연계된 공항터미널 등으로 이루어져 있어 세계최대의 무역박람회장 수준을 자랑한다. 한국의 다양한 수출품을 외국의 바이어들에게 선보이고, 외국의 수입품을 전시하는 이 곳에서는 1년 365일 각국 수출입과 관련 이벤트가 펼쳐지고, 내?외국인들의 발걸음이 끊이지 않는다. 상설 전시장은 국내의 우수상품을 선정해서 저렴한 가격으로 내국인들에게 임대해 주고, 또한 외국 바이어들은 언제나 다양한 수출품들을 선택할 수 있도록 편의를 제공하고 있다.  전철역과 통하는 지하 1층에는 서점, 문구류와 사무용품을 파는 곳, 식당가, 레코드 가게, 커피숍, 화원 등 모든 부대시설이 빠짐없이 들어차 완벽한 생활시설을 이루고 있어 주말 쇼핑코스로는 일품이다.",유료,,,,,,,
202.0,미술관,디뮤지엄,서울특별시 성동구 왕십리로 83-21,37.54415475,127.0433578,02-6233-7200,,https://daelimmuseum.org/,,,매주 월,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000101030&thumb=Y,,"<span style='font-size: 14pt;'>1996년 설립된 대림문화재단은 한국 최초의 사진 전문 미술관인 한림미술관이 전신인 대림미술관을 통해 현대 사진과 일상 속 예술로 자리매김한 디자인의 창의적이고 다양한개념과 형식을 소개하며, 감각적인 전시와 교육, 문화프로그램 등을 통해 많은 관람객들과 소통해 왔습니다. 2016년 설립 20주년을 맞이하는 대림문화재단은 한남동 독서당로에 디뮤지엄을 개관하고 기존의 대림미술관에서 선보여온 다양한 콘텐츠들을 더 확장된 공간에서 보다 많은 이들에게 문화 예술의 수준 높은 감성을 제시할 것입니다.</span>",무료,,,,,,,
252.0,기타,성동문화재단,서울특별시 성동구 고산자로10길 9,37.55917988,127.0349607,02-2204-7500,,https://www.sdfac.or.kr/kor/sdfac/main/main.do,,,정보없음,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=1ded6e7130dc47bcb33666baaf6beacd&thumb=Y,,"<div><span style='font-size: 12pt;'>앞으로, 성동문화재단에서는 예술인들이 곳곳에서 문화 활동을 전개할 수 있도록 문화정책과 프로그램을 개발하고, 공연장, 도서관 등 관내 소재한 문화 시설을 더욱 효율적으로 활용하여 문화라는 매개체를 통하여 주민을 위해 다양한 문화 활동들을 활발히 펼쳐나갈 계획입니다.</span></div><div><span style='font-size: 12px;'><br></span></div><div><span style='font-size: 12pt;'>나아가, 이처럼 귀한 문화와 예술을 성동구민 모두와 함께 나눔으로서, 문화가 다가가기 어렵고 고고한 예술이 아닌, 누구나 공평하게 향유할 수 있도록 하여 문화로 참여하고 문화로 소통하는 행복한 문화로 사람냄새가 물씬 나는 건강한 문화도시로 꽃피울 수 있도록 최선을 다해 노력하겠습니다.</span></div><div><span style='font-size: 12px;'><br></span></div><div><span style='font-size: 12pt;'>문화와 예술의 향기가 나는 성동에서 언제나 행복한 나날을 보내시길 바랍니다.</span></div><div><span style='font-size: 12pt;'>감사합니다.</span></div>",무료,,,,,,,
269.0,박물관/기념관,서울하수도과학관,서울 성동구 용답동 250-7,37.5570865,127.0580683,02-2211-2540,02-2211-2689,http://sssmuseum.org,,,"매주 월요일, 설 당일, 구정 당일, 추석 당일",,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=131c9ff501434885ab34e7d30fffea59&thumb=Y,,"<div style='line-height: 1.8;'><span style='font-size: 12pt;'>서울하수도과학관은 우리나라 최초로 하수도를 테마로 한 과학관입니다.</span></div><div style='line-height: 1.8;'><span style='font-size: 12pt;'>하수도의 역사와 과학을 알리고자 2017년 개관하였습니다.</span></div><div style='line-height: 1.8;'><span style='font-size: 12pt;'>우리나라 최초의 하수처리장이었던 청계천하수처리장 부지에 과학관을 건립하여 그 역사적 의미와 가치를 이어가고 있습니다. 국내외 하수도의 역사, 기술, 미래상을 전시하고 있는 과학관과 하수처리 과정을 눈으로 직접 확인할 수 있는 물재생센터가 함께 운영되고 있는 현장 중심형 공간이기도 합니다.</span></div><div style='line-height: 1.8;'><span style='font-size: 12pt;'>환경교육의 중심지인 서울하수도과학관에서는 하수의 정화 과정과 물의 소중함을 느낄 수 있는 다양한 교육프로그램을 진행하고 있습니다.</span></div>",무료,,,,,,,
292.0,도서관,성동구립용답도서관,서울특별시 성동구 용답중앙3길 10,37.56669993,127.0513042,02-2204-6470,,https://www.sdlib.or.kr/yd/,,,"매주 월요일, 정부지정공휴일, 설?추석 연휴",,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000101360&thumb=Y,,<p>&lt;성동구립용답도서관&gt;</p><p>- 주소: 서울시&nbsp;성동구 용답중앙3길 10 (우) 04804</p><p>-&nbsp;시간: 07:00 ~ 22:00</p><p>- 전화: 02-2204-6470</p><p>- 홈페이지: <a href='http://www.sdlib.or.kr/YD' target='_blank'>www.sdlib.or.kr/YD</a></p><p>- 2007년 1월 24일 개관</p>,무료,,"답십리역, 동부시장(06158), 답십리역(06500), 농협답십리역지점(06503). 답십리역,경우회매장(06586)",,,,,
340.0,기타,장안평 자동차산업 종합정보센터,서울특별시 성동구 자동차시장1길 64,37.56032466,127.064517,02-6213-3370,,https://blog.naver.com/jac4u,,,매주 월요일,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000101381&thumb=Y,,<div style='text-align: center;' align='center'><span style='font-size: 14pt;'>장안평은 지난 40여년간 대한민국 자동차 애프터마켓을 이끌어 왔습니다.&nbsp;</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>장안평 자동차산업 종합정보센터는 장안평의 자동차산업 생태계를 재생하고 서울의 신성장동력으로써 지역 산업을 활성화하기 위해 설립되었습니다.</span></div>,무료,,,,,,,
315.0,박물관/기념관,한양대학교 박물관,서울특별시 성동구 왕십리로 222,37.55450355,127.0466112,02-2220-1394,,https://museumuf.hanyang.ac.kr/,,,일요일 및 공휴일,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000101318&thumb=Y,,"<div><span style='font-size: 14pt;'>한양대학교 박물관은 지난1978년 건립 이래 끊임없이 귀중한 문화유산을 발굴, 수집, 보존하고 연구하면서 오늘날에 이르렀습니다.</span></div><div><span style='font-size: 12px;'><br></span></div><div><span style='font-size: 14pt;'>2003년 박물관 리모델링 이후에는 정기적으로 특별전을 개최하고 있으며, 각종 문화체험 및 박물관 교육사업을 적극적으로 펼치고 있습니다. 전시시설은 총 4개층으로 그 중 두 개층은 고고역사실과 전통미술실의 상설전시실로 운영되고 있습니다. 나머지 두 개층은 기획전시실로 매년 2차례 이상의 특별전이 개최됩니다. 또한 청소년을 대상으로 한 진로체험, 성인 대상의 인문강좌 등 다양한 교육 프로그램이 운영 중에 있습니다.</span></div>",무료,2호선 한양대역 2번 출구 도보 2분,,,,"121, 302",,
