번호,주제분류,문화시설명,문화시설주소,위도,경도,전화번호,팩스번호,홈페이지,관람시간,관람료,휴관일,개관일자,객석수,대표이미지,기타사항,시설소개,무료구분,지하철,버스정거장,YELLOW,GREEN,BLUE,RED,공항버스
10.0,문화원,주한독일문화원,서울특별시 용산구 소월로 132,37.55071315,126.9827115,02-2021-2800,,http://www.goethe.de/ins/kr/seo/deindex.htm,09:00 ? 18:00,,"토요일, 공휴일",,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=2a25dc3699c84f7193c39ee559238a32&thumb=Y,■ 기    타 : 도서관 월~금요일 13:00~18:00,"<span style='font-size: 14pt;'>독일 문화원(괴테 인스티투트)는 해외에서의 독일어 보급과 지원, 국제 간의 문화교류 증진을 위한 공익 법인으로써 1959년 설립되었다. 독일 문화원의 주요 업무는 독일 문화를 한국에 널리 알리기 위한 음악, 영화, 미술, 문학, 춤, 학술 등 다양한 분야의 폭넓은 문화행사를 주관하고 후원하는 것이다. 도서관, 음악당, 어학강의실, 카페테리아 등 시설을 갖추고 있다. 독일유학상담도 할 수 있다.</span>",유료,,,,,,,
14.0,박물관/기념관,용산도시기억전시관,"한강로3가 64-1 , 용산센트럴파크 해링턴스퀘어 공공시설동 1,2층",37.52686633,126.9668797,02-3785-2590,,https://blog.naver.com/yongsanpark_gallery,,,"일, 월, 공휴일",,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000101551&thumb=Y,,<!&#45;&#45;startfragment&#45;&#45;><p class='0'><span><span>층 전시관은 용산도시변천사와 용산참사 등 용산기지 관련 수집자료를 활용한 콘텐츠로 구성되고</span><span lang='EN-US'><span lang='EN-US'><font size='3'> 2<span></span></font></span><font size='2'></font></span></span></p><p class='0'><br />  </p>,무료,,,,,,,
24.0,기타,노들섬 복합문화공간,서울특별시 용산구 양녕로 445,37.51766383,126.9580365,02-749-4500,,http://nodeul.org/,,0,매주 월요일,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=a56628300474441382016ed4bef5764c&thumb=Y,,"<p style='line-height: 1.8;'><span style='font-size: 14pt;'>노들섬은 바쁜 일상에서 잠시 벗어나, 온전한 나만의 시간을 보낼 수 있는 한강 위 복합문화공간입니다.</span></p><p style='line-height: 1.8;'><span style='font-size: 14pt;'>노들섬 내 공연장, 뮤직라운지, 서가, 전시실, 야외광장 등의 공간에서 다양한 프로그램이 여러분을 기다립니다.</span></p>",무료,,,,,,,
29.0,미술관,리움미술관,서울특별시 용산구 이태원로55길 60-16,37.53846127,126.9992941,02-2014-6900,,http://leeum.samsungfoundation.org,,,"매주 월요일, 1월 1일, 설날(음력) 및 추석 당일",,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=046cf915fb774cf78dbe330db84d63f4&thumb=Y,,"<div style='text-align: center;' align='center'><span style='font-size: 14pt;'>1965년 삼성문화재단 설립 이후 소중한 문화 유산을 보전하고 대중에게 알리고자 노력해온 삼성미술관은 2004년 서울 한남동에 미술관 건물을 신축하면서 삼성미술관 Leeum을 개관했습니다. 수준 높은 소장품 전시 및 기획전시 개최 등 그간의 괄목할만한 활동과 성과로 지금 리움은 명실공히 한국을 대표하는 미술관으로 성장하였습니다.</span></div><div style='text-align: center;' align='center'><span style='font-size: 12px;'><br></span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>Leeum은 설립자의 영문 성 'Lee'와 미술관[Museum]의 'um'이 조합된 이름입니다. 2004년 개관 당시 리움의 MI 디자인을 맡은 마고 퍼먼(Margot Perman)은 고대 로마시대의 비문에 쓰인 문자를 현대적으로 변형하여 대소문자의 높이가 같은 독특한 로고를 만들었습니다. 로고의 중심을 가로지르는 타임라인 모티프는 고미술에서 현대미술로, 또 미래를 향해 나아가는 삼성미술관 Leeum의 성격을 상징합니다.</span></div>",무료,,,,,,,
51.0,기타,용산구문화체육센터,서울특별시 용산구 백범로 350,37.53724193,126.9676278,02-707-2492~4,02-707-2495,https://www.yong-san.or.kr/site/cs/home,,,"1, 3, 5주 일요일, 공휴일, 국경일, 정기휴관일",2005.10.10,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=3a1dc0d8855c49ec8e93c561e62cfeaf&thumb=Y,"본센터는 용산구 백범로 350에 위치한 지하2층, 지상5층 규모의 문화체육센터로 수영장, 헬스장 및 배드민턴 등 체육프로그램을 비롯하여 다양한 문화강좌 교육프로그램을 효율적으로 운영하여 구민의 건강과 복리증진에 기여하고 있습니다.","<span style='font-size: 14pt;'>우리 용산구 문화체육센터는 일상생활에서 자율성과 참여를 바탕으로 지역주민의 권리를 옹호하며, 지역문화의 질을 향상시키기 위한 지도, 상담 등 여가활동을 위한 새로운 프로그램을 개발진행하여 건강한 신체활동과 레저문화의 장을 제공함으로써 용산구 전체의 복지증진과 구민건강을 위한 용산구 문화체육센터로서의 기능을 수행하고자 합니다.</span>",유료,,,,,,,
94.0,도서관,서울특별시교육청 남산도서관,서울특별시 용산구 소월로 109,37.55255642,126.9821581,02-754-7338,02-754-6545,http://nslib.sen.go.kr/,,,"정기휴관일 : 매월 1,3주 월요일, 법정공휴일, 임시휴관일",,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=9e6b2c56a190412bade5635fce7f9578&thumb=Y,,"<p><span style='font-size: 14pt;'>1922년 7월 1일 일제강점기 당시 경성부고시 제19호로 경성부립도서관규정을 제정하고 1922년 10월 5일 명동2가의 구한성병원을 개수하여 경성부립도서관으로 개관하였다. 1927년 5월 소공동의 대관정 건물로 이전하고, 1928년 6월 열람석 500석을 갖춘 3층 건물을 건축하였다. 1945년 12월 19일 경성부립남대문도서관으로, 1946년 9월 28일 서울시립남대문도서관으로 이름을 바꿨다. 1963년 11월 24일 서울시의 이전계획에 따라 용산구 후암동에 도서관을 짓기 시작하여 1965년 1월 27일 개관하고 1965년 2월 13일 지금의 이름으로 바꿨다. 대지 1만 3316㎡(4,028평), 건물 9,329㎡(2,822평), 좌석 2,014석이다. 소장도서는 국내외 서적 약 50만 권을 소장하고 있다. </span></p><p><br></p><p><span style='font-size: 14pt;'>■ 이용시간 안내  </span></p><table border='1' cellspacing='0' cellpadding='3' width='80%'> <tbody> <tr align='middle'> <td width='40%'><span style='font-size: 14pt;'>구 분</span></td> <td width='30%'><span style='font-size: 14pt;'>하절기(3월~10월)</span></td> <td width='30%'><span style='font-size: 14pt;'>동절기(11월~2월)</span></td></tr> <tr align='middle'> <td rowspan='2'><span style='font-size: 14pt;'>인문사회과학실</span><br><span style='font-size: 14pt;'>  자연과학실</span><br><span style='font-size: 14pt;'>  연속간행물실</span><br><span style='font-size: 14pt;'>  어문학실</span></td> <td><span style='font-size: 14pt;'>평일 09:00~20:00</span></td> <td><span style='font-size: 14pt;'>평일 09:00~19:00</span></td></tr> <tr align='middle'> <td><span style='font-size: 14pt;'>주말 09:00~17:00</span></td> <td><span style='font-size: 14pt;'>주말 09:00~17:00</span></td></tr> <tr align='middle'> <td rowspan='2'><span style='font-size: 14pt;'>전자정보실</span></td> <td><span style='font-size: 14pt;'>평일 09:00~18:00</span></td> <td rowspan='2'><span style='font-size: 14pt;'>평일/주말 09:00~17:00</span></td></tr> <tr align='middle'> <td><span style='font-size: 14pt;'>주말 09:00~17:00</span></td></tr> <tr align='middle'> <td><span style='font-size: 14pt;'>일반열람실</span></td> <td><span style='font-size: 14pt;'>평일/주말 07:00~22:00</span></td> <td><span style='font-size: 14pt;'>평일/주말 08:00~22:00</span></td></tr></tbody></table><p><br></p><p><span style='font-size: 14pt;'>■ 정기휴관일 : 매월 첫째?셋째 월요일 </span></p><p><span style='font-size: 14pt;'>■ 법정공휴일 : 일요일을 제외한 관공서 공휴일&nbsp;</span></p><p><span style='font-size: 14pt;'>■ 임시휴관일 : 도서관 사정으로 휴관하는 일</span></p>",무료,,,,,,,
136.0,기타,녹사평 용산공원 플랫폼,서울특별시 용산구 녹사평대로 지하 195,37.53483142,126.9870285,02-2133-2588,,www.yongsanpark.community,,,연중무휴,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000101529&thumb=Y,,"<p class='0' style='letter-spacing:><span style='><span style='mso-fareast-font-family:>서울시는 녹사평역 내 공간을 활용하여 </span><span lang='>용산공원 시민소통공간</span><span lang='EN-US' style='letter-spacing:>’</span><span style='>인 </span><span lang='EN-US' style='letter-spacing:>‘</span><span style='>용산공원 플랫폼</span><span lang='EN-US' style='letter-spacing:>’</span><span style='>을 </span><span lang='EN-US' style='letter-spacing:>2020</span><span style='>년 </span><span lang='EN-US' style='letter-spacing:>7</span><span style='>월 </span><span lang='EN-US' style='letter-spacing:>6</span><span style='>일 조성하였습니다</span><span lang='EN-US' style='letter-spacing:>. </span></span></p><p class='>녹사평 용산공원 플랫폼</span><span lang='EN-US' style='letter-spacing:>'</span><span style='>에서는 지하 </span><span lang='EN-US' style='letter-spacing:>1</span><span style='>층에 </span><span lang='EN-US' style='letter-spacing:>‘</span><span style='>기획 전시</span><span lang='EN-US' style='letter-spacing:>’</span><span style='>와 </span><span lang='EN-US' style='letter-spacing:>‘</span><span style='>문화 체험</span><span lang='EN-US' style='letter-spacing:>’ </span><span style='>공간을</span><span lang='EN-US' style='letter-spacing:>, </span><span style='>지하 </span><span lang='EN-US' style='letter-spacing:>4</span><span style='>층에는 용산공원 관련 세미나와 시민참여 프로그램을 운영할 수 있는 </span><span lang='EN-US' style='letter-spacing:>‘</span><span style='>시민 소통</span><span lang='EN-US' style='letter-spacing:>’ </span><span style='>공간으로 마련하였습니다</span><span lang='EN-US' style='letter-spacing:>.<span style='></span></p>",무료,,,,,,,
145.0,도서관,서울특별시교육청 용산도서관,서울특별시 용산구 두텁바위로 160,37.5520064,126.9801413,02-6902-7777,,http://yslib.sen.go.kr,,,"매월 둘째, 넷째 화요일/ 법정공휴일",,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=140c975acfcd427a807f416a21127fad&thumb=Y,,<div style='text-align: center;' align='center'><span style='font-size: 14pt;'>용산도서관은 남산의 수려한 경관 아래 후암동 두텁바위 마을에 1981년 4월 개관하였습니다.</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>후암동 오르막 골목길 끝자락에서 만나게 되는 우리도서관은&nbsp; 정겨운 사람들의 숨은 이야기와 추억의 시간들이 묻어있는&nbsp; 보물 같은 공간입니다.</span></div>,무료,,,,,,,
147.0,박물관/기념관,국립한글박물관,서울특별시 용산구 서빙고로 139,37.5210688,126.9804863,02-2124-6200,,http://www.hangeul.go.kr,,,법정공휴일(한글날제외),,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100971&thumb=Y,,"<div><span style='font-size: 14pt;'><b>건축 개념</b></span></div><div><span style='font-size: 14pt;'>한글 모음의 제자 원리인 천지인을 형상화하여 하늘의 켜, 사람의 켜, 땅의 켜를 켜켜이 쌓아올린 공간에 소통의 매개체인 한글을 담고, 한국 전통 가옥의 처마와 단청의 멋을 현대적으로 재구성하였습니다.</span></div><div><span style='font-size: 12px;'><br></span></div><div><span style='font-size: 14pt;'><b>건축 개요</b></span></div><div><span style='font-size: 14pt;'>위치:서울시 용산구 서빙고로 139(국립중앙박물관과 용산가족공원 사이), 우편번호: 04383</span></div><div><span style='font-size: 14pt;'>규모:지하 1층, 지상 4층</span></div><div><span style='font-size: 14pt;'>연면적:11,767㎡;&nbsp; ※ 전시면적: 3,500㎡ (상설 ? 기획 전시실, 체험 ? 교육 등)</span></div><div><span style='font-size: 12px;'><br></span></div><div><span style='font-size: 14pt;'><b>추진 현황</b></span></div><div><span style='font-size: 14pt;'>2010년 4월 건축설계 용역 현상공모를 시행, 한글의 과거, 현재, 미래와 문화가 층층이 담긴 소통의 켜를 기본 개념으로 한 건축 설계안 당선</span></div><div><span style='font-size: 14pt;'>2011년 1월 건축 설계 완료</span></div><div><span style='font-size: 14pt;'>2011년 3월 건립 공사 용역 발주</span></div><div><span style='font-size: 14pt;'>2011년 7월 국립한글박물관 착공</span></div><div><span style='font-size: 14pt;'>2013년 8월 건축공사 완공</span></div><div><span style='font-size: 14pt;'>2014년 10월 국립한글박물관 개관</span></div>",무료,,,,,,,
166.0,문화예술회관,용산아트홀,서울특별시 용산구 녹사평대로 150,37.53281303,126.9902078,02-2199-7260,02-2199-8394,http://art.yongsan.go.kr,공연에 따라 다름,,매주 월요일,2010.07.01,공연장 2개/대극장 총 787석 규모/소극장 총 304석 규모,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100861&thumb=Y,,"2010년 7월에 개관한 용산아트홀은 용산구 종합행정타운내에 위치하고 있으며 지상1층에서 지하3층으로 연면적 8,519㎡규모로 된 문화시설로 대극장, 소극장, 100평 규모의 전시장 및 다목적실,문화강좌실 등의 시설을 갖춘 문화예술 전용 공간으로 자리잡고 있음",유료,,,,,,,
