번호,주제분류,문화시설명,문화시설주소,위도,경도,전화번호,팩스번호,홈페이지,관람시간,관람료,휴관일,개관일자,객석수,대표이미지,기타사항,시설소개,무료구분,지하철,버스정거장,YELLOW,GREEN,BLUE,RED,공항버스
5.0,문화예술회관,노원문화예술회관,서울특별시 노원구 중계로 181,37.65023685,127.0802671,02-2289-3400,,https://www.nowonarts.kr/,,,행사 일정에 따름,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000101437&thumb=Y,,"<p><font face='돋움' size='2'>노원문화예술회관은 중계로 181 불암초등학교 맞은편에 위치하고 있으며 <font face='돋움' size='2'>지상 6층, 지하 3층, 연면적 13,167㎡(3,983평) 규모에 608석(일반 600석, 장애인석 8석)의 대공연장, <font face='돋움' size='2'>288석(일반석 284석, 장애인석 4석)의 소공연장, 스카이라운지, 전시실, 다목적실, 잔디광장의 야외무대, 기타 공연부대시설 등을 갖춘 서울 동북부 최고의 문화예술공간입니다.</font></font></font></p>",무료,"4호선 상계역 : 4번 출구 - 1143번, 1140번 버스(노원문화예술회관 하차) / 1142번, 1224번 버스(은행사거리 하차 후 도보)",,,,,,
16.0,박물관/기념관,서울생활사박물관,서울특별시 노원구 동일로174길 27,37.62017392,127.0769362,02-3399-2900,,https://museum.seoul.go.kr/sulm/index.do,09:00 ~ 18:00 (입장마감 : 17:30),,"공휴일을 제외한 매주 월요일, 1월 1일<br>* 월요일이「관공서의 공휴일에 관한 규정」제2조에 따른 공휴일일 때에는 휴관하지 아니함",,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=171a2e8550b5489bbf20fc511d1935e2&thumb=Y,"은행알 추첨기, 브라더 재봉틀, 밤섬에서 사용하였던 배 제작 도구 등 1,519점","<div><span style='font-size: 14pt;'>2019년 7월에 개관한 서울생활사박물관은 과거 서울북부지방법원과 서울북부지방검찰청이 있던 북부법조단지였습니다.</span></div><div><span style='font-size: 14pt;'>2010년, 북부법조단지가 이전함에 따라 해당공간이 유휴지가 됐습니다. 이에 서울시는 도시재생 사업의 일환으로, 구 북부법조단지 공간을 리모델링 하였습니다.</span></div><div><span style='font-size: 12px;'><br></span></div><div><span style='font-size: 14pt;'>청사 이전으로 인한 유휴 공간을 활용함과 동시에 북부법조단지라는 사법적 권위를 상징하는 공간을 시민들에게 돌려주고, 시민이 중심이 되어 함께 전시를 만들고 교육프로그램을 운영할 것입니다.</span></div><div><span style='font-size: 14pt;'>기억과 감성을 담은 근현대 생활사 박물관으로써, 시민들이 소통하고 교감하는 동북부 복합문화공간의 중심이 될 것입니다.</span></div>",무료,,,,,,,
216.0,기타,노원구청,서울특별시 노원구 노해로 437,37.65416505,127.0566605,02-2116-3114,02-2116-4614,http://www.nowon.kr,월요일~금요일 09:00~18:00,,"매주 토요일, 법정 공휴일",,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100782&thumb=Y,,"<p>서울특별시 노원구의 행정과 민원 등의 업무를 담당하며, 1988년 1일 1일에 개청하였습니다.<br></p>",무료,,,,,,,
63.0,기타,육군사관학교,서울 노원구 공릉동 1-1,37.62373955,127.1010933,02-1533-8264,02.2197.6415,https://www.kma.ac.kr:461/,,,"휴장일(매주 월요일, 수요일 오후, 1.1, 설 및 추석 연휴)",,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=318469f87b904459bd9d76bb130c166d&thumb=Y,,"<div><span style='font-size: 12pt;'>육군사관학교는 4차 산업혁명의 급변하는 안보환경 속에서 미래 육군의 변혁을 선도할 올바르고, 유능하며, 헌신하는 핵심인재 양성을 위해 최선을 다하겠습니다.</span></div><div><span style='font-size: 12px;'><br></span></div><div><span style='font-size: 12pt;'>사관생도들이 爲國獻身 軍人本分이라는 본질적 가치와 도덕적 용기를 견지한 가운데, 강인한 체력과 정신력, 리더십, 군사지식과 전투기술, 창의적이고 통합적인 문제해결능력을 갖추고 스스로 설정해 놓은 한계를 넘어 끊임없이 성장해 갈 수 있도록 학교 전 장병의 지혜와 역량을 결집해 나감으로써 강한 육군, 자랑스러운 육군 건설의 기반을 확고히 다지겠습니다.</span></div><div><span style='font-size: 12px;'><br></span></div><div><span style='font-size: 12pt;'>이곳 홈페이지는 자유로운 의사소통 공간입니다. 항상 열린 마음으로 경청하고, 함께 고민하며, 폭넓은 공감대가 형성되도록 노력하겠습니다.</span></div>",무료,,,,,,,
132.0,도서관,노원중앙도서관,서울특별시 노원구 노원로34길 43,37.66107867,127.0649968,02-950-0050,02-950-0059,https://www.nowonlib.kr/,,,"매월 첫째, 셋째 월요일 및 일요일을 제외한 법정공휴일, 임시공휴일",,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100129&thumb=Y,,"<p>서울시 노원구 상계동에 위치한 노원구립 도서관입니다.</p><p><br></p><p><b>이용시간</b></p><p>- 모자?어린이열람실, 연속?시각장애인열람실 : (평일)09:00~18:00 (주말)09:00~17:00<br>- 종합자료실, 디지털 자료실 : (평일)09:00~20:00<span style='white-space: pre;'>	</span>(주말)09:00~17:00<br>- 일반열람실 :&nbsp;하절기 (3~10월) 07:00~23:00, 동절기 (11~2월) 08:00~23:00<br>- 장난감도서관 ‘놀이아띠’ : (평일 화~금요일)10:00~18:00 (토요일)10:00~17:00 *점심시간(12:00~13:00) 휴실<span style='white-space: pre;'>	</span><br>&nbsp;* 잉글리시카페는 임시휴실중입니다.</p><div><br></div><p><b>시설현황</b></p><p>&nbsp;- 4층 : 일반열람실<br>&nbsp;- 3층 : 디지털자료실, 시청각실, 교육실, 문화교실, 누리방<br>&nbsp;- 2층 : 종합자료실, 이야기방<br>&nbsp;- 1층 : 어린이열람실, 모자열람실, 북적북적실, 시각장애인열람실, 연속간행물실<br>&nbsp;- 지하 : 장난감도서관 '놀이아띠', 잉글리시카페/휴먼라이브러리, 주차장 등</p>",무료,,,,,,,
141.0,도서관,월계도서관,서울특별시 노원구 월계로 319,37.62863772,127.0561228,02-991-0871,02-991-0882,https://www.nowonlib.kr/,,,리모델링으로 인한 임시휴관 (2023.05~2024.05(예정))	,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=8c7a961c50a64c1cb36a1dc224e37cd3&thumb=Y,,"■ 이용시간<br>  <br>   <table style='WIDTH: 466px; HEIGHT: 243px' border='1' cellspacing='0' bordercolor='gray' cellpadding='5' width='466' align='left'> <tbody> <tr bgcolor='#cccc'> <td>층별</td> <td>실별</td> <td>평일</td> <td>토,일요일</td> </tr><tr> <td>1층</td> <td>어린이자료실</td> <td rowspan='3'>09:00~18:00</td> <td rowspan='4'>09:00~17:00</td> </tr><tr> <td rowspan='2'>2층</td> <td>연속간행물실</td> </tr><tr> <td>어린이자료실</td> </tr><tr> <td>3층</td> <td>디지털종합자료실</td> <td>09:00~20:00</td> </tr><tr> <td>4층</td> <td>일반열람실</td> <td colspan='2'>03월~10월(07:00~23:00)<br>  11월~02월(08:00~23:00)</td></tr></tbody></table><p><br>  <br>  <br>  <br>  <br>  <br>  <br>  <br>  <br>  <br>  <br>  <br>  <br>  <br>  <br><br>  ■ 도서관 휴관일<br>  <br>  &nbsp; - 정기휴관일 : 2, 4주 월요일<br>  &nbsp; - 임시휴관일 : 법정공휴일과 겹칠 경우 휴관), 기타 관장이 필요에 의해 정하는 날</p><p><b><br></b></p><p><b><span style='color: rgb(0, 117, 200);'>* 리모델링으로 인한 휴관(2023.05~2024.05(예정))</span></b><br></p>",무료,,,,,,,
217.0,도서관,노원어린이도서관,서울 노원구 중계동 356,37.65824715,127.0765765,02-933-7145,02-933-2455,https://www.nowonlib.kr/,평일 : 오전9시~오후6시  주말: 오전9시~오후5시,,"매월 2,4주 월요일 법정공휴일, 임시공휴일",,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100786&thumb=Y,,"<br>  ■&nbsp;이용시간&nbsp;<br>  &nbsp;&nbsp;- 평일은 오전 9시부터 오후 6시까지입니다. <br>  &nbsp; - 주말은 오전 9시부터 오후 5시까지입니다.&nbsp;&nbsp;<br>  &nbsp;&nbsp;&nbsp;&nbsp;&nbsp; <br>  ■ 휴관일 <br>  &nbsp; - 매주 화요일 <br>  &nbsp; - 일요일을 제외한 법정공휴일 (단, 일요일과 법정공휴일이 겹칠 경우 휴관)&nbsp;<br>  &nbsp;&nbsp;&nbsp;&nbsp;&nbsp; <br>  ■ 자료이용 <br>  &nbsp;&nbsp; - 유아열람실과 아동열람실에서는 자유롭게 책을 볼 수 있습니다.<br>  &nbsp; - 디지털자료실 자료와 자료보관실 책을 이용하기 위해서는 자료검색 컴퓨터에서 이용할 자료를 검색하여 신청한 후, 이용할 수 있습니다. <br>  <br>",무료,,,,,,,
224.0,미술관,서울시립 북서울미술관,서울특별시 노원구 동일로 1238,37.64066045,127.0668656,02-2124-8800,,https://sema.seoul.go.kr/kr/visit/bukseoul,평일(화~금) 오전 10시 ~ 오후 8시 (관람 종료 1시간 전까지 입장)<br>토 ? 일 ? 공휴일<br>   - 하절기(3~10월) 오전 10시~오후 7시<br>   - 동절기(11~2월) 오전 10시~오후 6시,0,"1월 1일 , 매주 월요일<br>월요일이 공휴일인 경우 정상 개관",,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=d1e78e9db32549a59962189dbad07e0e&thumb=Y,-,"<div><span style='font-size: 14pt;'>서울시립 북서울미술관은 지역 공동체와 상생하는 미술관입니다.</span></div><div><span style='font-size: 12px;'><br></span></div><div><span style='font-size: 14pt;'>갈대 언덕에서 비롯한 지명을 살린 노원구에 위치한 서울시립 북서울미술관은 공원 산책로와 미술관 출입구를 연결한 개방형 건물입니다.&nbsp;</span></div><div><span style='font-size: 14pt;'>야외 조각 전시를 비롯해 미로형으로 설계된 전시실, 아트도서실, 카페, 다목적 홀에서 이곳을 주로 찾는 가족 단위 관람객이 즐길 수 있는 다양한 프로그램이 운영됩니다.</span></div>",무료,,,,,,,
278.0,문화원,노원문화원,서울특별시 노원구 동일로197길 24,37.62879899,127.0698009,02-6380-0022~3,02-938-1247,https://www.nwcc.or.kr/main/index.php,,,"일요일, 법정공휴일",,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=7d99e66703844bceaf2c1174164e2cc2&thumb=Y,,"<div style='text-align: center;' align='center'><span style='font-size: 14pt;'>문화예술활동과 향토사 조사, 연구사업, 문화학교 등을 통하여 지역주민들이 더욱 풍요로운 문화적 삶을 누릴 수 있도록 노력하는 비영리 특수법인입니다.&nbsp;</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>그동안 노원구사랑방이야기, 1,2집과 노원으로의 역사여행, 노원의 문화유적을 찾아서, 노원의 역사와 문화, 마들이야기 등의 향토사료집과 영상자료를&nbsp;</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>제작하여 배포하였고, 2000년 11월부터 노원문화 라는 지역문화 정보지를 매년 발간하고 있습니다. 앞으로도 지역주민의 다양한 문화적 요구에 부응할&nbsp;</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>수 있도록 최선을 다하는 문화원이 되겠습니다.</span></div>",무료,,,,,,,
309.0,기타,서울과학기술대학교,서울특별시 노원구 공릉로 232,37.63307893,127.0767947,02-970-6114,,https://www.seoultech.ac.kr/index.jsp,,,정보없음,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=8b1b25c8448942d29fd0285190a81e8c&thumb=Y,,"<p><span style='font-size: 12pt;'>1910년 설립된 어의동공업전수학교가 모체이다. 교훈은 성실?창의?협동이다. 1931년 경성공립직업학교, 1944년 경성공립공업학교, 1953년 경기공업고등학교, 1963년 5년제 경기공업고등전문학교로 개편되었다. 1968년 국립으로 이관되었고, 1974년 경기공업전문학교, 1979년 경기공업전문대학으로 개편되었다가 1982년 정부의 개방대학 설치방침에 따라 경기공업개방대학으로 개편되었으며, 1988년 서울산업대학교로 교명을 변경하였다.</span></p><p><span style='font-size: 12px;'><br></span></p><p><span style='font-size: 12pt;'>2011년 기준 6개 대학원(산업대학원, 주택대학원, 철도전문대학원, IT정책전문대학원, 에너지환경대학원, NID융합기술대학원), 5개 단과대학(공과대학, 자연생명과학대학, 조형대학, 인문사회대학)과 1개 학부(국제융합학부)로 이루어져 있다. 부속시설로 국제교류센터?교육기자재관리소?기숙사?신문방송국?어학원?창업보육센터?사회교육원 등이 있고 지원시설로는 정보처리센터?도서관이 있다.</span></p><p><span style='font-size: 12px;'><br></span></p><p><span style='font-size: 12pt;'>부속/지원시설은 공동실험실습관, 기록관, 생활관, 신문방송사, 중앙도서관 등이 있고, 부속연구소로 제품개발연구소?안전과학연구소?정밀기계기술연구소?건설기술연구소?구조공학연구소?건축기술연구소?생산기술연구소?전기정보기술연구소?산업기술연구소?조형디자인연구소?사회과학연구소?가스기술연구소 등이 있다.</span></p><p><span style='font-size: 12px;'><br></span></p><p><span style='font-size: 12pt;'>일제시대에 경성제국대학 광산학과 교사로 지은 건물인 대륙관은 등록문화재 제369호로 지정되어 있으며, 경성제국대학의 이공학부 본관으로 지은 건물인 다산관은 이후 서울공과대학 건물로 사용되다가 2002년 등록문화재 제 12호로 지정되었다.</span></p>",무료,,,,,,,
