번호,주제분류,문화시설명,문화시설주소,위도,경도,전화번호,팩스번호,홈페이지,관람시간,관람료,휴관일,개관일자,객석수,대표이미지,기타사항,시설소개,무료구분,지하철,버스정거장,YELLOW,GREEN,BLUE,RED,공항버스
1.0,기타,경희대학교,서울특별시 동대문구 경희대로 26,37.59394914,127.054891,02) 961-0114,,https://www.khu.ac.kr/kor/main/index.do,,,없음,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=de5fcf4addd140eeb59f259219fc117b&thumb=Y,,"<div style='text-align: center;' align='center'><span style='font-size: 14pt;'>경희는 서울, 국제, 광릉의 3개 캠퍼스로 구성돼 있다. 24개 단과대학, 5개 학부에 82개 학과, 13개 전공이 있으며,&nbsp;</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>1개 일반대학원, 4개 전문대학원, 9개 특수대학원을 두고 있다. 부설연구원(소)은 49개, 부속기관은 37개다.&nbsp;</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>교직원 수는 1,900여 명, 재학생 수는 33,500여 명이다.</span></div>",무료,,,,,,,
9.0,박물관/기념관,세종대왕기념관,서울특별시 동대문구 회기로 56,37.59099289,127.0427032,02-969-8851,,http://sejongkorea.org/main/main.html,09:00 ~ 18:00,"대인 1,800원/ 소인 1,200원","매주 월요일, 설날, 추석, 신정",,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100154&thumb=Y,,"<div style='text-align: center;' align='center'><span style='font-size: 14pt;'>고세종대왕의 성덕과 위업을 추모하고 보존하기 위해 1970년 세종대왕기념사업회에서 준공하였다.&nbsp;</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>전시관은 한글실, 과학실, 국악실, 일대기실로 구성된다.&nbsp;</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>&lt;한글실&gt;은 세종대왕 당시 펴낸 도서류를, &lt;과학실&gt;은 과학 관계자료(금속활자 판자기, 수표측우기 등)를 전시하고 있으며,&nbsp;</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>&lt;국악실&gt;은 국악악기류를 전시하고 있다. &lt;일대기실&gt;은 김학수선생께서 수년동안 그린 '세종대왕 일대기 그림' 14폭이&nbsp;</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>전시되어 있어 세종대왕의 치덕을 살펴 볼 수 있다.</span></div>",유료,,,,,,,
34.0,기타,동대문구민체육센터,서울특별시 동대문구 장안벚꽃로 67,37.56653099,127.0734724,02-2247-9772~5,02-2247-9776,https://www.dfmc.kr:8443/course/sports/fmcs/121,평일 : 06:00~21:50 / 휴토요일 : 06:00~17:50,,"토 09:00~13:00 첫째, 셋째주 일요일 09:00 ~ 18:00",1992년 2월,공연장 없으며 유사시설로 대체육관이 있으나 좌석 미설치,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=bdbbecf0cdb548f0acc35e98aa053d9e&thumb=Y,"매주 일요일은 휴관(대관시에만 부분개방)하고 있으나 지역주민의 요청으로 매월 1,3째주 일요일에 한하여 한시적으로 일일 자유수영을 개방운영중에 있다.","<p><span style='font-size: 14pt;'>동대문구민체육센터는 1992년에 건립되어 YMCA 회관으로 운영</span><br><span style='font-size: 14pt;'>  되던중 2004년 동대문구시설관리공단에 위탁되어 현재까지 운영되고 있는 관내 최대시설의 복합 문화,체육 시설이다(연면적 1,563평)</span></p> <p><span style='font-size: 14pt;'>주요시설은 수영풀(9레인 - 성인 6레인, 유아 3레인), 대체육관(192평), 헬스장, 에어로빅장, 유아교육실 및 강의실, 체육실 등을 갖추고 있으며 수영, 문화프로그램 강좌, 헬스, 체육사업, 유아체능단 사업 등을 위주로 운영되고 있으며 연평균 이용회원수는 약 3천5백여명 정도로 추산된다. </span></p> <p><span style='font-size: 14pt;'>간단한 운영현황을 소개하면 대체육관에서는 농구, 인라인, 배드민턴, 실내축구, 실내야구 등 각종 체육수업이 가능하며, 헬스장은 각종 유산소, 근력, 맛사지 기구등을 갖추고 매주 3회이상 회원들을 대상으로 체성분 분석등을 제공하고 있다.</span></p> <p><span style='font-size: 14pt;'>특히 당 센터에서 운영하는 유아체능단 사업(5~7세)은 지역 학부모들로부터 인기가 높아 매년 100%에 가까운 입단율을 자랑한다. 기타 유아, 어린이, 청소년, 성인(남녀)를 대상으로 다채롭고 유익한 문화강좌를 운영하여 지역 문화체험의 중심지로 자리매김하고 있다.</span></p>",유료,,,,,,,
65.0,기타,동대문구청,서울특별시 동대문구 천호대로 145,37.57441853,127.0397491,02-2127-5000,02-2127-5096,https://www.ddm.go.kr/,평일 : 09:00~18:00,,"매주 토요일, 법정공휴일",,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100752&thumb=Y,,서울특별시 동대문구의 행정 및 민원 등의 업무를 담당하는 기관입니다.<br>,무료,,,,,,,
66.0,기타,서울문화재단,서울시 동대문구 청계천로 517,37.571509,127.0337136,02-3290-7000,02-6008-7346,http://www.sfac.or.kr/,,,주말 및 공휴일 휴관,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=905f57348b684c4782ad6ab0d2d3b4e5&thumb=Y,,"<div style='line-height: 1.8;'><span style='font-size: 12pt;'>서울문화재단은 2004년 서울특별시가 출연해 설립한 재단법인으로, 서울시민의 문화 향유를 위해 다양한 예술 창작지원 문화?축제, 예술교육 및 지역과 소통하는 창작공간 운영 등 다양한 사업을 기획 운영하고 있습니다.</span></div><div><br></div><div style='line-height: 1.8;'><span style='font-size: 12pt;'>예술가의 창작활동을 지원하는 ‘예술지원사업’, 예술교육을 통해 삶의 가치를 재발견하고 행복한 삶을 누릴 수 있도록 하는 것을 목표로 하는 ‘예술교육사업’, 일상 곳곳에서 만나는 예술, 다함께 즐기고 누리는 축제 등의 문화행사를 통해 시민이 문화로 행복해지기 위한 ‘시민문화사업’, 예술가의 창작 활동을 지원하고 시민은 문화예술을 생생하게 느낄 수 있는 ‘창작공간’을 서울 전역에 운영하고 있습니다.</span></div>",무료,,,,,,,
78.0,기타,서울풍물시장 전통문화체험관,서울특별시 동대문구 천호대로4길 21,37.57271319,127.0255029,02-2232-3368,02-2232-3360,www.pungmul.or.kr,,0,매주 화요일,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=3dee0f04f092440b8a0272fd27b65e3f&thumb=Y,,"<p style='text-size-adjust: none; word-break: break-all; color: rgb(102, 102, 102); line-height: 1.8;' nanum='' gothic',='' '맑은='' 고딕',='' 'malgun='' dotum;='' font-size:='' 14px;'=''><b style='text-size-adjust: none;'><span style='text-size-adjust: none; word-break: break-all; font-size: 24px;'>전통문화체험관</span></b><span style='font-size: 14pt;'>은 서울풍물시장을 방문한 내외국인 관광객이 다양한 한국의 전통문화 소품을 간단하게 만들어 볼 수 있는 공간입니다.</span></p><p style='text-size-adjust: none; word-break: break-all; color: rgb(102, 102, 102); line-height: 1.8;' nanum='' gothic',='' '맑은='' 고딕',='' 'malgun='' dotum;='' font-size:='' 14px;'=''><span style='font-size: 14pt;'>&nbsp;</span></p><p style='text-size-adjust: none; word-break: break-all; color: rgb(102, 102, 102); line-height: 1.8;' nanum='' gothic',='' '맑은='' 고딕',='' 'malgun='' dotum;='' font-size:='' 14px;'=''><span style='font-size: 14pt;'>*무료프로그램</span></p><p style='text-size-adjust: none; word-break: break-all; color: rgb(102, 102, 102); line-height: 1.8;' nanum='' gothic',='' '맑은='' 고딕',='' 'malgun='' dotum;='' font-size:='' 14px;'=''><span style='font-size: 14pt;'>&nbsp;- 한지전등갓 꾸미기</span></p><p style='text-size-adjust: none; word-break: break-all; color: rgb(102, 102, 102); line-height: 1.8;' nanum='' gothic',='' '맑은='' 고딕',='' 'malgun='' dotum;='' font-size:='' 14px;'=''><span style='font-size: 14pt;'>&nbsp;- 청사초롱 만들기</span></p><p style='text-size-adjust: none; word-break: break-all; color: rgb(102, 102, 102); line-height: 1.8;' nanum='' gothic',='' '맑은='' 고딕',='' 'malgun='' dotum;='' font-size:='' 14px;'=''><span style='font-size: 14pt;'>&nbsp;- 족자꾸미기</span></p><p style='text-size-adjust: none; word-break: break-all; color: rgb(102, 102, 102); line-height: 1.8;' nanum='' gothic',='' '맑은='' 고딕',='' 'malgun='' dotum;='' font-size:='' 14px;'=''><span style='font-size: 14pt;'>&nbsp;- 나무 노리개 만들기</span></p><p style='text-size-adjust: none; word-break: break-all; color: rgb(102, 102, 102); line-height: 1.8;' nanum='' gothic',='' '맑은='' 고딕',='' 'malgun='' dotum;='' font-size:='' 14px;'=''><span style='font-size: 14pt;'>&nbsp;- 도예토 노리개 만들기</span></p><p style='text-size-adjust: none; word-break: break-all; color: rgb(102, 102, 102); line-height: 1.8;' nanum='' gothic',='' '맑은='' 고딕',='' 'malgun='' dotum;='' font-size:='' 14px;'=''><span style='font-size: 14pt;'>&nbsp;- 부네탈 + 클레이 꾸미기</span></p><p style='text-size-adjust: none; word-break: break-all; color: rgb(102, 102, 102); line-height: 1.8;' nanum='' gothic',='' '맑은='' 고딕',='' 'malgun='' dotum;='' font-size:='' 14px;'=''><span style='font-size: 14pt;'>&nbsp;- 양반탈 + 클레이 꾸미기</span></p><p style='text-size-adjust: none; word-break: break-all; color: rgb(102, 102, 102); line-height: 1.8;' nanum='' gothic',='' '맑은='' 고딕',='' 'malgun='' dotum;='' font-size:='' 14px;'=''><span style='font-size: 14pt;'>&nbsp;</span></p><p style='text-size-adjust: none; word-break: break-all; color: rgb(102, 102, 102); line-height: 1.8;' nanum='' gothic',='' '맑은='' 고딕',='' 'malgun='' dotum;='' font-size:='' 14px;'=''><span style='font-size: 14pt;'>*유료프로그램</span></p><p style='text-size-adjust: none; word-break: break-all; color: rgb(102, 102, 102); line-height: 1.8;' nanum='' gothic',='' '맑은='' 고딕',='' 'malgun='' dotum;='' font-size:='' 14px;'=''><span style='font-size: 14pt;'>&nbsp;- 한지덮개필통(1,000원)</span></p><p style='text-size-adjust: none; word-break: break-all; color: rgb(102, 102, 102); line-height: 1.8;' nanum='' gothic',='' '맑은='' 고딕',='' 'malgun='' dotum;='' font-size:='' 14px;'=''><span style='font-size: 14pt;'>&nbsp;- 한지사각연필꽂이(1,000원)</span></p><p style='text-size-adjust: none; word-break: break-all; color: rgb(102, 102, 102); line-height: 1.8;' nanum='' gothic',='' '맑은='' 고딕',='' 'malgun='' dotum;='' font-size:='' 14px;'=''><span style='font-size: 14pt;'>&nbsp;- 한지육각연필꽂이(1,000원)</span></p><p style='text-size-adjust: none; word-break: break-all; color: rgb(102, 102, 102); line-height: 1.8;' nanum='' gothic',='' '맑은='' 고딕',='' 'malgun='' dotum;='' font-size:='' 14px;'=''><span style='font-size: 14pt;'>&nbsp;- 한지열쇠고리(1,000원)</span></p><p style='text-size-adjust: none; word-break: break-all; color: rgb(102, 102, 102); line-height: 1.8;' nanum='' gothic',='' '맑은='' 고딕',='' 'malgun='' dotum;='' font-size:='' 14px;'=''><span style='font-size: 14pt;'>&nbsp;- 한지거울핸드폰고리(1,000원)</span></p><p style='text-size-adjust: none; word-break: break-all; color: rgb(102, 102, 102); line-height: 1.8;' nanum='' gothic',='' '맑은='' 고딕',='' 'malgun='' dotum;='' font-size:='' 14px;'=''><span style='font-size: 14pt;'>&nbsp;- 풍등꾸미기(1,000원)</span></p><p style='text-size-adjust: none; word-break: break-all; color: rgb(102, 102, 102); line-height: 1.8;' nanum='' gothic',='' '맑은='' 고딕',='' 'malgun='' dotum;='' font-size:='' 14px;'=''><span style='font-size: 14pt;'>&nbsp;- 한지손거울만들기(1,000원)</span></p><p style='text-size-adjust: none; word-break: break-all; color: rgb(102, 102, 102); line-height: 1.8;' nanum='' gothic',='' '맑은='' 고딕',='' 'malgun='' dotum;='' font-size:='' 14px;'=''><span style='font-size: 14pt;'>&nbsp;- 단청컵받침(1,000원)</span></p><p style='text-size-adjust: none; word-break: break-all; color: rgb(102, 102, 102); line-height: 1.8;' nanum='' gothic',='' '맑은='' 고딕',='' 'malgun='' dotum;='' font-size:='' 14px;'=''><span style='font-size: 14pt;'>&nbsp;- 한지접시만들기(2,000원)</span></p><p style='text-size-adjust: none; word-break: break-all; color: rgb(102, 102, 102); line-height: 1.8;' nanum='' gothic',='' '맑은='' 고딕',='' 'malgun='' dotum;='' font-size:='' 14px;'=''><span style='font-size: 14pt;'>&nbsp;- 단청걸이꾸미기(2,000원)</span></p><p style='text-size-adjust: none; word-break: break-all; color: rgb(102, 102, 102); line-height: 1.8;' nanum='' gothic',='' '맑은='' 고딕',='' 'malgun='' dotum;='' font-size:='' 14px;'=''><span style='font-size: 14pt;'>&nbsp;- 한지태극부채만들기(2,000원)</span></p><p style='text-size-adjust: none; word-break: break-all; color: rgb(102, 102, 102); line-height: 1.8;' nanum='' gothic',='' '맑은='' 고딕',='' 'malgun='' dotum;='' font-size:='' 14px;'=''><span style='font-size: 14pt;'>&nbsp;- 전통탈액자(2,000원)</span></p><p style='text-size-adjust: none; word-break: break-all; color: rgb(102, 102, 102); line-height: 1.8;' nanum='' gothic',='' '맑은='' 고딕',='' 'malgun='' dotum;='' font-size:='' 14px;'=''><span style='font-size: 14pt;'>&nbsp;- 한복조끼꾸미기(2,000원)</span></p><p style='text-size-adjust: none; word-break: break-all; color: rgb(102, 102, 102); line-height: 1.8;' nanum='' gothic',='' '맑은='' 고딕',='' 'malgun='' dotum;='' font-size:='' 14px;'=''><span style='font-size: 14pt;'>&nbsp;- 닥종이남자인형만들기(3,000원)</span></p><p style='text-size-adjust: none; word-break: break-all; color: rgb(102, 102, 102); line-height: 1.8;' nanum='' gothic',='' '맑은='' 고딕',='' 'malgun='' dotum;='' font-size:='' 14px;'=''><span style='font-size: 14pt;'>&nbsp;- 민화에코백(3,000원)</span></p><p style='text-size-adjust: none; word-break: break-all; color: rgb(102, 102, 102); line-height: 1.8;' nanum='' gothic',='' '맑은='' 고딕',='' 'malgun='' dotum;='' font-size:='' 14px;'=''><span style='font-size: 14pt;'>&nbsp;- 패브릭손거울(3,000원)</span></p><p style='text-size-adjust: none; word-break: break-all; color: rgb(102, 102, 102); font-family: ' nanum='' gothic',='' '맑은='' 고딕',='' 'malgun='' dotum;='' font-size:='' 14px;'=''><br></p><p style='text-size-adjust: none; word-break: break-all; color: rgb(102, 102, 102); line-height: 1.8;' nanum='' gothic',='' '맑은='' 고딕',='' 'malgun='' dotum;='' font-size:='' 14px;'=''><span style='font-size: 14pt;'>-운영시간: 10:00~18:30 / 접수마감 18:00 (휴게시간 12:00~13:00)</span></p><p style='text-size-adjust: none; word-break: break-all; color: rgb(102, 102, 102); line-height: 1.8;' nanum='' gothic',='' '맑은='' 고딕',='' 'malgun='' dotum;='' font-size:='' 14px;'=''><span style='font-size: 14pt;'>-휴관일: 매주 화요일</span></p><p style='text-size-adjust: none; word-break: break-all; color: rgb(102, 102, 102); line-height: 1.8;' nanum='' gothic',='' '맑은='' 고딕',='' 'malgun='' dotum;='' font-size:='' 14px;'=''><span style='font-size: 14pt;'>-예약 접수 및 문의사항: 02) 2232-3367~8</span></p>",무료,,,,,,,
150.0,기타,이문체육문화센터,서울 동대문구 이문동 189,37.60230914,127.0690087,02-963-0534~7,02-963-0539,https://www.dfmc.kr:8443/course/sports/fmcs/125,평일:06:00~22:00 / 토:06:00~18:00 / 일:09:00~18:00,,넷째주 일요일,2005. 10,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100871&thumb=Y,,"2005년 개관한 이문체육문화센터는 15타석의 실내 골프장, 2면의 스쿼시장, 400명 수용능력의 헬스장과 에어로빅 및 다양한 문화활동을 즐길 수 있는 에어로빅실, 노래교실등을 운영하는 소강의실과 다목적실, 108석의 독서실과 20,000여권의 장서를 보유하고있는 어린이 도서관, 유아들의 놀이터인 드림짐 시설 등을 갖추고 있다. 동대문구의 동부권 구민의 여가활동과 문화욕구 충족을 위한 문화 체육기관의 역할을 충실하게 수행하고 있다.<br>  <br>  오시는 길<br>  지하철 신이문역 3번출구 / 시내버스 1122, 2235번(이문동 현대아파트 또는 신이문역 하차 후 도보 5분) / 시내버스 273번(이화교 지나 현대아파트 앞 하차 후 도보 5분)",유료,,,,,,,
155.0,기타,동대문구체육관,서울특별시 동대문구 답십리로 210-3,37.57228001,127.063958,02-2247-9611~4,02-2247-9615,http://www.dfmc.kr,운영시간: 06:00 ~ 22:00,,"국경일, 대관행사시 휴관",2004-11-01,"대체육관 1개 1,200석 / 소체육관 1개",https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100756&thumb=Y,,"<p>2004년에 문을 연 동대문구체육관은 체육시설이 부족한 동대문구 주민의 체력증진 및 다양한 여가활동 요구에 부응하고 각종대회 및 구단위 체육행사를 개최하고 생활체육의 활성화에 기여하고자 설립되었으며 지하1층, 지상2층의 5,746㎡규모의 건물로 1800석의 전동관람석을 갖춘 대체육관 및 소체육관에서는 대관행사를 비롯하여 다양한 체육 및 문화프로그램을 진행하고 있다. <br>  </p>",유료,,,,,,,
178.0,도서관,배봉산 숲속 도서관,서울특별시 동대문구 전농로16길 97,37.57844311,127.0627351,02-2212-8502,,https://l4d.or.kr/bfl/index.do,,,"매주 월요일, 법정 공휴일, 도서관 사정에 의한 임시 휴관일",,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000101480&thumb=Y,,"<p>배봉산 숲속 도서관</p><p><br></p><p>이용안내</p><p>어린이자료실 및 일반자료실<span style='white-space:pre'>	</span>09:00 ~ 22:00(평일)&nbsp; 09:00 ~ 18:00(주말)</p><p><br></p><p>시설안내</p><p>1층 : 공동육아방 등</p><p>2층 : 유아 및 어린이 자료실, 일반자료실 등</p>",무료,1호선-청량리역 2번출구(201번->홍릉초 하차) / 1호선-회기역 1번출구(마을1번->홍릉초 하차),전농동SK아파트 정류장(도보 5분),,"2013,2015,2230, 2233, 2311",,,공항버스
218.0,기타,동대문구청 아트갤러리,서울특별시 동대문구 천호대로 145,37.57439172,127.0398966,02-2127-4310,02-3299-2614,www.ddm.go.kr,평일:9시~18시,,"매주 토요일, 일요일, 공휴일",2009.10.28,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100872&thumb=Y,,"2009년에 문을 연 동대문구청 2층에 소재한 아트갤러리는 220㎡의 면적에 80여점의 작품을 전시할 수 있으며, 문화공간이 부족한 동대문구민에게 일상적 삶속에서 예술작품 감상 등문화적 가치를 실현할 수 있는 기회를 제공.",무료,,,,,,,
