번호,주제분류,문화시설명,문화시설주소,위도,경도,전화번호,팩스번호,홈페이지,관람시간,관람료,휴관일,개관일자,객석수,대표이미지,기타사항,시설소개,무료구분,지하철,버스정거장,YELLOW,GREEN,BLUE,RED,공항버스
4.0,도서관,구립은평뉴타운도서관,서울특별시 은평구 진관2로 111-51,37.6372304,126.9331183,(02) 6341-6400,,http://www.enlib.or.kr/,,,매주 금요일과 법정공휴일,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000101433&thumb=Y,,"<p class='0' style='line-height:130%;mso-pagination:none;text-autospace:none;mso-padding-alt:0pt 0pt 0pt 0pt;font-size:14.0pt;'><span style='font-family:HY견고딕;mso-fareast-font-family:HY견고딕;font-size:14.0pt;'>은평뉴타운도서관</span></p><p class='0' style='line-height:130%;mso-pagination:none;text-autospace:none;mso-padding-alt:0pt 0pt 0pt 0pt;mso-ascii-font-family:나눔바른고딕 Light;mso-font-width:100%;letter-spacing:0pt;mso-text-raise:0pt;'><font face='돋움'>&nbsp;은평구 진관동에 위치한 은평뉴타운도서관은 정보의 원활한 접근과 맞춤서비스<span lang='EN-US' style='letter-spacing: 0pt;'>, </span>평생교육<span lang='EN-US' style='letter-spacing: 0pt;'>, </span>창의적 독서 환경 제공 등 지역 주민 누구나 소통하고 정보를 나눌 수 있는 공간이자 시대의 변화에 발맞추어 새롭게 등장하는 미디어 정보를 제공하고 주민들의 퍼블릭 액세스를 실현하기 위한 도서관과 미디어센터가 결합한 복합 문화공간 기능을 수행하고 있습니다<span lang='EN-US' style='letter-spacing: 0pt;'>.</span></font></p><p class='0' style='line-height:130%;mso-pagination:none;text-autospace:none;mso-padding-alt:0pt 0pt 0pt 0pt;mso-ascii-font-family:나눔바른고딕 Light;mso-font-width:100%;letter-spacing:0pt;mso-text-raise:0pt;'><font face='돋움'>&nbsp;개관연장사업을 통한 야간독서문화프로그램<span lang='EN-US' style='letter-spacing: 0pt;'>, </span>학교 연계 독서진흥사업<span lang='EN-US' style='letter-spacing: 0pt;'>, 1</span>사서 <span lang='EN-US' style='letter-spacing: 0pt;'>1</span>동아리<span lang='EN-US' style='letter-spacing: 0pt;'>, ‘</span>미디어 리터러시 교육<span lang='EN-US' style='letter-spacing: 0pt;'>’, </span>지역주민들이 직접 만들어나가는 라디오 팟캐스트 은평<span lang='EN-US' style='letter-spacing: 0pt;'>FM, </span>새로운 형태의 북큐레이션 대책있는 사서들<span lang='EN-US' style='letter-spacing: 0pt;'>, </span>시니어 대상 콘텐츠 제작 교육 지원<span lang='EN-US' style='letter-spacing: 0pt;'>, </span>웹툰창작체험 교육<span lang='EN-US' style='letter-spacing: 0pt;'>, </span>어린이 꾸러기 기자단 등 어린이<span lang='EN-US' style='letter-spacing: 0pt;'>/ </span>청소년들에게는 전문교육을 통한 인재양성과 성인<span lang='EN-US' style='letter-spacing: 0pt;'>, </span>노인 및 정보소외계층에는 역량 강화를 통한 지역 커뮤니티 활성화를 위해 앞장서 나가고 있습니다<span lang='EN-US' style='letter-spacing: 0pt;'>. </span></font></p><p class='0'>  <!--[if !supportEmptyParas]--><font face='돋움'>&nbsp;</font><!--[endif]-->  <o:p></o:p></p>",무료,,,,"(지선) 7211, (지선) 7723",,,
38.0,도서관,구립증산정보도서관,서울특별시 은평구 증산로5길 6 (증산동 173-8) ,37.582727,126.9075589,02-307-6030,02-307-6020,http://www.jsplib.or.kr,,,정보없음,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100792&thumb=Y,,■ 이용시간<br>  <br>   <table class='tbl1' border='1' cellspacing='1' cellpadding='0' width='600'> <tbody> <tr> <td class='title1' rowspan='2'>자료실명</td> <td class='title1' colspan='2'>이용시간</td></tr> <tr> <td class='title2'>평일(월~금)</td> <td class='title2'>주말(토~일)</td></tr> <tr> <td> <div align='center'>종합자료실</div></td> <td align='middle'>09:00~22:00</td> <td align='middle'>09:00~17:00</td></tr> <tr> <td> <div align='center'>어린이열람실</div></td> <td align='middle'>09:00~18:00</td> <td align='middle'>09:00~17:00</td></tr> <tr> <td> <div align='center'>모자열람실</div></td> <td align='middle'>09:00~18:00</td> <td align='middle'>09:00~17:00</td></tr> <tr> <td> <div align='center'>디지털자료실</div></td> <td align='middle'>09:00~18:00</td> <td align='middle'>09:00~17:00</td></tr> <tr> <td> <div align='center'>일반열람실</div></td> <td align='middle'>08:00~22:00</td> <td align='middle'>08:00~22:00</td></tr></tbody></table><br>  ■ 휴관일<br>  &nbsp; - 둘째 넷째주 월요일<br>  &nbsp; - 법정 공휴일 및 국경일<br>  &nbsp; - 장서 점검 및 관장이 필요하다고 인정하는 날,유료,,,,,,,
112.0,도서관,은평구립도서관,서울특별시 은평구 통일로78가길 13-84(불광동),37.6190451,126.9283998,02-385-1671-4,02-388-9451,http://www.eplib.or.kr/,,,정보없음,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100316&thumb=Y,"■ 시설현황 : 부지면적 8,600㎡(2,604평) 건축면적 5,059㎡(1,519평) ■ 열람좌석수: 900석 ■ 장서보유수 : 116,254권/점(도서 108,052권, 비도서 7,608점, 정간물 594종)","<p>이용시간<br>  <br>   </p><table style='WIDTH: 620pt; BORDER-COLLAPSE: collapse' border='0' cellspacing='0' cellpadding='0' width='828'> <colgroup> <col style='WIDTH: 155pt' span='4' width='207'> </colgroup><tbody> <tr style='HEIGHT: 16.5pt' height='22'> <td style='BORDER-BOTTOM: windowtext 0.5pt solid; BORDER-LEFT: windowtext 0.5pt solid; BACKGROUND-COLOR: #edfbfb; WIDTH: 155pt; HEIGHT: 40.5pt; BORDER-TOP: windowtext 0.5pt solid; BORDER-RIGHT: windowtext 0.5pt solid' class='xl65' height='54' background='/image/sub/2menu_bg.gif' rowspan='2' width='207'><font color='#636563' face='Arial'>자료실별</font></td> <td style='BORDER-BOTTOM: windowtext 0.5pt solid; BORDER-LEFT: windowtext; BACKGROUND-COLOR: #edfbfb; WIDTH: 310pt; BORDER-TOP: windowtext 0.5pt solid; BORDER-RIGHT: windowtext 0.5pt solid' class='xl65' width='414' colspan='2'><font color='#636563' face='Arial'>평 일</font></td> <td style='BORDER-BOTTOM: windowtext 0.5pt solid; BORDER-LEFT: windowtext 0.5pt solid; BACKGROUND-COLOR: #edfbfb; WIDTH: 155pt; BORDER-TOP: windowtext 0.5pt solid; BORDER-RIGHT: windowtext 0.5pt solid' class='xl65' rowspan='2' width='207'><font color='#636563' face='Arial'>주 말</font></td></tr> <tr style='HEIGHT: 24pt' height='32'> <td style='BORDER-BOTTOM: windowtext 0.5pt solid; BORDER-LEFT: windowtext; BACKGROUND-COLOR: #edf5fc; WIDTH: 155pt; HEIGHT: 24pt; BORDER-TOP: windowtext; BORDER-RIGHT: windowtext 0.5pt solid' class='xl66' height='32' width='207'><font color='#636563'><font face='Arial'>3</font><font class='font7' face='돋움'>월</font><font class='font6' face='Arial'>~10</font></font><font color='#636563'><font class='font7' face='돋움'>월<br>  </font><font class='font6' face='Arial'>(</font><font class='font7' face='돋움'>하절기</font><font class='font6' face='Arial'>)</font></font></td> <td style='BORDER-BOTTOM: windowtext 0.5pt solid; BORDER-LEFT: windowtext; BACKGROUND-COLOR: #edf5fc; WIDTH: 155pt; BORDER-TOP: windowtext; BORDER-RIGHT: windowtext 0.5pt solid' class='xl66' width='207'><font color='#636563'><font face='Arial'>11</font><font class='font7' face='돋움'>월</font><font class='font6' face='Arial'> ~ 2</font></font><font color='#636563'><font class='font7' face='돋움'>월<br>  </font><font class='font6' face='Arial'>(</font><font class='font7' face='돋움'>동절기</font><font class='font6' face='Arial'>)</font></font></td></tr> <tr style='HEIGHT: 16.5pt' height='22'> <td style='BORDER-BOTTOM: windowtext 0.5pt solid; BORDER-LEFT: windowtext 0.5pt solid; BACKGROUND-COLOR: white; WIDTH: 155pt; HEIGHT: 16.5pt; BORDER-TOP: windowtext; BORDER-RIGHT: windowtext 0.5pt solid' class='xl67' height='22' width='207'><font color='#636563' face='Arial'>종합자료실</font></td> <td style='BORDER-BOTTOM: windowtext 0.5pt solid; BORDER-LEFT: windowtext; BACKGROUND-COLOR: white; WIDTH: 155pt; BORDER-TOP: windowtext; BORDER-RIGHT: windowtext 0.5pt solid' class='xl67' width='207'><font color='#636563' face='Arial'>09:00 ~ 22:00</font></td> <td style='BORDER-BOTTOM: windowtext 0.5pt solid; BORDER-LEFT: windowtext; BACKGROUND-COLOR: white; WIDTH: 155pt; BORDER-TOP: windowtext; BORDER-RIGHT: windowtext 0.5pt solid' class='xl67' width='207'><font color='#636563' face='Arial'>09:00 ~ 22:00</font></td> <td style='BORDER-BOTTOM: windowtext 0.5pt solid; BORDER-LEFT: windowtext 0.5pt solid; BACKGROUND-COLOR: white; WIDTH: 155pt; BORDER-TOP: windowtext; BORDER-RIGHT: windowtext 0.5pt solid' class='xl67' rowspan='5' width='207'><font color='#636563' face='Arial'>09:00 ~ 17:00</font></td></tr> <tr style='HEIGHT: 16.5pt' height='22'> <td style='BORDER-BOTTOM: windowtext 0.5pt solid; BORDER-LEFT: windowtext 0.5pt solid; BACKGROUND-COLOR: white; WIDTH: 155pt; HEIGHT: 16.5pt; BORDER-TOP: windowtext; BORDER-RIGHT: windowtext 0.5pt solid' class='xl67' height='22' width='207'><font color='#636563' face='Arial'>정기간행물실</font></td> <td style='BORDER-BOTTOM: windowtext 0.5pt solid; BORDER-LEFT: windowtext 0.5pt solid; BACKGROUND-COLOR: white; WIDTH: 155pt; BORDER-TOP: windowtext; BORDER-RIGHT: windowtext 0.5pt solid' class='xl67' rowspan='4' width='207'><font color='#636563' face='Arial'>09:00 ~ 18:00</font></td> <td style='BORDER-BOTTOM: windowtext 0.5pt solid; BORDER-LEFT: windowtext 0.5pt solid; BACKGROUND-COLOR: white; WIDTH: 155pt; BORDER-TOP: windowtext; BORDER-RIGHT: windowtext 0.5pt solid' class='xl67' rowspan='4' width='207'><font color='#636563' face='Arial'>09:00 ~ 18:00</font></td></tr> <tr style='HEIGHT: 16.5pt' height='22'> <td style='BORDER-BOTTOM: windowtext 0.5pt solid; BORDER-LEFT: windowtext 0.5pt solid; BACKGROUND-COLOR: white; WIDTH: 155pt; HEIGHT: 16.5pt; BORDER-TOP: windowtext; BORDER-RIGHT: windowtext 0.5pt solid' class='xl67' height='22' width='207'><font color='#636563' face='Arial'>어린이자료실</font></td></tr> <tr style='HEIGHT: 16.5pt' height='22'> <td style='BORDER-BOTTOM: windowtext 0.5pt solid; BORDER-LEFT: windowtext 0.5pt solid; BACKGROUND-COLOR: white; WIDTH: 155pt; HEIGHT: 16.5pt; BORDER-TOP: windowtext; BORDER-RIGHT: windowtext 0.5pt solid' class='xl67' height='22' width='207'><font color='#636563' face='Arial'>디지털자료실</font></td></tr> <tr style='HEIGHT: 16.5pt' height='22'> <td style='BORDER-BOTTOM: windowtext 0.5pt solid; BORDER-LEFT: windowtext 0.5pt solid; BACKGROUND-COLOR: white; WIDTH: 155pt; HEIGHT: 16.5pt; BORDER-TOP: windowtext; BORDER-RIGHT: windowtext 0.5pt solid' class='xl67' height='22' width='207'><font color='#636563' face='Arial'>참고 자료실</font></td></tr> <tr style='HEIGHT: 16.5pt' height='22'> <td style='BORDER-BOTTOM: windowtext 0.5pt solid; BORDER-LEFT: windowtext 0.5pt solid; BACKGROUND-COLOR: white; WIDTH: 155pt; HEIGHT: 33pt; BORDER-TOP: windowtext; BORDER-RIGHT: windowtext 0.5pt solid' class='xl67' height='44' rowspan='2' width='207'><font color='#636563' face='Arial'>일반열람실</font></td> <td style='BORDER-BOTTOM: windowtext 0.5pt solid; BORDER-LEFT: windowtext 0.5pt solid; BACKGROUND-COLOR: white; WIDTH: 155pt; BORDER-TOP: windowtext; BORDER-RIGHT: windowtext 0.5pt solid' class='xl67' rowspan='2' width='207'><font color='#636563' face='Arial'>07:00 ~ 23:00</font></td> <td style='BORDER-BOTTOM: windowtext 0.5pt solid; BORDER-LEFT: windowtext 0.5pt solid; BACKGROUND-COLOR: white; WIDTH: 155pt; BORDER-TOP: windowtext; BORDER-RIGHT: windowtext 0.5pt solid' class='xl67' rowspan='2' width='207'><font color='#636563' face='Arial'>08:00 ~ 23:00</font></td> <td style='BORDER-BOTTOM: windowtext 0.5pt solid; BORDER-LEFT: windowtext; BACKGROUND-COLOR: white; WIDTH: 155pt; BORDER-TOP: windowtext; BORDER-RIGHT: windowtext 0.5pt solid' class='xl67' width='207'><font color='#636563' face='Arial'>07:00~23:00(하절기)</font></td></tr> <tr style='HEIGHT: 16.5pt' height='22'> <td style='BORDER-BOTTOM: windowtext 0.5pt solid; BORDER-LEFT: windowtext; BACKGROUND-COLOR: white; WIDTH: 155pt; HEIGHT: 16.5pt; BORDER-TOP: windowtext; BORDER-RIGHT: windowtext 0.5pt solid' class='xl67' height='22' width='207'><font color='#636563' face='Arial'>08:00~23:00(동절기)</font></td></tr></tbody></table><br>  <br>  휴관일<br>  - 정기 휴관일 : 매월 둘째, 넷째 화요일<br>  - 일요일을 제외한 법정 공휴일, 기타 도서관 사정에 의한 임시휴관일<br>  <br>  식당운영시간<br>  - 월요일~금요일 : 오전 11:30~13:30 / 오후 17:00 ~ 18:30<br>  - 토요일,일요일 : 오전 11:30~13:30 / 오후 16:30 ~ 18:00<p></p>",유료,,,,,,,
120.0,박물관/기념관,은평역사한옥박물관,서울 은평구 연서로50길 8,37.64040095,126.9380555,02-351-8523~4,02-351-5833,http://museum.ep.go.kr,,,매주 월요일,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=9af7d7ca50754a1f985a52f40ecf56c5&thumb=Y,,"<p style='line-height: 1.8;'><span style='font-size: 12pt;'>은평역사한옥박물관은 은평의 역사와 한옥의 문화를 주제로 전시?교육?체험을 제공하는 문화공간입니다.</span></p><p style='line-height: 1.8;'><span style='font-size: 12pt;'>북한산 큰 숲에 위치한 은평은 역사적으로 조선시대 교통의 요지이자 집단 매장지로서 고유의 교통?통신문화와 장묘문화가 발달했습니다. 진관사 입구 현대식 한옥마을에 위치한 우리 박물관은 은평의 역사와 관련된 유물을 수집하고 이를 전시?교육하는 프로그램을 진행하고 있으며 이와 함께 한옥의 전통과 가치를 알리는 전시를 선보입니다. 그 밖에도 다채로운 기획전시와 교육 프로그램을 통해 다양한 문화 체험의 기회를 마련하고 있습니다.&nbsp;</span></p><p><br></p><p style='line-height: 1.8;'><span style='font-size: 12pt;'>2층 은평역사실 : 은평의 역과 참 그리고 왕래한 사람들의 이야기를 통해 주요 길목이었던 은평의 역사를 살펴보고, 뉴타운 개발 과정에서 출토된 발굴 유물과 더불어 다양한 지정문화재를 소개합니다.</span></p><p><br></p><p style='line-height: 1.8;'><span style='font-size: 12pt;'>3층 한옥전시실 : 전통과 현대가 어우러진 은평한옥마을의 특성을 살려 한옥의 역사와 현대 한옥의 요소를 살펴보고자 합니다. 한옥의 변천과 특징, 재료와 건축 과정을 통해 한옥의 지혜와 우수성을 살필 수 있습니다.</span></p>",유료,,,,,,,
207.0,문화원,이마트은평점,서울특별시 은평구 은평로 111,37.60035755,126.920192,02-380-1234,,,,,,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000101237&thumb=Y,,,,,,,,,,
228.0,도서관,내를 건너서 숲으로 도서관,서울시 은평구 증산로 17길 50 내를건너서숲으로도서관,37.591913,126.908152,02-307-6701,,https://www.nslib.or.kr/,,,"월요일, 법정공휴일",,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000101340&thumb=Y,,"<div><div style='text-align: left;' align='left'><span style='font-size: 16px;'>지역 문화의 중심 주민 생활의 중심</span></div><div style='text-align: left;' align='left'><span style='font-size: 16px;'>내를 건너서 숲으로 도서관을 방문해주신 여러분 환영합니다!</span></div><div style='text-align: left;' align='left'><span style='font-size: 16px;'><br></span></div><div style='text-align: left;' align='left'><span style='font-size: 16px;'>우리 도서관은 ‘지역 문화의 중심 주민 생활의 중심’을 기본 정신으로, 지역의 문화 발전에 기여하는 그래서 주민 여러분과 함께하는&nbsp;</span></div><div style='text-align: left;' align='left'><span style='font-size: 16px;'>도서관이 될 것입니다. 또한 우리 도서관이 이 지역의 자랑이 되고, 이 지역의 이정표가 되어 자라나는 청소년들이 이 도서관에서&nbsp;</span></div><div style='text-align: left;' align='left'><span style='font-size: 16px;'>꿈을 키울 수 있도록 하겠습니다.</span></div><div style='text-align: left;' align='left'><span style='font-size: 16px;'><br></span></div><div style='text-align: left;' align='left'><span style='font-size: 16px;'>우리 도서관은 윤동주 시인을 기념하기 위한 도서관입니다. 일제의 암울한 시대를 살다간 위대한 시인의 민족사랑 정신과 문학을&nbsp;</span></div><div style='text-align: left;' align='left'><span style='font-size: 16px;'>기리고자 합니다. 우리 도서관 주위에는 많은 초중고등학교가 있습니다. 자라나는 청소년들이 우리 도서관을 통해 문학적인&nbsp;</span></div><div style='text-align: left;' align='left'><span style='font-size: 16px;'>감수성을 키우고, 지역에 대한 자부심을 가질 수 있도록 하겠습니다.</span></div><div style='text-align: left;' align='left'><span style='font-size: 16px;'><br></span></div><div style='text-align: left;' align='left'><span style='font-size: 16px;'>나아가 도서관은 여가 선용의 공간이기도 하고, 주민들 교류의 장이기도 합니다. 나이와 성별과 종교에 관계없이 모든 지역 주민들이&nbsp;</span></div><div style='text-align: left;' align='left'><span style='font-size: 16px;'>편하게 쉬며 즐길 수 있는 교류의 장을 만들겠습니다.</span></div><div style='text-align: left;' align='left'><span style='font-size: 16px;'><br></span></div><div style='text-align: left;' align='left'><span style='font-size: 16px;'>도서관은 여러분의 관심과 참여가 없으면 존재할 수도 성장할 수도 없습니다. 우리 도서관은 주민 여러분의 의견을 경청하고, 여러분의&nbsp;</span></div><div style='text-align: left;' align='left'><span style='font-size: 16px;'>요청에 부합하도록 노력하겠습니다. 많은 격려와 질정을 바랍니다. 우리 도서관 직원 모두는 지역으로부터 사랑받는 도서관을 만들기&nbsp;</span></div><div style='text-align: left;' align='left'><span style='font-size: 16px;'>위하여 최선을 다하겠습니다.</span></div><div style='text-align: left;' align='left'><span style='font-size: 16px;'><br></span></div><div style='text-align: left;' align='left'><span style='font-size: 16px;'>감사합니다.</span></div></div>",무료,,,,,,,
230.0,기타,은평구청소년문화의집 신나는애프터센터,"서울특별시 은평구 연서로6길 7 (역촌동, 은평구청소년문화의집)",37.6043735,126.9166272,02-353-7910,,http://www.epyouth.org/,,,"매주 월요일, 신정, 노동절, 설날/추석연휴",,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000101185&thumb=Y,,"<div><span style='font-size: 12pt;'>청소년은 마을과 지역사회에서 함께 살아가는 시민입니다.</span></div><div><span style='font-size: 12px;'><br></span></div><div><span style='font-size: 12pt;'>은평구청소년문화의집 신나는애프터센터는 청소년들이 자기 삶의 주인으로 성장할 수 있도록 지원하는 청소년 자치의 플랫폼입니다.</span></div><div><span style='font-size: 12px;'><br></span></div><div><span style='font-size: 12pt;'>은평구에서 살아가는 9-24세의 청소년이 다양한 경험을 통하여 역량을 강화하고 더불어 사는 민주시민으로 성장할 수 있도록&nbsp;</span><span style='font-size: 12pt;'>공간과 프로그램을 지원합니다.</span></div><div><span style='font-size: 12px;'><br></span></div><div><span style='font-size: 12pt;'>청소년의 말과 생각이 활동으로 이어지고, 청소년들의 다양한 활동이 연대와 협력을 통하여 확장될 수 있도록 지원합니다.</span></div><div><span style='font-size: 12px;'><br></span></div><div><span style='font-size: 12pt;'>청소년이 자신의 동네, 마을, 지역사회에서의 건강한 삶을 배우고, 이웃과 함께 사는 삶을 실천할 수 있도록 지원합니다.</span></div>",무료,,,,,,,
295.0,박물관/기념관,서울금성당 샤머니즘박물관,서울특별시 은평구 진관2로 57-23,37.63513448,126.9253782,02-389-6522,,http://www.shamanismmuseum.org/,,,"월,화, 수,토,일",,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100988&thumb=Y,,"<!--startfragment--> <p class='본문' style='FONT-SIZE: 11pt; FONT-FAMILY: 한양신명조; mso-hansi-font-family: 한양신명조'><span style='FONT-SIZE: 11pt; FONT-FAMILY: 한양신명조; mso-hansi-font-family: 한양신명조; mso-ascii-font-family: 한양신명조'>샤머니즘 전문 사립박물관으로 2013년 5월 2일 민속학자 양종승박사가 평생 수집한 샤먼유물 약 2만 여점으로 정릉에 문을 열었다. 만 3년이 지난 </span><u style='text-underline: #000000 single'><span lang='EN-US' style='FONT-SIZE: 11pt; FONT-FAMILY: 한양신명조; mso-hansi-font-family: 한양신명조; mso-fareast-font-family: 한양신명조'>2016년</span></u><span lang='EN-US' style='FONT-SIZE: 11pt; FONT-FAMILY: 한양신명조; mso-hansi-font-family: 한양신명조; mso-fareast-font-family: 한양신명조'> 5월 25일 은평 뉴타운 내 금성당으로 옮겨 새로운 도약기를 맞이하게 되었다. 박물관 소장품에는 무신도류, 신복류, 문서류, 부적류, 점구류, 제기류, 명두류, 악기류, 촛대향로류, 부채류, 방울류, 창검류, 명다래류. 설경류, 지화류 등 우리나라 무속현장에서 쓰인 신물(神物) 그리고 다 수의 히말라야, 몽골, 중국 샤먼유물들이 있다. 그 외에 샤머니즘 및 민족신앙 관련 장서를 비롯한 무속현장에서 채집된 영상자료, 음향자료, 사진자료, 공연행사자료 등이 소장되어 있다.</span></p>",무료,,,,,,,
318.0,미술관,사비나미술관,서울특별시 은평구 진관1로 93,37.63012857,126.9292757,02-736-4371,,http://www.savinamuseum.com/,,,월요일,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100450&thumb=Y,,"<span style='font-size: 14pt;'>1996년 3월 ‘건강한 미술문화 다지기’라는 취지하에 개관한 갤러리 사비나는 참신하고 재미있는 기획전으로 대중의 눈높이에 맞춘 전시문화를 개척했다. 또한 2002년 국내 갤러리로서는 처음으로 미술관으로 등록되어 대중에게는 열린문화공간으로서, 미술인에게는 중견작가의 작품활동의 중심축으로 활동하고 있다.</span>",무료,,,,,,,
326.0,공연장,수색동 주민센터(다목적실),서울 은평구 수색로 280 (수색동) 수색동 자치회관,37.58416548,126.897566,02-351-5425,,https://www.eshare.go.kr/UserPortal/Upv/UprResrcFacl/index.do?rsrc_no=BJ10K4626332,,,공휴일,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000101128&thumb=Y,,"안녕하십니까. 수색동장입니다.<br> 수색동 홈페이지를 방문하여 주신 여러분을 진심으로 환영합니다. 우리 수색동은 일산 등 신도시에서 서울로 들어오는 관문이자, 인근 상암지구, 경의선 등의 교통요지로서 앞으로 무한한 성장가능성을 지닌 지역입니다. 저희 수색동 직원 모두는 홈페이지를 통하여 보다 많은 행정정보를 제공하여 주민 여러분의 다양한 기대에 부응하고자 노력하고 있습니다. ‘신뢰와 화합으로 도약하는 은평건설’을 목표로 앞으로도 끊임없이 노력하여 은평구의 으뜸동네가 되도록 최선을 다하겠습니다. 주민 여러분의 애정 어린 관심과 적극적인 참여 부탁드립니다.<br> 감사합니다.",무료,,,,,,,
