번호,주제분류,문화시설명,문화시설주소,위도,경도,전화번호,팩스번호,홈페이지,관람시간,관람료,휴관일,개관일자,객석수,대표이미지,기타사항,시설소개,무료구분,지하철,버스정거장,YELLOW,GREEN,BLUE,RED,공항버스
6.0,공연장,동숭무대,서울특별시 종로구 혜화로 35,37.58868966,126.9991712, ,,http://cafe.naver.com/dsstage,,,-,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000101449&thumb=Y,,<p>동숭무대 소극장</p>,무료,,,,,,,
122.0,미술관,아르코미술관,서울특별시 종로구 동숭길 3,37.58050229,127.0032562,02-760-4850,,http://www.arkoartcenter.or.kr/,11:00~20:00,일반 2000원 청소년 1000원,"월요일, 설, 추석",,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100402&thumb=Y,,"<span style='font-size: 12pt;'>문예진흥원은 1979년 5월 미술회관을 개관한 이후, 2002년 3월 26일 전시공간과 교육공간으로 새롭게 단장한 '문예진흥원 마로니에미술관'을 개관하였다. 우리 미술을 해외에 소개하는 CD-ROM 자료를 제작, 배포하고 있으며, 한국미술사에 사료적 가치를 지닌 300여점의 작품을 소장 관리하고 있다.</span>",유료,,,,,,,
17.0,박물관/기념관,공평도시유적전시관,서울특별시 종로구 우정국로 26,37.57168081,126.9835303,02-724-0215,,https://museum.seoul.go.kr/www/intro/annexIntro/annex_gongpyeong/annex_gongpyeong_01.jsp?sso=ok,,,정보없음,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000101548&thumb=Y,,"<h4 class='tit2'>운영 개요</h4><ul class='bul_dot'><li>대상 : <b>제한 없음(어린이 및 노약자 방문시 보호자 동반 필수)</b></li><li>해설정원	 <ul class='bul_hyphen'><li><b>개인 : 각 회차별 15명 정원</b></li><li><b>단체 : 30명 정원</b>		 <p class='desc_info'><span style='color:>※ 단체 해설 예약은 사전 협의 후진행 바랍니다.(</span><font color=' #b22222'=''>☎02-724-0215, 0135)</span></p></li></ul></li><li>장소 : 센트로폴리스 빌딩 지하1층 공평도시유적전시관 입구 안내데스크 앞</li><li>전시 해설 일정	 <ul class='bul_hyphen'><li><b>한국어 정기해설 : 약 50분 해설</b></li><li><span style='color:>영어, 일본어 전시 해설 가능하오니 원하시는 개인, 단체는 안내데스크에 신청</span>하여 주시기 바랍니다. (안내데스크 ☎02-724-0135)		 <p class=' desc_info'=''>※ 외국어 해설은 당일 전시관 사정에 따라 안내 할 수 없는 언어가 있을 수 있으니 <u>반드시 안내데스크에 일정, 시간 등 확인하시고 신청</u>바랍니다.<p></p></span></li></ul></li></ul>",무료,,,,,,,
18.0,미술관,김영옥 미술관,서울특별시 종로구 창의문로10길 11,37.59387811,126.9642539,02-391-1218,,www.magmasup.com,,,없음,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000101553&thumb=Y,,,무료,,,,,,,
20.0,공연장,세종문화회관,서울 종로구 세종대로 175,37.5726241,126.9760053,02-399-1000,,https://www.sejongpac.or.kr,,,연중무휴,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=580516baeec44af59eafc7a1efc64ff0&thumb=Y,,"<p class='mt20' style='line-height: 1.8;'><span style='font-size: 12pt;'>세종문화회관은 1961년 우남회관으로 출발해, 1972년 화재로 소실된 시민회관의 뒤를 이어 1978년 4월 14일 개관하였습니다.</span></p><p class='mt20' style='line-height: 1.8;'><span style='font-size: 12pt;'>세계 유수의 공연장으로 인정받는 한국 공연예술의 등용문이자 국제공연예술의 유일한 통로였고 70 ~ 80년대에는 한국 순수예술의 요람이었습니다.</span></p><p class='mt20' style='line-height: 1.8;'><span style='font-size: 12pt;'>이처럼 한국 공연예술계의 살아있는 역사이자 예술을 사랑하는 사람들의 추억의 공간이며 한국을 대표하는 문화예술기관으로 20여 년간 그 명성을 유지 해오던&nbsp;</span><span style='font-size: 12pt;'>세종문화회관은 1999년 21세기를 앞두고 또 한번의 도약을 위해 재단법인으로 변했습니다.&nbsp;</span></p><p class='mt20' style='line-height: 1.8;'><span style='font-size: 12pt;'>재단법인 세종문화회관의 출범은 창의성과 자율성이 강조되는 민간문화예술 활성화의 신호탄이자 한국문화예술의 세계화를 향한 첫걸음 이었습니다.</span></p><p class='mt20' style='line-height: 1.8;'><span style='font-size: 12pt;'>이후 세종문화회관은 대극장 리모델링에 이어 세종 체임버홀, 세종 M씨어터, 세종 S씨어터 등 하드웨어의 개편과 함께 예술로 동행, 세종예술아카데미 운영 등으로 시민과 함께하는 문화예술의 보급을 사명으로 삼고 있습니다.</span></p><p class='mt20' style='line-height: 1.8;'><span style='font-size: 12pt;'>문화예술인들에겐 창작과 발표의 공간으로 문화를 사랑하는 대중들에게 아름다움과 자긍심을 심어줄 복합공간으로 언제나&nbsp;</span><span style='font-size: 12pt;'>서울시민들과 함께할 것입니다.</span></p>",무료,,,,,,,
174.0,미술관,갤러리 라메르,서울특별시 종로구 인사동5길 26 홍익빌딩,37.57258198,126.9848681,02-730-5454,,http://www.gallerylamer.com/,10:00~18:30,,연중무휴,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100468&thumb=Y,,"<span style='font-size: 12pt;'>갤러리 라메르는 사설갤러리로서는 최대규모의 갤러리(총 240평)로 한국 미술문화의 중심지인 인사동에 2001년 개관하였다. 다양하고 새로운 현대미술의 흐름을 관람할 수 있는 5개의 전시관과 고미술상설전시장, 미술잡지사, 헬스시설 등을 갖추고 있는 복합문화공간이다.</span>",유료,,,,,,,
37.0,공연장,종로구민회관,서울특별시 종로구 지봉로5길 7-5,37.57356472,127.014201,02-3672-2530~1,3673-4074,https://www.ijongno.co.kr/front/main/21,,,법정공휴일,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100734&thumb=Y,,"<table border='0' width='700'> <tbody> <tr valign='top'> <td valign='top' align='right'> <p align='right'>&nbsp;</p></td> </tr><tr valign='top'> <td valign='middle'> <div align='justify'><img src='http://www.ijongno.co.kr/img/info_sisul/other2%20.gif' width='5' height='5'> <b>종로구민회관</b>은 2000년 2월에 설립된 종로구시설관리공단에서 운영하는 종합스포츠/문화센타로서 지역발전 및 구민여러분의 생활의 편익과 건강, 복리증진을 위하여 전 직원이 봉사하는 마음으로 최선을 다하고 있습니다.<br>  <br>  <img src='http://www.ijongno.co.kr/img/info_sisul/other2%20.gif' width='5' height='5'> <b>종로구민회관</b>은 수영, 헬스 및 각종 스포츠와 다양한 문화공간을 운영하며 항상 구민들이 편안하고 안전한 여가활용공간을 유지하는 한편 저렴한 비용으로 수준 높고 다양한 프로그램을 즐기실 수 있도록 정성을 다하여 봉사하겠습니다. 또한 지역사회를 위한 각종 사회봉사활동에 적극 동참하여 지역사회의 균형적 발전에 이바지하고자 노력하고 있습니다.<br>  <br>  <img src='http://www.ijongno.co.kr/img/info_sisul/other2%20.gif' width='5' height='5'> 저희 구민회관과 함께 해주신 구민여러분께 감사드리며 항상 눈과 귀를 크게 열고 네티즌 여러분들의 생생한 목소리가 <b>고객에게 행복을 주는 일류공기업</b> 만들기에 반영되도록 최선을 다 하겠습니다.<br>  <br>   <table cellspacing='0' cellpadding='0' width='100%'> <tbody> <tr> <td valign='top' align='center'> <table border='0' cellspacing='1' width='642' bgcolor='#ffffff'> <tbody> <tr bgcolor='#d8b0ff'> <td class='f10' width='8%' nowrap=''> <div class='style18' align='center'>층별</div></td> <td class='madang_smalltitle' width='110'> <div class='f10 style18' align='center'>실별</div></td> <td class='madang_smalltitle' width='200'> <div class='f10' align='center'>운영프로그램</div></td> <td class='madang_smalltitle' width='200'> <div class='f10' align='center'>실별시설물</div></td></tr> <tr> <td class='f3' bgcolor='#d8b0ff'> <div class='style14' align='center'> <div class='f10' align='center'><b>5F</b></div></div></td> <td class='madang_smalltitle' colspan='3'> <table border='0' cellspacing='1' width='100%' bgcolor='#cc33ff'> <tbody> <tr class='gumin_bonmun' bgcolor='#ffffff'> <td class='gumin_bonmun' valign='top' width='124' align='left'> <p><b>에어로빅실</b></p></td> <td class='gumin_bonmun' width='227'> <p>에어로빅, 발레, 요가, 재즈댄스, 댄스스포츠, 한국무용, 필라테스, 태보, 라틴댄스, 밸리댄스 운영</p></td> <td class='style17' width='226'></td></tr> <tr class='gumin_bonmun' bgcolor='#ffffff'> <td class='gumin_bonmun' valign='top' width='124' align='left'><b>건강교실</b></td> <td class='gumin_bonmun'> <p>유도, 요가, 필라테스, 자모프로그램, 밸리댄스, 밸리댄스 </p></td> <td class='style17' width='226'></td></tr></tbody></table></td></tr> <tr> <td class='f10' bgcolor='#d8b0ff'> <div class='style14' align='center'> <div class='f10' align='center'><b>4F</b></div></div></td> <td colspan='3'> <table class='gumin_bonmun' border='0' cellspacing='1' width='100%' bgcolor='#cc33ff'> <tbody> <tr bgcolor='#ffffff'> <td valign='top' width='110' align='left'><b>체육관</b></td> <td width='201'>배드민턴, 검도, 탁구, 인라인스케이트 프로그램 운영 </td> <td width='201'> <p>농구대2대, 탁구대 10대, 배드민턴6면, 타격대 2대</p></td></tr> <tr bgcolor='#ffffff'> <td valign='top' width='110' align='left'><b>샤워실</b></td> <td></td> <td>샤워기 (43개)</td></tr> <tr bgcolor='#ffffff'> <td valign='top' width='110' align='left'><b>탈의실</b></td> <td></td> <td>락카(남자-108개, 여자 160개) </td></tr></tbody></table></td></tr> <tr> <td class='f10' bgcolor='#d8b0ff' height='54'> <div align='center'><span class='f10'>3F</span></div></td> <td colspan='3'> <table class='gumin_bonmun' border='0' cellspacing='1' width='100%' bgcolor='#cc33ff'> <tbody> <tr bgcolor='#ffffff'> <td width='110' nowrap=''><b>컴퓨터실</b></td> <td width='201'>컴퓨터 교육장(어린이반, 성인 반) </td> <td width='201' nowrap=''>컴퓨터 15대, 드럼</td></tr> <tr bgcolor='#ffffff'> <td width='110' nowrap=''><b>헬스장</b></td> <td></td> <td nowrap=''>58종118개</td></tr> <tr bgcolor='#ffffff'> <td width='110' nowrap=''><b>대관 사무실</b></td> <td></td> <td nowrap=''></td></tr></tbody></table></td></tr> <tr> <td class='f10' bgcolor='#d8b0ff'> <div align='center'><span class='f10'>2F</span></div></td> <td colspan='3'> <table class='gumin_bonmun' border='0' cellspacing='1' width='100%' bgcolor='#cc33ff'> <tbody> <tr bgcolor='#ffffff'> <td width='110'><b>강당</b></td> <td width='201'>공연 및 강연회 대관 </td> <td width='201'>440석</td></tr> <tr bgcolor='#ffffff'> <td width='110'><b>대회의실</b></td> <td>세미나 대관, 문화강좌 운영 </td> <td>63석</td></tr> <tr bgcolor='#ffffff'> <td width='110'><b>유아교육실</b></td> <td> <p>유아교육실(해맑은 반) <br>  문화강좌운영</p></td> <td></td></tr> <tr bgcolor='#ffffff'> <td width='110'><b>문화교실</b></td> <td>문화강좌 운영 </td> <td>25석</td></tr> <tr bgcolor='#ffffff'> <td width='110'><b>피아노실</b></td> <td>피아노 강좌 운영 </td> <td>그랜드피아모 1개, 연습실 6개</td></tr> <tr bgcolor='#ffffff'> <td width='110'><b>스피닝 전용실</b></td> <td>스피닝 강좌 운영</td> <td>20명 정원제</td></tr></tbody></table></td></tr> <tr> <td class='f10' bgcolor='#d8b0ff' height='71'> <div align='center'><span class='f10'>1F</span></div></td> <td colspan='3'> <table class='gumin_bonmun' border='0' cellspacing='1' width='100%' bgcolor='#cc33ff'> <tbody> <tr bgcolor='#ffffff'> <td width='110' nowrap=''><b>회원관리실</b></td> <td width='201'>회비 수납 및 회원증 확인 </td> <td width='201' nowrap=''></td></tr> <tr bgcolor='#ffffff'> <td width='110' nowrap=''><b>안내실</b></td> <td nowrap=''>락카 key 수불 및 민원안내</td> <td nowrap=''></td></tr> <tr bgcolor='#ffffff'> <td nowrap=''><b>유아교육실</b></td> <td nowrap=''>유아예체능단(늘고운반, 희망찬반),<br>  문화강좌 운영</td> <td nowrap=''></td></tr> <tr bgcolor='#ffffff'> <td width='110' nowrap=''><b>의무실</b></td> <td nowrap=''>의무실</td> <td nowrap=''></td></tr> <tr bgcolor='#ffffff'> <td colspan='2' nowrap=''><b>보관함, 회원휴게공간, 매점 </b></td> <td nowrap=''></td></tr></tbody></table></td></tr> <tr> <td class='f10' bgcolor='#d8b0ff' height='64'> <div align='center'><span class='f10'>B1F</span></div></td> <td colspan='3'> <table class='gumin_bonmun' border='0' cellspacing='1' width='100%' bgcolor='#cc33ff'> <tbody> <tr bgcolor='#ffffff'> <td width='110' nowrap=''><b>수영장</b></td> <td width='201'>수영강습, 아쿠아로빅, 수영개인레슨, 주말수영, 자유수영 , 마스터즈반 운영</td> <td width='201' nowrap=''></td></tr> <tr bgcolor='#ffffff'> <td width='110' nowrap=''><b>골프연습장</b></td> <td width='201'>레슨 및 골프 연습 </td> <td nowrap=''>13타석, 스윙분석기 </td></tr> <tr bgcolor='#ffffff'> <td nowrap=''><b>샤워실, 탈의실</b></td> <td width='172' nowrap=''></td> <td nowrap=''> <p>샤워기(성인-45개, 유아-4개) </p> <p>락카(남자-122개,여자-182개)</p></td></tr></tbody></table></td></tr> <tr> <td class='f10' bgcolor='#d8b0ff'> <div align='center'><span class='f10'>B2F</span></div></td> <td colspan='3'> <table class='gumin_bonmun' border='0' cellspacing='1' width='100%' bgcolor='#cc33ff'> <tbody> <tr bgcolor='#ffffff'> <td width='110' nowrap=''><b>주차장</b></td> <td width='201'>52대 주차가능 </td> <td width='201' nowrap=''></td></tr> <tr bgcolor='#ffffff'> <td nowrap=''><b>중앙감시실</b></td> <td nowrap=''></td> <td nowrap=''></td></tr></tbody></table></td></tr></tbody></table></td></tr> <tr> <td valign='top' align='center'></td></tr></tbody></table><br>  <br>   <div align='justify'> <p> </p><table id='Table_01' border='0' cellspacing='0' cellpadding='0' width='1000' height='236'> <tbody> <tr> <td> <table> <tbody> <tr> <td height='236' width='808'></td></tr></tbody></table></td></tr> <tr> <td> <table id='Table_01' border='0' cellspacing='0' cellpadding='0' width='1000' height='336'> <tbody> <tr> <td valign='top'> <table id='Table_01' border='0' cellspacing='0' cellpadding='0' width='192' height='336'> <tbody> <tr> <td height='13' colspan='3'></td></tr> <tr> <td rowspan='2' width='19'></td> <td height='59'>&nbsp;</td> <td rowspan='2' width='6'> <p></p> <p></p></td></tr> <tr> <td width='167'><!-- 서브메뉴플래쉬 자리입니다 --></td></tr></tbody></table></td> <td bgcolor='#ffffff' width='18'></td> <td valign='top' width='790'></td></tr></tbody></table></td></tr></tbody></table><p></p></div></div></td></tr></tbody></table>",무료,,,,,,,
44.0,공연장,예술가의집,서울특별시 종로구 동숭길 3,37.58050229,127.0032562,061-900-2100,02-760-4700,https://www.arko.or.kr/content/960,,,정보없음,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100850&thumb=Y,,"<div style='text-align: center;' align='center'><span style='font-size: 14pt;'>한국문화예술위원회는 훌륭한 예술이 우리 모두의 삶을 변화시키는 힘을 가지고 있다는 믿음으로 문화예술진흥을 위한 사업과 활동을 지원함으로써&nbsp;</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>모든 이가 창조의 기쁨을 공유하고 가치 있는 삶을 누리게 하는 것을 목적으로 설립되었습니다.</span></div><div style='text-align: center;' align='center'><span style='font-size: 12px;'><br></span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>한국문화예술위원회는 현장 문화예술인들로 구성된 10명의 위원들이 합의를 통해 문화예술정책을 이끌어내며, 민간이 공공영역의 의사결정에 참여하고&nbsp;</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>공공영역이 민간에 참여하는 동시적 구조를 가지고 있습니다.</span></div><div style='text-align: center;' align='center'><span style='font-size: 12px;'><br></span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>이는 그동안 정책의 일방적인 수혜자였던 문화예술인들이 정책의 입안자이자 수행자로 진입하는 것으로, 그동안 관습화된 문화행정체계를 혁신하고&nbsp;</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>급속히 변화하는 문화예술 환경에 능동적으로 대응함으로써 문화예술이 처한 각종 환경에 대한 현장 중심의 구체적인 대안 생산을 가능하게 할 것입니다.</span></div><div style='text-align: center;' align='center'><span style='font-size: 12px;'><br></span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>한국문화예술위원회는 문학, 시각예술, 공연예술, 전통예술, 다원예술 등 문화예술계 안팎에서 합의하고 있는 기초예술 분야와 문화산업의 비영리적&nbsp;</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>실험영역을 대상으로 그 창조와 매개, 향유가 선순환 구조로 발전할 수 있도록 하는 한편, 그것을 위한 인프라를 구축하는 일에 역점을 둘 것입니다.</span></div><div style='text-align: center;' align='center'><span style='font-size: 12px;'><br></span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>이를 통해, 예술의 자생력을 신장시키고, 예술 창조를 견인하며, 예술적 융성과 사회생산력의 신장을 동시에 발전시켜 예술시장의 생산력을 확보하는&nbsp;</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>한편, 궁극적으로 국민 모두가 문화예술이 주는 창조적 기쁨으로부터 소외되지 않도록 하기 위해 노력할 것입니다</span></div>",무료,,,,,,,
45.0,미술관,가람화랑,서울특별시 종로구 인사동10길 11,37.57428279,126.9856136,0507-1332-6170,,http://www.garamgallery.co.kr/,오전 10:00 ~ 오후 6:00,없음,월요일 및 공휴일 (기획?초대전의 전시기간 중 휴무없음),,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=bffc7c7c0eb74673980df6969ff0f329&thumb=Y,■ 주차공간없음(화랑 옆 유료주차장 이용),"<span style='font-size: 14pt;'>일반 대중이 쉽게 미술관 문화에 접근하도록 심혈을 기울이고 있는 이곳은 직장인과 중산층 컬렉터들이 가장 편하게 드나들 수 있는 평범함을 갖고 있다. 한만영, 정광호, 김찬일, 김인승, 김종학 등의 작품이 상설전시되어 있다.</span>",무료,,,,,,,
53.0,문화예술회관,서울연극센터,서울특별시 종로구 대명길 3,37.58338956,127.0013221,02-743-9333,02-6008-7348,https://www.sfac.or.kr/artspace/artspace/play_main.do,"화~토요일 10:00~20:00 | 일,공유일 10:00~19:00",,매주 월요일 및 공휴일 휴관,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=5872826ed6eb4aac992d4bd5c1a6e0b7&thumb=Y,,"<span style='font-size: 14pt;'>서울연극센터는 옛 혜화동사무소를 리모델링하여 2007년 개관한 대학로의 연극 전문 클러스터입니다. 연극 분야 창작 생태계 선순환을 위해 시민과 연극인이 교류하는 플랫폼으로, 공연 정보와 편의를 제공하는 라운지, 연극 장르 예술가의 워크숍, 교육, 연습이 가능한 다목적실, 소규모 세미나 및 회의를 할 수 있는 세미나실, 기획 과정의 문서 작업을 할 수 있는 공유랩, 소규모 공연이나 포럼이 진행되는 스튜디오가 조성됐습니다.</span>",유료,,,,,,,
