번호,주제분류,문화시설명,문화시설주소,위도,경도,전화번호,팩스번호,홈페이지,관람시간,관람료,휴관일,개관일자,객석수,대표이미지,기타사항,시설소개,무료구분,지하철,버스정거장,YELLOW,GREEN,BLUE,RED,공항버스
22.0,기타,강북구청,서울특별시 강북구 도봉로89길 13,37.63954439,127.0254726,02-901-6114,,https://www.gangbuk.go.kr/,,,"매주 토,일요일, 법정공휴일",,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100772&thumb=Y,,강북구의 행정과 민원을 담당하는 기관<p style='CLEAR: both'></p>,무료,,,,,,,
47.0,도서관,송중문화정보센터,서울특별시 강북구 도봉로20나길 6,37.61832041,127.0299756,02-944-3160,02-944-3169,https://www.gblib.or.kr/songjung/,,,"첫째, 셋째 월요일, 정부지정 공휴일",2010.03.02,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100876&thumb=Y,,"<p></p><p>도심속의 쉼터, 송중문화정보도서관은 지역주민의 문화와 정보화수준향상을 위해 강북구에서 설립하고 강북구도시관리공단에서 운영하는 정보도서관으로서 2010년 개관하였습니다.</p><p><br></p><p>앞으로도 우리 송중문화정보센터는 지역주민여러분에게 보다 다양한 정보와 자료 그리고 최상의 서비스를 제공하고자 최선을 다하여 강북구만이 가지고 있는 지역적 문화적 특성을 살린 종합정보도서관으로서의 그 역할을 다하겠습니다.</p><p><br></p><p><b>시설현황</b></p><p>1층 : 자료열람실, 꿈자람터</p><p>2층 : 일반열람실, 정보검색실</p><p><br></p><p><b>이용시간</b></p><p>1층 자료열람실 평일 09:00~18:00, 주말 09:00~17:00</p><p>2층 정보검색실 평일 09:00~18:00, 주말 09:00~17:00</p><p>3층 일반열람실 07:00~22:00</p>",유료,,,,,,,
52.0,도서관,강북솔샘문화정보센터,서울특별시 강북구 솔샘로 177,37.62045927,127.0124384,02-944-3150,02-944-3159,https://www.gblib.or.kr/solsem/,,,"첫째, 셋째 월요일",2005.10.04,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100776&thumb=Y,,"<p></p><p>도심속의 쉼터, 솔샘문화정보도서관은 지역주민의 문화와 정보화수준향상을 위해 강북구에서 설립하고 강북구도시관리공단에서 운영하는 정보도서관으로서 2005년 개관하였습니다.</p><p><br></p><p>앞으로도 우리 솔샘문화정보센터는 지역주민여러분에게 보다 다양한 정보와 자료 그리고 최상의 서비스를 제공하고자 최선을 다하여 강북구만이 가지고 있는 지역적 문화적 특성을 살린 종합정보도서관으로서의 그 역할을 다하겠습니다.</p><p><br></p><p>시설안내</p><p>3층 : 컴퓨터교육장, 유아자료실, 어린이자료실</p><p>4층 : 종합자료실, 신문열람대, 일반열람실</p><p>5층 : 독서교실, 정보자료실, 휴게실</p>",유료,,,,,,,
59.0,문화원,강북청소년문화정보도서관,서울특별시 강북구 삼양로54길 68,37.62308136,127.0215555,02-944-3140,944-3149,https://www.gblib.or.kr/youth/index.do,"평일 09:00~20:00, 주말 09:00~17:00",무료,"매월 둘째, 넷째 월요일, 정부지정 공휴일",2013. 6. 21 : 명칭 변경 개관,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100775&thumb=Y,그동안 문화적 참여공간이 미흡했던 미아동 지역에 청소년은 물론 지역주민들의 학습과 정보의 요람 및 문화생활의 공간이 될『강북청소년문화정보도서관』이 오랜시간 노력과 준비 끝에 개관을 하게 되었습니다.   2001년 12월에 개관한 우리 『강북청소년문화정보도서관』은 강북구의 지역정보화 및 다양한 문화생활에 기여할 수 있도록 첨단 시설과 장비를 갖추고 여러분을 맞이하고 있습니다.  비록 그 규모에 있어 약간의 차이는 있겠으나 신개념 도서관에 어울리는 다양한 도서자료는 물론 고속인터넷이 가능한 전자정보실 등에서 지식정보화 시대에 필요한 유용한 자료와 정보를 제공하고 있습니다.  강북청소년문화정보도서관은 첨단사회로 걸어가는 즈음에서 여러 지역주민들 모두가 평생 학습과 문화생활 참여의 공간으로 가깝게 다가갈 수 있도록 지속적으로 발전시켜 나갈 것입니다.  아울러 향기로운 독서문화와 새로운 배움의 열정을 가진 청소년 및 구민 여러분을 『강북청소년문화정보도서관』에서 더욱 많이 뵙기를 간절히 바라며 계속해서 애정 어린 관심과 끊임없이 많은 이용있으시기 바랍니다.,"<h5><span style='font-size: 12px;'>1층 : 모두열람실 평일 09:00~18:00 주말(토일요일) 09:00~17:00</span></h5> <p><b>2층 자료열람실&nbsp;평일 09:00~18:00 주말(토일요일) 09:00~17:00</b></p> <p>&nbsp; - 이용대상: 영유아, 청소년 및 일반인</p> <p>&nbsp; - 이용방법: 개가제</p> <p>&nbsp; - 소장자료: 영유아, 청소년 및 일반인 대상 전주제 자료 및 연속간행물, 신문 등</p><p><br></p><p><b>3층 전자정보실&nbsp;평일 09:00~20:00 주말(토일요일) 09:00~17:00</b></p><p><b><br></b></p><p><b>4층 일반열람실</b>&nbsp;<b>07:00 ~ 22:00</b></p> <p>&nbsp; - 이용방법: 지정좌석제 운영, 일반열람실 앞에서 입실증 발급, 퇴실시 반드시 퇴실 처리</p><p><br></p><p><br></p><article><p>  <br><br>  <br>  <br>  </p></article>",무료,,,,,,,
173.0,기타,강북웰빙스포츠센터,서울특별시 강북구 오현로31길 51,37.63058591,127.0378055,02-944-2900,02-944-2949,https://www.gbcmc.or.kr/fmcs/71,행사에 따라 다름,,"매월 첫째 주, 셋째 주, 다섯째 주 일요일 및 법정 공휴일",2005.03.03,"다목적체육관 723.8㎡/종합체육관 1,458.4㎡(관중석200석)/수영장, 헬스장, 스쿼시장 등",https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100773&thumb=Y,,"강북웰빙스포츠센터는 구민복리증진을 위해 노력하고 있으며, 구민건강과 여가 선용의 장으로 활용할 수 있도록 최신시설을 갖춘 종합체육관입니다.<br>  우리 강북웰빙스포츠센터는 요가, 농구, 배구, 실내축구, 배드민턴, 탁구등 마음대로 뛸 수 있는 다목적체육실, 종합체육관, 자연채광과 가장 맑은 물을 자랑하는 수영장, 다이나믹한 스쿼시장, 에어로빅장, 넓은 공간의 헬스장 등의 시설을 갖추고, 친절한 전문체육지도자로부터 체계적인 강습을 받을 수 있는 다양한 스포츠프로그램의 운영 및 갈수록 심각해지는 현대인들의 스트레스, 가정문제와 아동 및 청소년 문제 등 정신건강 해결에 올바른 방법을 제시하고자 심리상담치료실과 건강가정지원센터를 운영, 육체적 건강은 물론 정신적 건강에도 도움을 주는 공간으로 유아에서 노인에 이르기까지 강북구민이 가장 즐겨찾는 센터가 되도록 노력하고 있습니다.<br>  구민들의 욕구를 만족시키고 쾌적하고 편리한 환경에서 시설물을 이용할 수 있도록 각종 프로그램과 시설관리에 최선을 다하고 있습니다.<br>",유료,,,,,,,
426.0,도서관,강북문화정보도서관,서울시 강북구 오현로 145,37.6251737,127.036125,02-944-3100,02-944-3139,https://www.gblib.or.kr/gangbuk/,공연에 따라 다름,,"둘째, 넷째 월요일",2001.06.05,"공연장1개, 152석",https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=d8383889eade4c82b93929f5c36e140b&thumb=Y,,"<div style='text-align: center;' align='center'><span style='font-size: 14pt;'>도심속의 쉼터, 오동근린공원안에 자리잡은 우리 강북문화정보도서관은 지역주민의 문화와 정보화수준향상을 위해 강북구에서 설립하고,</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>강북구도시관리공단에서 운영하는 도서관으로서 2001년 개관한 이래로 강북구 대표도서관으로서의 역할을 다하기 위해 항상 노력하고 있습니다.</span></div><div style='text-align: center;' align='center'><span style='font-size: 12px;'><br></span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>미취학 아동의 새싹자료실, 초등자료실, 종합자료실, 모두의 열람실, 전자정보실 등 자료열람실과 일반열람실, 메이커스페이스 등을 운영하며,</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>공연?강연?체험 등 다양한 독서문화행사와 평생교육 프로그램을 함께 운영하고 있습니다.</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>&nbsp;&nbsp;</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>우리 강북문화정보도서관은 지역주민 여러분에게 보다 다양한 정보와 자료 그리고 최상의 서비스를 제공하기 위해 그 역할을 다하겠습니다.</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>구민의 발전적이고 애정 어린 조언과 격려를 부탁드리는 바입니다.</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>감사합니다.</span></div>",유료,,,,,,,
529.0,미술관,북서울꿈의숲아트센터 드림갤러리,서울특별시 강북구 월계로 173,37.62025446,127.0443247,02-2289-5401,02-399-1619,https://www.sejongpac.or.kr/portal/main/contents.do?menuNo=200226,,0,월요일,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=0a79696cd7c647f185a0072a4f8f3b3e&thumb=Y,,"<span style='font-size: 14pt;'>꿈의숲아트센터 드림갤러리는 꿈의숲 아트센터 1층에 위치하여 총 370의 면적이며, 전문가들의 전시와 함께 지역주민들의 작품전시 등 전문가와 지역주민들이 참여하고 함께 구성해 가는 문화공간입니다.</span>",무료,,,,,,,
537.0,공연장,북서울꿈의숲아트센터,서울특별시 강북구 월계로 173,37.62025446,127.0443247,02-2289-5401,,www.sejongpac.or.kr/portal,,,월요일,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=39ede18c3a6e46c1a76d2c7252d05088&thumb=Y,,"<h3 style='text-size-adjust: none; margin: 0px; padding: 0px 0px 20px; font-family: ' noto='' sans='' kr',='' sans-serif;='' letter-spacing:='' -0.5px;='' font-size:='' 1.25em;='' color:='' rgb(34,='' 34,='' 34);='' background-color:='' rgb(255,='' 255,='' 255);'=''><span style='font-size: 14pt;'>꿈의숲 아트센터</span></h3><p style='text-size-adjust: none; font-family: ' noto='' sans='' kr',='' sans-serif;='' color:='' rgb(102,='' 102,='' 102);='' font-size:='' 16px;='' letter-spacing:='' -0.3px;='' background-color:='' rgb(255,='' 255,='' 255);'=''><span style='font-size: 14pt;'>북서울꿈의숲 서문에 위치한 꿈의숲 아트센터는 20여만평의 대자연 속에 위치하여 자연과 하나가 되는 공연장(퍼포먼스홀, 콘서트홀), 드림갤러리, 레스토랑, 카페등으로 이루어져 있습니다. 자연과 함께 예술과 문화가 흐르는 “꿈의숲 아트센터”는 시민 여러분의 삶 속에 꿈이 모여 숲을 이루는 장소 그 자체가 될 것입니다.</span></p>",무료,,,,,,,
596.0,박물관/기념관,근현대사기념관 ,서울특별시 강북구 4.19로 114,37.64344107,127.0028306,02-903-7580,02-905-7580,mhmh.or.kr,,0,"매주 월요일 (단, 월요일이 공휴일인 경우 개관하고, 다음 평일에 휴관),  1월 1일, 설, 추석 연휴, 강북구청이 지정한 날",,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=4570377dfb0c4e91a14e780b0d283932&thumb=Y,,"<p style='line-height: 1.8;'><span style='color: rgb(0, 0, 0); font-size: 14pt;' nanum='' gothic';='' font-size:='' 16px;='' text-indent:='' 32px;='' background-color:='' rgb(255,='' 255,='' 255);'=''>&nbsp;대한민국임시정부의 법통을 이은 대한민국은, 그 정신사의 기원을 근대 여명기 동학농민전쟁의 인본사상에서부터 3?1만세운동의 민주공화주의, 항일투쟁과정의 자주독립정신에서 찾을 수 있습니다.</span><br style='box-sizing: border-box; color: rgb(68, 68, 68); font-family: ' nanum='' gothic';='' font-size:='' 16px;='' text-indent:='' 32px;='' background-color:='' rgba(0,='' 0,='' 0.05);'=''><span style='color: rgb(0, 0, 0); font-size: 14pt;' nanum='' gothic';='' font-size:='' 16px;='' text-indent:='' 32px;='' background-color:='' rgb(255,='' 255,='' 255);'=''>강북구는 대한민국의 정통성과 관계되는 역사적 현장인 동시에 이를 지키고자 헌신한 사월혁명 투사들의 묘역이 자리잡고 있는 민주주의의 성지입니다.</span><br style='box-sizing: border-box; color: rgb(68, 68, 68); font-family: ' nanum='' gothic';='' font-size:='' 16px;='' text-indent:='' 32px;='' background-color:='' rgba(0,='' 0,='' 0.05);'=''><span style='color: rgb(0, 0, 0); font-size: 14pt;' nanum='' gothic';='' font-size:='' 16px;='' text-indent:='' 32px;='' background-color:='' rgb(255,='' 255,='' 255);'=''>우리가 수호해야 할 최우선의 가치는 독립정신과 민주공화정신이며 이를 담은 ‘헌법전문’은 대한민국의 상징이며 성취해야 할 목표입니다.</span><br style='box-sizing: border-box; color: rgb(68, 68, 68); font-family: ' nanum='' gothic';='' font-size:='' 16px;='' text-indent:='' 32px;='' background-color:='' rgba(0,='' 0,='' 0.05);'=''><span style='color: rgb(0, 0, 0); font-size: 14pt;' nanum='' gothic';='' font-size:='' 16px;='' text-indent:='' 32px;='' background-color:='' rgb(255,='' 255,='' 255);'=''>강북구 근현대사기념관은 헌법정신의 요체인’자유’,’평등’,’민주’의 이념이 단순히 외래의 소산이 아니라 선열들이 피땀 흘려 체득하고 축적해 온 소중한 가치임을 감동이 있는 서사로 전달함으로써, ‘독립운동가들이 꿈꾼 나라’,’사월혁명의 투사들이 소원했던 나라’가 바로 대한민국의 미래상임을 널리 알리고자 합니다.</span><br></p>",무료,,,,,,,
680.0,기타,북서울꿈의숲,서울특별시 강북구 월계로 173,37.62025446,127.0443247,02-2289-4000,,http://parks.seoul.go.kr/template/sub/dreamforest.do,,없음,연중무휴,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=7ca422190bd34ae083d4bb626ed4cff6&thumb=Y,,"<p><b>[소개]</b></p><p>서울 강북과 도봉 등 6개구에 둘러싸여 있는 초대형 공원인 '북서울꿈의숲'은 과거 드림랜드가 있던 자리 68만여㎡에 조성된 녹지공원으로 월드컵공원과 올림픽공원에 이어 서울에서 3번째로 큰 공원입니다. 숲이 울창해 아름다운 풍광을 자랑하는 벽오산, 오패산으로 둘러싸여 있는 '북서울꿈의숲'은 벚꽃길과 단풍숲 등의 생태적 조경 공간, 대형연못인 월영지와 월광폭포 등의 전통경관, 그리고 북한산과 도봉산, 수락산을 한눈에 볼 수 있는 49.7미터의 전망대와 다양한 장르의 고품격 문화예술이 일년내내 펼쳐지는 '꿈의숲아트센터' 등의 공연장과 전시장, 레스토랑, 전망타워 등이 있는 서울을 대표하는 세계적인 공원입니다.</p><p><br></p><p><b>[이용시간]</b> 상시개방<br><br></p><p><b>[면&nbsp; &nbsp; &nbsp;적]</b>&nbsp; 총684,157m2</p><p><b><br>[주요시설]</b></p><p>- 기반시설 : 잔디광장(청운답원) 14,882㎡, 도로(산책로 등) 37,445㎡, 오동교 200㎡</p><p>- 조경시설 : 연못(월영지 12,526㎡, 칠폭지 3,598㎡), 잔디마당 21,664㎡ 등</p><p>- 휴양시설 : 데크쉼터 9개소(10,408㎡), 휴게소 11개소, 수변쉼터 5개소 등</p><p>- 놀이시설 : 어린이놀이터 2개소</p><p>- 운동시설 : 배드민턴장 4개소(2,680㎡), 족구장 1개소(561㎡), 게이트볼장 1개소(426㎡), 체력단련시설 16개소</p><p>- 교양시설 : 퍼포먼스홀, 콘서트홀 등 문화공연시설, 드림갤러리 및 상상톡톡미술관, 창녕위궁재사(1,302㎡), 유아숲체험원 1개소</p><p>- 편익시설 : 주차장 2개소 386면(동문 312, 서문 74), 전망대, 커피숍 3개소, 중식당, 편의점, 이태리식당, 야외화장실 1개소, 음수대 8개소 등</p><p>- 관리시설 : 방문자센터 1,829㎡(지하1층 지상2층), 공원등 389주 등</p><p>- 기타시설 : 사슴방사장(2,511㎡), 사슴 19마리(♀ 8, ♂ 11)</p><p><b><br>[공지사항]</b></p><p>4월~11월에는 나들이 차량으로 인해 주차 대기시간이 길어지고 있습니다.</p><p>현재 주차장 2개소(동문, 서문)를 운영중에 있으나, 특히 주말(공휴일)에는 많은 차량이 몰려 주차공간이 현저히 부 족한 상태입니다.</p><p>주말(공휴일) 이용 시민들께서는 가급적 대중교통을 이용하여 주시기 바라며, 여러분의 이해와 협조 부탁드립니다.</p><p><br></p><p><b>[자전거이용]</b></p><p>주변자전거도로(월계로/미아사거리↔월계2교사거리/오현로/삼양입구사거리↔강북구민운동장/돌곶이길/월계로)</p>",무료,,,,,,,
