번호,주제분류,문화시설명,문화시설주소,위도,경도,전화번호,팩스번호,홈페이지,관람시간,관람료,휴관일,개관일자,객석수,대표이미지,기타사항,시설소개,무료구분,지하철,버스정거장,YELLOW,GREEN,BLUE,RED,공항버스
21.0,도서관,도봉도서관,서울특별시 도봉구 삼양로 556,37.65254746,127.0127722,02-6714-7400,02-991-3674,http://dblib.sen.go.kr/,,,"매월 두 번째, 네 번째 수요일 법정 공휴일(국경일 등 관공서의 휴무일)",,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100139&thumb=Y,■ 중학생 이상 누구나 자료의 열람 및 대출이 가능합니다. 대출된 자료를 예약할 수 있습니다. 도서관 자료의 복사가 가능합니다. 청소년 권장도서 목록을 게시하고 있습니다.,"<div style='text-align: center;' align='center'><span style='font-size: 18.6667px;'>도봉도서관은 서울의 명산인 북한산 기슭에 자리잡고 있어 자연경관이 좋으며, 대중교통 이용이 편리하고&nbsp;</span></div><div style='text-align: center;' align='center'><span style='font-size: 18.6667px;'>인근에는 백운초등학교와 덕성여대가 함께 있어 지역 주민들의 많은 사랑을 받고 있습니다.&nbsp;</span></div><div style='text-align: center;' align='center'><span style='font-size: 18.6667px;'><br></span></div><div style='text-align: center;' align='center'><span style='font-size: 18.6667px;'>도봉도서관은 1981년 개관 현재 201,721권의 장서를 보유하고 있으며 항상 지역주민과 같이 호흡을 같이하는&nbsp;</span></div><div style='text-align: center;' align='center'><span style='font-size: 18.6667px;'>도서관이 되기 위해 다양한 자료와 정보를 수집하여 제공하고 각종 교육, 문화 프로그램을 개발하여 지역주민</span></div><div style='text-align: center;' align='center'><span style='font-size: 18.6667px;'>들에게 널리 보급해 드리는데 최선을 다하고 있습니다.</span></div>",유료,,,,,,,
22.0,기타,강북구청,서울특별시 강북구 도봉로89길 13,37.63954439,127.0254726,02-901-6114,,https://www.gangbuk.go.kr/,,,"매주 토,일요일, 법정공휴일",,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100772&thumb=Y,,강북구의 행정과 민원을 담당하는 기관<p style='CLEAR: both'></p>,무료,,,,,,,
47.0,도서관,송중문화정보센터,서울특별시 강북구 도봉로20나길 6,37.61832041,127.0299756,02-944-3160,02-944-3169,https://www.gblib.or.kr/songjung/,,,"첫째, 셋째 월요일, 정부지정 공휴일",2010.03.02,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100876&thumb=Y,,"<p></p><p>도심속의 쉼터, 송중문화정보도서관은 지역주민의 문화와 정보화수준향상을 위해 강북구에서 설립하고 강북구도시관리공단에서 운영하는 정보도서관으로서 2010년 개관하였습니다.</p><p><br></p><p>앞으로도 우리 송중문화정보센터는 지역주민여러분에게 보다 다양한 정보와 자료 그리고 최상의 서비스를 제공하고자 최선을 다하여 강북구만이 가지고 있는 지역적 문화적 특성을 살린 종합정보도서관으로서의 그 역할을 다하겠습니다.</p><p><br></p><p><b>시설현황</b></p><p>1층 : 자료열람실, 꿈자람터</p><p>2층 : 일반열람실, 정보검색실</p><p><br></p><p><b>이용시간</b></p><p>1층 자료열람실 평일 09:00~18:00, 주말 09:00~17:00</p><p>2층 정보검색실 평일 09:00~18:00, 주말 09:00~17:00</p><p>3층 일반열람실 07:00~22:00</p>",유료,,,,,,,
109.0,도서관,도봉기적의도서관,서울시 도봉구 마들로 797,37.6812003,127.0502366,02-3493-7171,,http://www.unilib.dobong.kr/main.do,,,"매주화요일,법정공휴일",,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=69e22a43246c4ef8af64f95db6d589f7&thumb=Y,,"<div style='text-align: center; ' align='center'><span style='font-size: 12pt;'>꿈과 함께 성장하는 도봉기적의도서관은 전국에서12번째, 서울에서 첫번째 어린이 전용 기적의도서관입니다.</span></div><div style='text-align: center; ' align='center'><br>  </div><div style='text-align: center; ' align='center'><span style='font-size: 12pt;'>운영시간</span></div><div><div style='text-align: center; ' align='center'><span style='font-size: 12pt;'>평일(월,수,목,금) : 09:00 ~ 20:00</span></div><div style='text-align: center; ' align='center'><span style='font-size: 12pt;'>주말(토,일) : 09:00 ~ 17:00</span></div></div>",무료,,,,,,,
125.0,문화원,도봉문화원,서울특별시 도봉구 도봉로 552,37.65419928,127.0388705,02-905-4026,02-908-6020,http://www.dobong.or.kr/main/index.php,,,정보없음,1994.08.20,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100779&thumb=Y,,"<div style='text-align: center;' align='center'><span style='font-size: 14pt;'>도봉문화원은 향토문화를 계승 보존 발전시키고 지역주민의 문화적 삶의 질 향상을 위하여 노력하고 있으며 지방문화원진흥법(1994. 1. 7)에 의하여 설립된 비영리특수법인</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>으로 1994년 8월 문화관광부로부터 인가를 받았습니다 주요사업으로는 지역고유문화의 계발 보급 전승 및 선양, 향토사의 조사연구 및 사료 수집 보존, 지역문화행사의&nbsp;</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>개최, 지역전통문화의 국내외 교류, 지역문화에 대한 사회교육활동, 지역환경보존등 지역사회 발전을 위한 문화활동, 청소년 문화 및 복지사업, 기타 지역문화발전에 기여할</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>수 있는 사업 등을 주민과 함께 하고 있습니다</span></div>",유료,,,,,,,
140.0,공연장,도봉구민회관,서울특별시 도봉구 도봉로 552,37.6541978,127.038442,02-901-5160~2,02-999-4416,https://www.dobongsiseol.or.kr/index_hall.html,공연에 따라 다름/09시~22시,,"첫째, 셋째주 일요일",1993.12.23,대강당 600석/소공연장 190석,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100777&thumb=Y,,"<p><br>  &nbsp;도봉구민회관은 40만 도봉구민의 문화예술공간으로 지하1층, 지상4층, 연면적 10,107㎡ 건물로 1993년 12월 23일 개관하였습니다. 구민회관 시설로 대강당은 객석이 600석 규모로 조명 및 음향시설, 영사기, 피아노 등을 갖추어 각종 공연, 음악회, 영화상영 등을 실시하고 있으며, 회의실은 150명을 수용할 수 있는 공간으로 세미나, 교육, 회의 등을 하고 있습니다. 1층에 위치한 예식장은 150석 규모로 도봉구 관내 구민을 위하여 운영하고 있으며, 204,95㎡ 규모의 전시실은 2004년도에 현대적인 전시공간으로 리모델링을 실시, 각종 그림, 서예, 사진작품 전시회 등을 수시로 개최하고 있습니다. 또한 제1, 2체육실을 포함한 12개 문화교양강좌실을 갖추고 있으며 문화, 미술, 음악강좌, 여성대학 운영 및 도봉문화원 주관의 문화강좌 등 120개 이상의 다양한 강좌를 운영하고 있으며, 4층 독서실은 남여 270석으로 09:00~22:00까지 중학교 이상의 학생 및 일반인을 대상으로 1일 이용료 300원을 받고 있습니다. 한편 종전에 구의회 본회의장으로 사용하던 3층 공간을 190석 규모의 소공연장(3층)으로 리모델링하여 조명,음향시설, 피아노 등의 부속시설을 갖추어 공연 및 발표회, 세미나 등의 개최장소로 활용하고 있어 구민들의 여가선용 및 삶의 질 향상에 기여하고 있습니다.&nbsp;</p> <p>&nbsp;</p>",유료,,,,,,,
160.0,문화예술회관,창동문화체육센터,서울특별시 도봉구 노해로69길 132,37.65800442,127.050488,02-901-5046,,https://www.dobongsiseol.or.kr/index_sport.html,,,"1, 3, 5주 일요일 및 법정공휴일(대체휴일포함)",,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=818cf2cb0cf54e688a06151705233842&thumb=Y,,"<table border='0' cellspacing='0' cellpadding='0' width='570' align='center'> <tbody> <tr> <td height='3' colspan='2'>■ 이용안내<br>  </td></tr> <tr> <td valign='top' width='8'>＊</td> <td valign='top'><span class='mui1_b'>이용시간</span> : 06:00 ~ 22:00 (일요일 09:00 ~ 18:00)</td></tr> <tr> <td height='8' colspan='2'></td></tr> <tr> <td valign='top'>＊</td> <td valign='top'><span class='mui1_b'>휴&nbsp;관&nbsp;일</span> : 매월 첫째, 세째주 일요일, 공휴일</td></tr> <tr> <td height='8' colspan='2'></td></tr> <tr> <td valign='top' width='8'>＊</td> <td valign='top'><span class='mui1_b'>이용요금</span> : 각 프로그램 안내 및 접수 안내 참조</td></tr> <tr> <td height='8' valign='top' colspan='2'></td></tr> <tr> <td valign='top'>＊</td> <td class='mui1_b' valign='top' align='left'>주차장 이용</td></tr> <tr> <td height='3' colspan='2'></td></tr> <tr> <td valign='top'>&nbsp;</td> <td valign='top' align='left'> <table border='0' cellspacing='0' cellpadding='0' width='560'> <tbody> <tr> <td valign='top' width='10'>＊</td> <td width='550'> <p>운영시간 : 09:00~18:00 (토/일요일/공휴일 무료개방)<br>  ※ 단, 토요일 대관 및 행사 시 유료주차 </p></td></tr> <tr> <td height='3' colspan='2'></td></tr> <tr> <td>＊</td> <td> <p>주차요금 </p></td></tr> <tr> <td height='3' colspan='2'></td></tr> <tr> <td>&nbsp;</td> <td> <p>- 일반차량 : 10분당 500원 </p></td></tr> <tr> <td height='3' colspan='2'></td></tr> <tr> <td>&nbsp;</td> <td> <p>- 정기주차 : 월 30,000원 </p></td></tr> <tr> <td height='3' colspan='2'></td></tr> <tr> <td>&nbsp;</td> <td> <p>- 회원차량 : 3시간무료(이후 10분당 500원, 프로그램 이용일만 가능) </p></td></tr> <tr> <td height='3' colspan='2'></td></tr> <tr> <td>&nbsp;</td> <td> <p>- 대관행사 : 행사차량 3대 무료 </p></td></tr> <tr> <td height='3' colspan='2'></td></tr> <tr> <td>&nbsp;</td> <td> <p>- 장애인 및 국가유공자 80%할인, 경형자동차(1,000cc미만)50%할인 </p></td></tr> <tr> <td height='3' colspan='2'></td></tr> <tr> <td>&nbsp;</td> <td>※ 전자태그 부착 차량만이 입장 가능합니다 (승용차요일제 및 전자태그 미준수차량 주차료 징수)</td></tr> <tr> <td height='3' colspan='2'></td></tr> <tr> <td>&nbsp;</td> <td>※ 주차장내에서 발생한 도난, 파손 등의 일체의 제반사고에 대해서는 책임을 지지 않습니다.</td></tr> <tr> <td height='3' colspan='2'></td></tr> <tr> <td>＊</td> <td> <p>이용안내 및 문의 : ☎ 901-5216 </p></td></tr></tbody></table></td></tr> <tr> <td height='8' valign='top' colspan='2'></td></tr> <tr> <td valign='top'>＊ </td> <td valign='top' align='left'><span class='mui1_b'>할인대상</span><br>  - 기초생활보장수급자 무의탁노인 30%, 65세 이상 및 장애인ㆍ국가유공자 50%<br>  - 해당 증명서류 지참 </td></tr></tbody></table>",무료,,,,,,,
194.0,도서관,도봉문화정보도서관,서울특별시 도봉구 덕릉로 315,37.6446038,127.043887,02-900-1835,02-900-1551,http://www.unilib.dobong.kr/main.do,프로그램 일정에 따라 다름,,"■ 종합자료실,어린이자료실,멀티미디어실:  매주 화요일,법정공휴일 ■ 자유열람실: 매월두번째, 네번째 화요일, 법정공휴일",2001.10.09,문화시청각실60석,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=e45cf563f10a49d8855ad73880a830a5&thumb=Y,,"<div><span style='font-size: 18.6667px;'><b>[공간소개]</b></span></div><div><span style='font-size: 18.6667px;'>‘세상 읽는 힘, 미래를 만드는 힘’</span></div><div><span style='font-size: 18.6667px;'>새천년을 시작하는 첫해에 출발한 도봉문화정보도서관 지식과 지혜의 보고로써 지역주민들과 함께 성장하였습니다.</span></div><div><span style='font-size: 18.6667px;'>지금의 도서관은 더 이상 조용하고 책만 읽는 곳이 아닙니다. 주민의 삶과 밀착되어 언제나 여러분의 성장을 지원하고,&nbsp;</span></div><div><span style='font-size: 18.6667px;'>체험하고 함께하는 소통의 공간으로 변화해야 합니다.</span></div><div><span style='font-size: 18.6667px;'><br></span></div><div><span style='font-size: 18.6667px;'>그래서 우리 도봉문화정보도서관 도서관의 환경과 인프라를 개선하는 ‘변화하는 도서관’ 주민과 함께 하는 협력모델을&nbsp;</span></div><div><span style='font-size: 18.6667px;'>구축하는 ‘함께하는 도서관’ 조직과 제도를 개선하여 더욱 ‘신뢰받는 도서관’이 되겠습니다.</span></div><div><span style='font-size: 18.6667px;'><br></span></div><div><span style='font-size: 18.6667px;'>언제나 여러분을 환영합니다.</span></div><div><span style='font-size: 18.6667px;'><br></span></div><div><span style='font-size: 18.6667px;'><b><br></b></span></div><div><span style='font-size: 18.6667px;'><b>[운영시간]</b></span></div><div><span style='font-size: 18.6667px;'>■ 종합자료실</span></div><div><span style='font-size: 18.6667px;'>평일(월,수,목,금) : 09:00 ~ 22:00</span></div><div><span style='font-size: 18.6667px;'>주말(토,일) : 09:00 ~ 17:00</span></div><div><span style='font-size: 18.6667px;'>■ 멀티미디어실</span></div><div><span style='font-size: 18.6667px;'>평일(월,수,목,금) : 09:00 ~ 20:00</span></div><div><span style='font-size: 18.6667px;'>주말(토,일) : 09:00 ~ 17:00</span></div><div><span style='font-size: 18.6667px;'>■어린이자료실</span></div><div><span style='font-size: 18.6667px;'>평일(월,수,목,금) : 09:00 ~ 18:00</span></div><div><span style='font-size: 18.6667px;'>주말(토,일) : 09:00 ~ 17:00</span></div><div><span style='font-size: 18.6667px;'>■ 자유열람실</span></div><div><span style='font-size: 18.6667px;'>평일(월,수,목,금) : 09:00 ~ 22:00</span></div><div><span style='font-size: 18.6667px;'>평일(첫번째,세번째,다섯번째화요일) : 09:00 ~ 18:00</span></div><div><span style='font-size: 18.6667px;'>주말(토,일) : 09:00 ~ 20:00</span></div>",유료,,,,,,,
201.0,기타,평화문화진지,서울특별시 도봉구 마들로 932,37.69078014,127.0468126,02-3494-1970,,https://culturebunker.or.kr/,,,"매주 월요일, 1월1일, 설날/추석 당일 *단, 월요일이 공휴일인 경우 그 다음의 평일이 휴관",,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000101139&thumb=Y,,"<p><b>평화문화진지는 대결과 분단의 상진인 대전차 방호시설을 </b></p> <p><b>문화예술의 공간인 평화문화 진지로 재탄생 시킨 공간입니다.</b></p> <p><br> </p> <p><b>ㅇ 시설현황</b></p> <p>&nbsp; - 스튜디오, 공동주방, 공유공방, 다목적 전시실, 작가 휴게실, 카페티리아, 휴게음식점, 다목적 공연장, 커뮤니티실</p> <p>&nbsp;&nbsp;&nbsp; ※ 공간구성은 매해 사업에 따라 변경 가능</p> <p><br> </p> <p><b>ㅇ 관람안내</b></p> <p>&nbsp; - 개방공간 : 전시실, 커뮤니티실, 공유공방</p> <p>&nbsp; - 운영시간 : 화~일 10:00~19:00</p> <p>&nbsp; - 휴 관 일 : 매주 월요일, 1월1일, 설날/추석 당일 </p> <p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; * 단, 월요일이 공휴일인 경우 그 다음의 평일이 휴관</p> <p>&nbsp; -&nbsp;관&nbsp; 람 료 : 무료&nbsp;</p> <p>&nbsp; -&nbsp;이용문의 : 02-3494-1970</p>",무료,,,,,,,
321.0,박물관/기념관,덕성여자대학교 박물관,서울특별시 도봉구 삼양로144길 33,37.65247041,127.0158349,02-901-8131~3,02-901-8148,https://www.duksung.ac.kr/contents/contents.do?ciIdx=119&menuId=1044,월~금 10:00~16:00,무료,"토,일요일 법정공휴일",,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=e94a7c7488e049b1a1db2c60ab9cd0c6&thumb=Y,,"<div style='text-align: center;' align='center'><span style='font-size: 14pt;'>덕성여자대학교박물관은 1971년 5월에 설립되어 운니동캠퍼스 D관 7층에서 약 40평 규모의 조그마한 전시실로 시작하였습니다.&nbsp;</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>이후 1982년에는 현재의 쌍문동캠퍼스 가정관 3층으로 이전하여 연건평 116.9평 규모에 민속실, 고미술실, 현대미술실, 수장고&nbsp;</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>등을 갖추어 박물관의 면모를 새롭게 하였습니다. 그리고 다시 1896년 4월에 도서관 4층으로 이전하여 기획전과 각종 대외전시 등&nbsp;</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>활발한 활동을 해 왔습니다.&nbsp;</span></div><div style='text-align: center;' align='center'><span style='font-size: 12px;'><br></span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>최근 다양한 문화욕구에 부응하기 위해 2005년 10월에 차미리사관으로 확장 이전하였습니다. 새로 개관한 박물관은 연건평 약 400평&nbsp;</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>규모에 전시공간 299평(야외전시장 포함), 수장고 61평, 기타 사무실 ? 작업실 등 24시간 항온항습 시설을 겸비한 최신시설을 완비하</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>였습니다.&nbsp;</span></div><div style='text-align: center;' align='center'><span style='font-size: 12px;'><br></span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>본 박물관은 초기부터 종합박물관의 성격과 여자대학의 특성을 살려 우리나라 여성들의 생활사를 살펴볼 수 있는 여성생활 문화재들을&nbsp;</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>집중적으로 수집 ? 소장하고 있습니다. 유물은 총 2367점을 소장하고 있으며, 분야별로 공예, 복식, 서화 등 분야가 다양합니다. 특히 목</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>공예와 복식유물은 수차례의 특별전과 국내외 전시를 통해 높은 평가를 받고 있습니다. 본 박물관은 상설전시 뿐만 아니라 지속적인 특</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>별전과 조사 ? 연구를 통해 전통문화의 체험과 교육적인 정보를 제공하는데 역할을 다하고자 합니다.</span></div><div style='text-align: center;' align='center'><span style='font-size: 12px;'><br></span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>더불어 지역사회의 문화교육기관으로서 열린문화공간이자 평생학습의 장으로 활용되도록 노력하고 있습니다.</span></div>",무료,,,,,,,
