번호,주제분류,문화시설명,문화시설주소,위도,경도,전화번호,팩스번호,홈페이지,관람시간,관람료,휴관일,개관일자,객석수,대표이미지,기타사항,시설소개,무료구분,지하철,버스정거장,YELLOW,GREEN,BLUE,RED,공항버스
76.0,기타,동작구청,서울특별시 동작구 장승배기로 161,37.51226793,126.9394288,02-820-1114,,https://www.dongjak.go.kr/,,,"토요일, 법정공휴일",,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100822&thumb=Y,,서울특별시 동작구의 행정 및 민원 업무 등을 담당하는 기관입니다.,무료,,,,,,,
81.0,도서관,동작도서관,"서울 동작구 장승배기로 94 (노량진동, 동작도서관)",37.5059908,126.9401667,02-823-6417,02-812-6511,http://djlib.sen.go.kr/,,,정보없음,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100157&thumb=Y,"■ 대 지 : 1,910 ㎡ (579평) ■ 건 물 : 1,974㎡ (597평), 철근조 지상3층 지하1층","<div style='text-align: center;' align='center'><span style='font-size: 12pt;'>동작도서관은 1991년 5월 6일에 개관한 동작구 공공도서관으로 현재 9만 여권의 장서와 각종 간행물, 멀티미디어자료를 갖추고 21C를 열어가는&nbsp;</span></div><div style='text-align: center;' align='center'><span style='font-size: 12pt;'>정보문화센터로서, 지역 주민들의 정보문화욕구 충족을 위한 각종 프로그램을 개설 하여 이용자들의 생활 속의 소중한 문화공간으로 끊임없이 발전하고 있습니다.</span></div>",무료,,,,,,,
87.0,문화예술회관,사당문화회관,서울특별시 동작구 사당로8길 9,37.48471444,126.9696139,(02)588-4111,(02)588-6040,https://sports.idongjak.or.kr/home/59,- 평   일(월~금) : 06:00~22:00  토요일 : 06:00~21:00 / 일요일(1주) : 10:00~19:00,,법정공휴일 및 일요일(월 첫째주 일요일만 운영),,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100825&thumb=Y,,"<p>사당동(지하철 7호선 남성역)에 위치한 사당문화회관은 지하2층, 지상4층 규모의 최신 시설로, 수영장과 헬스장 그리고 문화강좌실, 다목적강당 등을 두루 갖춘 동작구 동남권 지역주민을 위한 종합 문화체육시설입니다.</p><p><br></p><p>자료출처 : 동작구시설관리공단 홈페이지</p>",무료,,,,,,,
387.0,기타,동작구 문화관광,서울 동작구 노량진동 47-2 ,,,02-820-1114,,http://www.dongjak.go.kr/,,,,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100649&thumb=Y,,"？ 동작이야기 : 우리동네 이야기, 인물, 민간신앙, 설화.민요, 관광뉴스  제공 ？ 문화유산 : 놋쇠지구의, 사육신묘, 다뉴세문경, 측우기와 측우대 등 ？ 명소 : 국립현충원, 노들나루터, 보라매공원, 노량진 수산시장 등 ？ 문화공간.축제 : 사육신 추모제향, 동작구민의 날 축제, 장승배기 장승제 등 ？ 나루터, 관악산, 삼성산 등 자연명소 ？ 사회복지시설 : 문화복지센터, 문화원, 구민회관 등 동작구 문화관광 안내",유료,,,,,,,
518.0,도서관,대방어린이도서관,서울특별시 동작구 대방동길 55,37.50302549,126.9252227,02-813-6740,02-813-6741,https://lib.dongjak.go.kr/dj/index.do,,0,"매주 월요일, 법정공휴일",,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=a63e0f3275d54cf1a47a225708e3efcd&thumb=Y,,<span style='font-size: 14pt;'><b>피어나는 작은 꿈을 위해 디딤돌이 되겠습니다.  어린이와 함께 성장하며 꿈꾸는 대방어린이도서관입니다</b></span> ,무료,,,,,,,
531.0,도서관,국사봉숲속작은도서관,서울특별시 동작구 양녕로23길 27,37.49543351,126.9405902, ,,https://lib.dongjak.go.kr/dj/html.do?menu_idx=84,,0,월요일,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=9a1d6d32a4384de0b7e9ef4ae45cc498&thumb=Y,,"개관시간 : 화~일요일 오전 9시 ~ 오후 6시 (오후 1시~2시는 점심시간)  장서 3,559권 보유 (일반 1,340권 어린이 2,219권) ",무료,,,,,,,
536.0,미술관,동작아트갤러리,서울특별시 동작구 보라매로5길 28-1,37.49379251,126.9231084,070-7204-3257,,https://www.idfac.or.kr/sub_new/menu02_01_01.php,,0,"매주 일?월요일, 법정공휴일",,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=64112524fe494dd690760322fc821827&thumb=Y,,<span style='font-size: 14pt;'>동작구 신대방동 보라매공원 내 위치한 동작아트갤러리는 1960년대 공군사관생도들이 사용하던 舊성무교회 건물을 리모델링하여 설립한 동작구 최초의 문화예술 전시공간입니다. 박공모양의 지붕과 수직성을 강조한 내부 공간 등 독특한 건축기법으로 설계된 동작아트갤러리는 그 역사와 건축양식의 특수성을 인정받아 2019년 3월 등록문화재 744호로 지정되었습니다. 현재 동작아트갤러리는 동작구 지역문화예술진흥과 동작문화재단의 예술교류 활성화를 위한 복합문화공간으로 활용되고 있습니다.</span>,무료,,,,,,,
540.0,문화원,동작문화원,서울특별시 동작구 장승배기로10길 42,37.50444553,126.9410884,02-822-8500,02-822-5003,www.dongjaktv.net,,0,"토,일,공휴일",,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=20bb7e381cef4f5eae8616c6c343aef7&thumb=Y,,"<p><span style='font-size: 12pt;'>저희 동작문화원은 1998년에 개원하여</span></p><p><span style='font-size: 16px;'>상도동에 본원과 사당동에 분원을 두어</span></p><p><span style='font-size: 12pt;'>구민분들을 대상으로 향토문화계발, 문화예술활동, 문화시민교육,</span></p><p><span style='font-size: 12pt;'>문화교류사업, 문화학교운영 등을 주로 하고 있습니다.</span></p><p><span style='font-size: 12pt;'>다양한 사업을 통해 동작구 문화의 중심지로 자리매김하고</span></p><p><span style='font-size: 12pt;'>보다 많은 분들이 문화혜택을 받으실 수 있도록</span></p><p><span style='font-size: 12pt;'>열려있고&nbsp;</span><span style='font-size: 12pt;'>항상 노력하고 있는&nbsp;</span><span style='font-size: 12pt;'>문화원입니다.</span></p><p><span style='font-size: 12pt;'><br></span></p>",무료,,,,,,,
547.0,도서관,사당솔밭도서관,서울특별시 동작구 솔밭로 86,37.48408142,126.9673507,02-585-8411,,https://lib.dongjak.go.kr/dj/index.do,,0,"매주 월요일, 법정공휴일",,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=1f6aaaf6398b4eaeac46770ab8959451&thumb=Y,,"도서관의 새로운 가치를 만들어가는 사당솔밭도서관 책을 만나고 문화를 누리는 공간,  당신 곁에 사당솔밭도서관이 함께 합니다.",무료,,,,,,,
552.0,도서관,약수도서관,서울특별시 동작구 양녕로22바길 64,37.49788488,126.9474555,02-823-1907,,https://lib.dongjak.go.kr/dj/html.do?menu_idx=81,,0,"매주 월요일, 법정공휴일",,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=02054a8bd2b5478bac93beeee2c8763b&thumb=Y,,"약수도서관은 지상3층으로  1층 유아,아동,성인 자료실 2층 아동만화, 큰글자, DVD 자료실, 공동보존서고 3층 다목적실으로 이루어져 있습니다. 또한 다양한 도서와 프로그램을 제공하고 있는 오르막 끝자락 도서관입니다.",무료,,,,,,,
