번호,주제분류,문화시설명,문화시설주소,위도,경도,전화번호,팩스번호,홈페이지,관람시간,관람료,휴관일,개관일자,객석수,대표이미지,기타사항,시설소개,무료구분,지하철,버스정거장,YELLOW,GREEN,BLUE,RED,공항버스
82.0,도서관,서대문도서관,서울특별시 서대문구 모래내로 412,37.58331862,126.940858,02-6948-2160,02-396-4756,https://sdmlib.sen.go.kr/sdmlib/index.do?getContextPath=,,,정보없음,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=29629e2fb3f34d5eba7679b5c6e3f215&thumb=Y,,"<div style='text-align: center;' align='center'><span style='font-size: 14pt;'>서대문도서관은 1986년 12월 18일에 개관하여 현재 16만여권의 장서와 1,031석의 좌석을&nbsp;</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>갖추고 지역주민들의 평생교육과 정보제공을 위하여 전 직원이 최선을 다하여 봉사하고 있습니다.</span></div>",무료,,,,,,,
181.0,문화예술회관,서대문문화체육회관,서울특별시 서대문구 백련사길 39,37.58075973,126.9315574,02-360-8560~1,02-391-9031,http://www.sscmc.or.kr/culture1/,,,정보없음,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100794&thumb=Y,,"<p><b><span style='font-size: 14pt;'>-대극장</span><br>  </b><br><span style='font-size: 14pt;'>  서대문문화회관의 핵심공간이 되는 대극장은 604석의 규모로 음악, 연극, 무용 등 공연예술분야를 수용하는 다목적 공간입니다. 공연무대의 일차적 조건인 음향효과는 특히 음악 연주무대에서 뛰어난 효과를 발휘하는데 다목적 홀에 맞도록 최신 음향설비와, 조명설비, 무대기계 그리고 영사실까지 두루 갖추어 각종 공연과 행사를 완벽하게 치러내는 전천후 기능을 자랑합니다.</span><br>  <br>  <br>  <b><span style='font-size: 14pt;'>-소극장</span><br>  <br>  </b><span style='font-size: 14pt;'>객석 200석의 아담한 공간으로서 소규모 음악연주와 연극, 실내악 독주회 등을 수용할 수 있는 무대입니다. 또한 학술세미나 및 발표회 중소규모의 회의, 간담회장 등으로 이용할 수 있도록 탄력 있게 꾸며져 있습니다. 소규모 공연의 증가추세에 맞추어 공연장 수요가 늘어남에 따라 다양한 공연무대를 이끌 수 있도록 짜임새 있는 무대를 연출해 주고 있어서 특히 실험무대의 아카데믹한 공연을 치르기에 최적의 무대가 됩니다.</span><br>  <br>  <br>  <b><span style='font-size: 14pt;'>-갤러리</span><br>  <br>  </b><span style='font-size: 14pt;'>24.2㎡ 규모의 갤러리는 50여 점의 회화를 비롯하여 장르별 구상, 추상작품은 물론 각 분야의 전시회를 최상의 수준으로 유지해 줍니다. 수준 높은 예술작품 전시회에 필요한 50여 개의 할로겔 램프와 도난방지시설이 갖추어져 있어서 직업 작가들의 작품을 살리는데 최적의 환경을 제공해주고 있습니다.</span><br>  </p> <p><b><span style='font-size: 14pt;'>-공연연습실</span><br>  <br>  </b><span style='font-size: 14pt;'>132㎡여 평의 공연 연습실은 회관 내에서 이루어지는 모든 공연행사의 리허설을 완벽하게 담아내는 활동공간입니다. 연주에 필요한 보면대 및 의자 등이 있어 모든 연습을 소화해 내는데 완벽한 시설을 갖추고 있습니다. 또한 사물놀이, 전통무용, 대금, 클라리넷, 힙합댄스, 재즈댄스, 플롯 등 다양한 문화강좌가 바로 연습실에서 실시되고 있어 문화교육과 향수 공간의 산실이기도 합니다.</span></p> <p><br>  <b><span style='font-size: 14pt;'>-문화강좌</span><br>  <br>  </b><span style='font-size: 14pt;'>서대문문화회관은 어학, 취미, 공예미술, 국악, 교양문화 및 컴퓨터, 지능개발 등 학습능력을 높이는 학생 대상 프로그램 등 58개 강좌를 운영하여 지역주민들에게 살아있는 문화교육의 장을 제공하고 있습니다.</span></p> <p><br>  <b><span style='font-size: 14pt;'>-문화의집</span><br>  <br>  </b><span style='font-size: 14pt;'>서대문 문화의 집은 전국 최초로 개설되어 문화예술에 관련된 프로그램과 정보등을 제공하는 지역단위의 소규모 복합 문화공간으로 자리잡고 있습니다.</span></p> <p><br>  <b><span style='font-size: 14pt;'>-이벤트홀</span><br>  <br>  </b><span style='font-size: 14pt;'>지역 주민의 문화어울마당 회관1층의 중앙홀인 이벤트 홀은 지역 주민의 문화어울마당으로서 주민이 직접 참여하고 만드는 소규모 연주회 및 전시 예술 공간입니다. 특별한 품격과 수준을 벗어나 어린이에서 성인까지 누구나 자유롭게 표현할 수 있는 예술공간입니다.</span></p> <p><b><br><span style='font-size: 14pt;'>  -다목적실</span><br>  <br>  </b><span style='font-size: 14pt;'>회관을 이용하는 문화예술강좌의 공연 및 전시발표 무대는 물론 숲의 자연경관과 마주한 친환경적 문화쉼터로서 차 한잔과 책 한권의 여유로운 문화쉼터로 운영됩니다.</span></p>",무료,,,,,,,
195.0,박물관/기념관,서대문자연사박물관,서울특별시 서대문구 연희로32길 51,37.57675199,126.9378582, 02-330-8899,02-330-1736,https://namu.sdm.go.kr/site/main/home,3~10월 09:00~18:00 | 11~2월 09:00~17:00,"어린이(5세~12세) : 1,000원 / 청소년(13세~18세) : 2,000원 / 어른 : 3,000원 /  65세이상, 4세이하, 장애인 : 무료","1월 1일, 설날, 추석, 매주 월요일(월요일이 공휴일인 경우 그 다음날)",2003.07.10,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=b836d1af05ef46edaea157603ad39023&thumb=Y,"3월~10월 : 09:00~18:00 11월~2월 : 09:00~17:00 -토요일, 일요일, 공휴일은 1시간 연장 개관 -폐관시간 1시간 전까지 입장  서대문자연사박물관에서는 관람시설외에 다양한 활동을 하고 있습니다. 초등학생 대상으로 자연사 교육프로그램인 박물관교실, 체험교실, 박물관투어 등을 운영하고 있습니다.","<div style='text-align: center;' align='center'><span style='font-size: 14pt;'>서대문자연사박물관의 전시물들은 시간의 흐름에 따라 전시되어 있습니다.&nbsp;</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>46억 년 전의 지구의 탄생부터 현재 자연이 처해있는 위기와 인간과 자연의 조화로운 공생을 주제로 하여 3개의 전시관으로 구성.&nbsp;</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>3층 지구환경관은 지구의 탄생과 변천의 역사, 역동하는 지구내부, 지구를 구성하고 있는 여러 광물과 암석 등 지구에 대한 모든 것을&nbsp;</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>주제로 하며, 2층 생명진화관은 생명의 탄생과 진화를 주제로 생명의 기원, 중생대 공룡의 세계, 포유류의 전성기와 인류의 출현, 그리고&nbsp;</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>현재 지구상에서 살고 있는 다양한 생물의 세계를 다룹니다. 1층 인간과 자연관은 인간과 자연의 조화로운 공생을 주제로 하는 곳입니다.&nbsp;</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>우리 인간 가까이에 있는 동식물, 한강의 상?중?하류에 사는 물고기를 볼수 있는 수족관, 한국의 산림생태를 사실적으로 보여주는 디오라마&nbsp;</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>등으로 구성되었습니다. 이 외에 3층 공룡공원과 가상체험실, 시청각실, 열대어수족관, 교육실, 야외 공원 등의 시설물이 있습니다.</span></div>",유료,,,,,,,
205.0,기타,서울무용센터,서울 서대문구 명지2길 14,37.58305984,126.9278729,02-304-9100,02-304-9731,http://www.sfac.or.kr/html/artspace/dance_introduction.asp,,,"설(구정) 당일, 추석 당일",,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=f237935ed8c9497c8e844e09d2397ed6&thumb=Y,,"<ul class='listType dot red' style='margin: 0px; padding: 0px; text-align: left; text-indent: 0px;' malgun='' gothic',='' '맑은='' 고딕',='' 돋움,='' dotum,='' sans-serif;='' font-size:='' 14px;='' font-style:='' normal;='' font-weight:='' 400;='' word-spacing:='' 0px;='' white-space:='' box-sizing:='' border-box;='' orphans:='' 2;='' widows:='' font-variant-ligatures:='' font-variant-caps:='' -webkit-text-stroke-width:='' text-decoration-style:='' initial;='' text-decoration-color:='' initial;'=''><li style='list-style: none; margin: 0px; padding: 0px 0px 0px 8px; position: relative; box-sizing: border-box; font-size: 12pt;'></li><li style='list-style: none; margin: 0px; padding: 0px 0px 0px 8px; position: relative; box-sizing: border-box; font-size: 12pt; line-height: 1.8;'><font color='#333333'><span style='font-size: 12pt;'><b>&lt;무용예술의 가능성을 실험하는 무용예술 창작공간&gt;</b></span></font></li><li style='list-style: none; margin: 0px; padding: 0px 0px 0px 8px; position: relative; box-sizing: border-box; font-size: 12pt;'><font color='#333333'><span style='font-size: 12pt;'><br></span></font></li><li style='list-style: none; margin: 0px; padding: 0px 0px 0px 8px; position: relative; box-sizing: border-box; font-size: 12pt; line-height: 1.8;'><font color='#333333'><span style='font-size: 12pt;'>서울무용센터는 서부도로교통사업소 이전에 따른 유휴공간을 활용해 2011년 홍은예술창작센터로 개관했으며, 2016년 리모델링해 무용예술 창작공간으로 재개관 했습니다. 국내 유일한 무용 전용 레지던시 공간으로 무용예술 창작활동을 위한 인프라를 지원하며 예술가, 시민과 무용예술의 다양한 가능성을 실험하며 함께 손을 맞잡는 공간이 되고자 합니다. 스튜디오와 연습실, 호스텔, 커뮤니티룸 등의 공간으로 구성되어 있습니다.</span></font></li></ul>",무료,,,,,,,
263.0,문화예술회관,아트하우스 모모,서울특별시 서대문구 이화여대길 52,37.56446452,126.9502888,02-363-5333,,https://www.arthousemomo.co.kr/,,,정보없음,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000101283&thumb=Y,,"<div style='text-align: center;' align='center'><span style='font-size: 14pt;'>아트하우스 모모는 국내 최초의 예술영화전용관이었던 동숭씨네마텍, 이후 씨네큐브 광화문, 최초의 대학 내&nbsp;</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>상설영화관 아트하우스 모모에 이르기까지 우리나라 예술영화계의 선구자 역할을 해온 영화사 백두대간이 운영합니다.</span></div><div style='text-align: center;' align='center'><span style='font-size: 12px;'><br></span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>늘 그 자리에 있는, 변함없는, 위로가 될 수 있는 오랜 친구 같은 영화관이 되었으면 합니다.</span></div>",무료,,,,,,,
285.0,박물관/기념관,이화여자대학교 박물관,서울특별시 서대문구 이화여대길 52,37.56446452,126.9502888,02-3277-3152,,http://museum.ewha.ac.kr,"오전 9시 30분 ~오후 5시휴관: 일요일, 공휴일 및 여름ㆍ겨울방학",무료,"일요일, 공휴일 및 방학기간",,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=e4be0735624d4477ba8ca4224da3d3ef&thumb=Y,,"<div style='text-align: center;' align='center'><span style='font-size: 14pt;'>이화여자대학교 박물관은 1935년 일제 치하에서 우리 문화유산을 보존 하고자 교수와 학생들이 모은 민속품, 목공품, 도자기 등을 본관 1층에 진열, 전시한 것이 창설의 계기</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>가 되었다 . 그 뒤 한국전쟁으로 소장품 일체가 유실 되었고, 학교가 부산으로 피난하자 당시의 김활란 총장이 민족문화재의 유실과 해외유출을 막고, 전쟁중 우리나라를 찾는</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>외국인과 UN군에게 우리의 역사와 전통을 알리기 위하여 1952년 임시로 필승각(必勝閣)에 전시실을 꾸며 전통미술품을 전시하고 문화재 재수집을 계속하였다. 수복 후 본관</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>에 진열실을 마련하고 소장품 수집에 계속 진력하였으며, 1956년에는 김활란 박사와 이정애 여사와 사회유지들의 개인 소장품 수백점을 기증 받아 소장품이 더욱 풍부해졌고</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>, 1960년 체육관 동쪽 언덕에 미술관과 나란히 새로운 박물관 건물을 신축하여 1989년 11월까지 소장품을 상설전시하였다. 귀중한 문화재의 합리적인 관리와 박물관의 교육</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>기능을 강화하기 위하여 창립 100주년을 기념하여 현재의 박물관을 신축, 1990년 8월 7일에 개관하였다.</span></div>",무료,,,,,,,
391.0,기타,연희문학창작촌,서울 서대문구 증가로2길 6-7,37.57167312,126.9309538,02-324-4600,02-324-4624,https://www.sfac.or.kr/artspace/artspace/yeonhui_main.do,,,공휴일,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=114556349bb44c64af28ee5331b57ee2&thumb=Y,,"<p style='line-height: 1.8;'><span style='font-size: 12pt;'>연희문학창작촌은 서울시에서 조성하고 서울문화재단에서 운영하고 있는 서울시 최초의 문학 전문 창작공간으로, 서울시 시사편찬위원회 자리를 리모델링하여 2009년 11월 5일에 개관하였습니다. 작가에게는 작품 집필을 위한 최적의 창작 환경을 조성하고 있으며, 시민에게는 문학을 가까이할 수 있는 최상의 기회를 제공하고자 합니다.</span><br></p>",무료,,,,,,,
434.0,박물관/기념관,이화여자대학교 자연사박물관,서울특별시 서대문구 이화여대길 52,37.56446452,126.9502888,02-3277-4700,,http://cms.ewha.ac.kr/user/indexMain.action?siteId=nhm,10:00~16:00,무료,"일요일, 공휴일 휴관",,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100178&thumb=Y,,"<div style='text-align: center;' align='center'><span style='font-size: 14pt;'>연건축면적 1,980㎡에 57,000여 점의 유물을 소장한 국내 최초의 자연사박물관이다. 대학에서 소장하고 있는 생물과학?지구과학 관련학과의 자료 1,200종 2,000여 점을 진열</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>해놓았다. 1969년 11월 20일 개관하여 1973년 12월 연면적 462㎡의 미술관 4층 전시실로 옮겼으며, 1997년 3월 자연사연구소를 세우고 같은 해 5월 29일 새로 지은 자연사</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>박물관으로 옮겼다. 소장품은 주로 동물?식물?지구과학 표본으로, 천연기념물, 국제보호조, 특산종, 희귀종, 신종 표본 등 희귀품이 많다. 종류별로는 광물 82종 604점, 암석</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>151종 949점, 화석 183종 556점, 식물 1,205종 7,404점, 무척추동물 2,626종 43,051점, 척추동물 723종 4,910점으로 총 4,970종 57,474점에 이른다. 박물관은 상설전시실?기</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>획전시실?디오라마실을 비롯하여 각각 지질표본실?액침표본실?건조표본실로 쓰이는 3개의 수장고, 자연사연구소 등으로 이루어져 있다. 상설전시실은 식물?곤충?무척추?척추?</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>지구 코너로 나뉜다. 이 중 식물코너에는 해조류를 포함한 각종 식물표본이 생태 사진 및 모형과 함께 전시되어 있고, 곤충코너에는 곤충표본이 계통에 따라 설명 패널과 함</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>께 전시되어 있다. 무척추코너에는 원생동물에서 척색동물에 이르는 각 동물군의 표본이 전시되어 있다. 표본은 건조 또는 액침 상태로 전시되며, 바닷속의 희귀한 표본과 여</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>러 가지 현상을 설명하는 패널도 있다. 또 척추코너에는 어류?파충류?양서류?조류 표본이 특징을 적은 패널과 함께 전시되어 있고, 지구코너에는 광물?암석?화석 등이 주제에</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>따라 전시되어 있다. 독립장에 운석과 대륙이동설, 공룡의 일대기, 보석 등을 다룬 전시물이 있고, 영상물로 천체에 대한 다큐멘터리를 감상할 수 있다. 이밖에 디오라마실에</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>는 동식물들의 생태 특성이 서식지에 따라 전시되어 있으며, 1층 홀에는 암모나이트와 벨렘나이트류 화석 2점이 전시되어 있다.</span></div>",무료,,,,,,,
463.0,공연장,금호아트홀 연세,서울 서대문구 연세로 50 연세대학교 백양누리 지하 1층 금호아트홀 연세,37.56605084,126.9439162,02-6303-1977,,http://www.kumhoarthall.com,,행사별로 정함(홈페이지 참조),정보없음,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=9402bdf2916b4f58a59d1f863359582c&thumb=Y,,"<span style='font-size: 12pt;'>금호 아트홀은 실내악 및 독주에 더할 나위 없이 적합한 연주장으로 평가 받고 있으며 매주 5회 이상의 독주 및 실내악 연주 무대를 위한 대관공연이 열려 1년 365 음악이 멈추지 않는 클래식의 전당으로 자리잡아 왔다. 금호아트홀의 대표적인 공연 시리즈인 '아름다운 목요일' 시리즈는 1997년 6월 고 문호 박성용 금호아시아나 문화재단 이사장이 설립한 '금호 갤러리 콘서트'를 시작으로 '금요 스페셜 시리즈'를 거쳐 2007년 시리즈 10주년을 기념하여 '아름다운 목요일 시리즈'로 거듭났다. 시리즈 설립 이래 지난 10여년 동안 매주마다 한차례도 거르지 않고 공연이 열려 온 '아름다운 목요일 시리즈' 에서는 국내외의 뛰어난 연주자들을 초청하여 소개하여 연주자들에게는 연주의 장을, 청중들에게는 문화향유의 장으로 역할하고 있다. '아름다운 목요일' 시리즈에서는 강동석, 김대진, 김정자, 백혜선, 정경화, 정명화와 같은 한국의 대표급 연주자 뿐 아니라. 외르크 데무스, 하인츠 홀리거, 이고르 오짐, 미리암 프리드, 매튜 발리 등 해외 거장 연주자들이 무대에서 아름다운 클래식의 선율을 선사해오고 있다.</span>",유료,,,,,,,
477.0,박물관/기념관,연세대학교신촌캠퍼스박물관,서울특별시 서대문구 연세로 50,37.56605084,126.9439162,02-2123-3340,,https://museum.yonsei.ac.kr/museum/index.do,"오전 10시 ~ 오후 5시(입장은 4시 30분)휴관: 공휴일 및 토ㆍ일요일, 여름ㆍ겨울방학",무료,일요일 및 공휴일,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=60b200f39d7047389f35ec78855e93c6&thumb=Y,,"<div style='text-align: center;' align='center'><span style='font-size: 14pt;'>오랜 역사와 전통을 자랑하는 연세대학교 중앙박물관은 1924년에 개관, 우리나라 대학박물관의 효시라는 점에서 그 역사적 의의를 가지고 있다. 또한 한국의 전통문화와 이</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>에 연관된 여러 지역의 문화자원까지도 개발/수집/연구하고 이를 보존 전시하여 교육과 연구에 활용하고 있다. 1988년 5월에는 100주년 기념관의 준공으로 이곳에 선사ㆍ역</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>사ㆍ미술ㆍ민속ㆍ질그릇ㆍ전각ㆍ학교사ㆍ지질ㆍ동식물 등의 9개 상설전시실과 특별기획전시실, 야외전시장을 갖춤으로서 대학박물관으로서는 처음으로 종합박물관의 기능</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>을 갖추게 되었다.</span></div>",무료,,,,,,,
