,전시회,음악 및 무용발표회,박물관,전통예술공연,연극공연,영화관람,대중공연,운동경기
강남구,inf,inf,49009.200000000004,inf,37982.13,5639.414794520548,75964.26,39207.36
강동구,inf,inf,9782.91,inf,inf,38902.8,28833.840000000004,inf
강북구,inf,inf,1430.75,inf,inf,9197.67857142857,5723.0,17169.0
강서구,inf,inf,5480.2,inf,inf,6967.682857142857,5480.2,38361.4
관악구,inf,2863.38,5726.76,inf,inf,5926.530697674419,4581.408,42950.7
광진구,inf,8523.45,5966.415000000001,3409.38,inf,4150.549565217391,2841.15,34093.8
구로구,inf,2761.455,7363.88,12886.79,14727.76,2675.828488372093,1840.97,46024.25
금천구,inf,909.1725,1212.23,1212.23,7273.38,1104.209504950495,404.07666666666665,6061.150000000001
노원구,inf,1637.7675,1637.7675,13102.14,10918.449999999999,2505.873770491803,3882.1155555555556,56775.94
도봉구,inf,0.0,1041.3675,0.0,3702.64,1704.491172413793,277.698,2776.98
동대문구,33041.57,1739.03,3478.06,6956.12,7390.8775000000005,1430.3264497041419,1605.2584615384617,29563.510000000002
동작구,16889.579999999998,938.3100000000001,6568.170000000001,1876.6200000000001,6568.170000000001,1876.62,1474.4871428571428,26272.680000000004
마포구,19981.61,4995.4025,9536.6775,12715.570000000002,6660.536666666667,1450.0211403508772,1475.914375,49045.770000000004
서대문구,13258.08,736.5600000000001,2577.96,4419.36,3577.577142857143,931.6173913043478,1196.91,20623.68
서초구,10227.84,2130.8,4091.136,8523.2,7670.88,950.772805280528,1385.02,18751.04
성동구,6661.650000000001,3663.9075,3464.058,13323.300000000001,5995.485,897.6979573170731,582.8943750000001,25314.27
성북구,inf,inf,inf,5921.13,25658.23,10568.898709677418,14802.824999999999,15789.68
송파구,40233.200000000004,3592.25,9339.85,11495.2,7982.777777777777,1358.807608695652,1815.0315789473684,17242.8
양천구,56010.49,8582.2525,23714.11875,28908.64,6022.633333333333,947.747726098191,1996.9784210526313,34329.01
영등포구,44174.72,6722.240000000001,4081.36,7682.56,5548.515555555556,772.0219607843136,1819.5536842105262,59539.84
용산구,17711.79,520.9350000000001,2474.44125,4167.4800000000005,764.038,315.0909271523179,347.2900000000001,26046.75
은평구,17307.6,2704.3125,1622.5874999999999,4326.9,3317.29,695.3946428571428,824.1714285714285,47595.9
종로구,6515.46,1158.304,884.8155555555555,361.97,868.7280000000001,300.1984051036683,34.473333333333336,723.94
중구,inf,inf,5548.205000000001,inf,2175.766666666667,1603.19649122807,1958.1899999999998,inf
중랑구,24526.32,1257.76,2263.968,943.32,943.3199999999999,444.2637362637363,449.20000000000005,11319.84
