번호,주제분류,문화시설명,문화시설주소,위도,경도,전화번호,팩스번호,홈페이지,관람시간,관람료,휴관일,개관일자,객석수,대표이미지,기타사항,시설소개,무료구분,지하철,버스정거장,YELLOW,GREEN,BLUE,RED,공항버스
122.0,미술관,아르코미술관,서울특별시 종로구 동숭길 3,37.58050229,127.0032562,02-760-4850,,http://www.arkoartcenter.or.kr/,11:00~20:00,일반 2000원 청소년 1000원,"월요일, 설, 추석",,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100402&thumb=Y,,"<span style='font-size: 12pt;'>문예진흥원은 1979년 5월 미술회관을 개관한 이후, 2002년 3월 26일 전시공간과 교육공간으로 새롭게 단장한 '문예진흥원 마로니에미술관'을 개관하였다. 우리 미술을 해외에 소개하는 CD-ROM 자료를 제작, 배포하고 있으며, 한국미술사에 사료적 가치를 지닌 300여점의 작품을 소장 관리하고 있다.</span>",유료,,,,,,,
18.0,미술관,김영옥 미술관,서울특별시 종로구 창의문로10길 11,37.59387811,126.9642539,02-391-1218,,www.magmasup.com,,,없음,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000101553&thumb=Y,,,무료,,,,,,,
29.0,미술관,리움미술관,서울특별시 용산구 이태원로55길 60-16,37.53846127,126.9992941,02-2014-6900,,http://leeum.samsungfoundation.org,,,"매주 월요일, 1월 1일, 설날(음력) 및 추석 당일",,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=046cf915fb774cf78dbe330db84d63f4&thumb=Y,,"<div style='text-align: center;' align='center'><span style='font-size: 14pt;'>1965년 삼성문화재단 설립 이후 소중한 문화 유산을 보전하고 대중에게 알리고자 노력해온 삼성미술관은 2004년 서울 한남동에 미술관 건물을 신축하면서 삼성미술관 Leeum을 개관했습니다. 수준 높은 소장품 전시 및 기획전시 개최 등 그간의 괄목할만한 활동과 성과로 지금 리움은 명실공히 한국을 대표하는 미술관으로 성장하였습니다.</span></div><div style='text-align: center;' align='center'><span style='font-size: 12px;'><br></span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>Leeum은 설립자의 영문 성 'Lee'와 미술관[Museum]의 'um'이 조합된 이름입니다. 2004년 개관 당시 리움의 MI 디자인을 맡은 마고 퍼먼(Margot Perman)은 고대 로마시대의 비문에 쓰인 문자를 현대적으로 변형하여 대소문자의 높이가 같은 독특한 로고를 만들었습니다. 로고의 중심을 가로지르는 타임라인 모티프는 고미술에서 현대미술로, 또 미래를 향해 나아가는 삼성미술관 Leeum의 성격을 상징합니다.</span></div>",무료,,,,,,,
31.0,미술관,한미사진미술관,서울특별시 송파구 위례성대로 14,37.51659259,127.1139562,02-418-1315,,http://www.photomuseum.or.kr/,평일 10:00~19:00,전시에 따라 변동,전시에 따라 변동,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100241&thumb=Y,,<span style='font-size: 14pt;'>한미사진미술관은 한미문화예술재단이 설립한 국내최초의 사진전문미술관이다. 한미문화예술재단은 지난 2002년 4월에 우수 의약품 개발을 통해 국민건강에 이바지해 온 (주)한미약품이 문화예술의 대중화와 적극적인 활동의 지원 및 활성화를 위해 창립한 공익문화예술재단으로 한미사진미술관을 통해 실질적인 재단 사업을 펼치고 있다.  21세기 문화예술의 대표적인 시각매체라 할 수 있는 사진을 통해 한미사진미술관은 사진예술의 발전과 일반대중의 사진문화교육을 위해 끊임없는 노력으로 앞으로도 최선을 다할 것이다.</span>,유료,,,,,,,
174.0,미술관,갤러리 라메르,서울특별시 종로구 인사동5길 26 홍익빌딩,37.57258198,126.9848681,02-730-5454,,http://www.gallerylamer.com/,10:00~18:30,,연중무휴,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100468&thumb=Y,,"<span style='font-size: 12pt;'>갤러리 라메르는 사설갤러리로서는 최대규모의 갤러리(총 240평)로 한국 미술문화의 중심지인 인사동에 2001년 개관하였다. 다양하고 새로운 현대미술의 흐름을 관람할 수 있는 5개의 전시관과 고미술상설전시장, 미술잡지사, 헬스시설 등을 갖추고 있는 복합문화공간이다.</span>",유료,,,,,,,
45.0,미술관,가람화랑,서울특별시 종로구 인사동10길 11,37.57428279,126.9856136,0507-1332-6170,,http://www.garamgallery.co.kr/,오전 10:00 ~ 오후 6:00,없음,월요일 및 공휴일 (기획?초대전의 전시기간 중 휴무없음),,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=bffc7c7c0eb74673980df6969ff0f329&thumb=Y,■ 주차공간없음(화랑 옆 유료주차장 이용),"<span style='font-size: 14pt;'>일반 대중이 쉽게 미술관 문화에 접근하도록 심혈을 기울이고 있는 이곳은 직장인과 중산층 컬렉터들이 가장 편하게 드나들 수 있는 평범함을 갖고 있다. 한만영, 정광호, 김찬일, 김인승, 김종학 등의 작품이 상설전시되어 있다.</span>",무료,,,,,,,
58.0,미술관,국립현대미술관,서울특별시 중구 세종대로 99,37.56608683,126.9737258,02-2022-0600,02-2022-0644,http://www.moca.go.kr,화~목 : 오전 9시~오후 7시  금~일 : 오전 9시~오후 8시30분,,매주 월요일,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100698&thumb=Y,,"■ 어린이 놀이방<br>  <br>  &nbsp;미취학 어린이(3-7세)를 동반한 관람객이 이용할 수 있으며, 각종 놀이기구와<br>  &nbsp;VTR 그리고 유아용침대 등이 갖추어져 있다. <br>  <br>  &nbsp;&nbsp;&nbsp;&nbsp; - 위치 : 1층 주현관 좌측 <br>  &nbsp;&nbsp;&nbsp;&nbsp; - 문의전화 : 02)2188-6024<br>  <br>  ■ 뮤지엄샵(한국아트체인)<br>  <br>  &nbsp; 관람자들을 위해 전시 관련 도서 및 기념품, 국내외 아트포스터, 생활공예품 등 <br>  &nbsp; 다양한 미술문화 상품 판매(온라인상품구매). <br>  &nbsp; (<a title='새 창으로 이동' href='http://www.artshopkorea.co.kr' target='_blank'>http://www.artshopkorea.co.kr</a>)<br>  <br>  &nbsp;&nbsp;&nbsp;&nbsp; - 위치 : 1층 주현관 우측&nbsp; <br>  &nbsp;&nbsp;&nbsp;&nbsp; - 이용시간 : 하절기(3월~10월), 동절기(11월~2월)&nbsp;<br>  &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;- 하절기 : 10:00 ~ 18:00, 토?일요일 10:00 ~ 21:00<br>  &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; - 동절기 : 10:00 ~ 17:00, 토?일요일 10:00 ~ 20:00<br>  &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; - 문의전화 : 02)2188-6223<br>  <br>  ■ 식당<br>   <p>&nbsp;&nbsp;&nbsp;&nbsp; - 위치 : 다다익선 옆 왼쪽 계단 아래쪽 (운영 업체:(주)동원 홈 푸드)<br>  &nbsp;&nbsp;&nbsp;&nbsp; - 이용시간 : 오전 11시 30분 - 2시 <br>  &nbsp;&nbsp;&nbsp;&nbsp; - 단체 예약 가능.(월요일은 운영하지 않음)<br>  &nbsp;&nbsp;&nbsp;&nbsp; - 문의전화 : 02-2188-6225, 504-3932, 010-5165-3937<br>  <br>  ■ 카페테리아<br>  <br>  &nbsp; 커피, 쥬스 등 음료. 파스타, 피자 등 식사류 </p> <p class='txt'>&nbsp;&nbsp;&nbsp;&nbsp; - 위치 : 1층 다다익선 뒤 <br>  &nbsp;&nbsp;&nbsp;&nbsp; - 이용시간 : 하절기(3월~10월), 동절기(11월~2월)&nbsp;<br>  &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;- 하절기 : 10:00 ~ 18:00, 토?일요일 10:00 ~ 21:00.<br>  &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; - 동절기 : 10:00 ~ 17:00, 토?일요일 10:00 ~ 20:00<br>  &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; - 문의전화 : 02-2188-6224</p> <p>■ 야외매점(솔바람뜰)<br>  &nbsp; 차와 음료, 간단한 간식류&nbsp;<br>  &nbsp;&nbsp;&nbsp;&nbsp;&nbsp; <br>  &nbsp;&nbsp;&nbsp;&nbsp; -&nbsp;위치 : 야외조각장 옆(솔바람뜰) <br>  &nbsp;&nbsp;&nbsp;&nbsp; - 이용시간 : 하절기(3월~10월), 동절기(11월~2월)&nbsp;<br>  &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;- 하절기 : 10:00 ~ 18:00, 토?일요일 10:00 ~ 21:00<br>  &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; - 동절기 : 10:00 ~ 17:00, 토?일요일 10:00 ~ 20:00</p><p><br></p><p>2023.08.30. 국립현대미술관 덕수궁과 내용 중복으로 미공개 처리</p> <p><!-- ++++++++++++++++++++++++++++++++++ e : Contents ++++++++++++++++++++++++++++++++++ --><br>  </p>",무료,,,,,,,
60.0,미술관,국립현대미술관 서울,서울특별시 종로구 삼청로 30,37.57862803,126.980088,02-3701-9500,02-3701-9529,http://www.mmca.go.kr,"화, 목, 금, 일 10:00 ~ 18:00, 수, 토 10:00 ~ 21:00(야간개장 오후 6~9시 무료관람)","통합입장권 4,000원",1월 1일,2013년 11월 13일,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=5c8fe38cb24f4b17b45f4b520ed6a139&thumb=Y,,"<div><span style='font-size: 14pt;'>국립현대미술관 서울관은 민현준 건축가에 의해 설계되어 '문화의 거리' 삼청로에 2013년 11월 개관하였습니다. 서울관 부지는 조선시대 소격서, 종친부, 규장각, 사간원이 있던 자리로서 한국 전쟁 후에는 국군수도통합병원, 기무사 등이 위치했던 역사적 유래를 가진 정치, 문화의 중심지입니다.</span></div><div><span style='font-size: 12px;'><br></span></div><div><span style='font-size: 14pt;'>국립현대미술관 서울관은 전시동 및 교육동을 비롯하여 디지털정보실, 멀티프로젝트홀, 영화관 등 다양한 시설을 갖춘 복합문화예술센터입니다. 현대미술의 흐름을 한 눈에 볼 수 있는 다채로운 전시와 영화, 공연, 교육 등을 통해 다양한 장르의 문화예술을 만나보실 수 있습니다. 또한 마당으로 둘러싸인 서울관은 옛 기무사 건물과 종친부가 조화를 이루고, 멀리 겸재 정선의 인왕제색도 안에 담긴 인왕산의 모습도 감상하실 수 있습니다.</span></div><div><span style='font-size: 12px;'><br></span></div><div><span style='font-size: 14pt;'>어렵게만 느껴졌던 동시대 현대미술을 누구나 즐길 수 있는 곳, 국립현대미술관 서울관에서 문화예술 향유의 즐거움을 느껴보시기 바랍니다.</span></div><div><span style='font-size: 12px;'><br></span></div><div><span style='font-size: 12px;'><br></span></div><div><span style='font-size: 12px;'><br></span></div><div><span style='font-size: 14pt;'>□<b> 문화시설</b></span></div><div><span style='font-size: 14pt;'>- 디지털 정보실</span></div><div><span style='font-size: 14pt;'>서울관 디지털정보실은 디지털도서관과 디지털아카이브로 구성되어 있습니다. 디지털도서관에는 미술 관 출판물, 현대미술 관련 단행본 및 전시도록, 연속간행물, 전자책, 웹DB 등이 소장되어 있으며, 디지털아카이브에는 국립현대미술관의 발자취를 더듬어보는 상설전시 및 특별전시가 마련되어 있습니다.</span></div><div><span style='font-size: 14pt;'>- 멀티프로젝트홀</span></div><div><span style='font-size: 14pt;'>다원예술, 전시, 퍼포먼스, 교육 등 다채로운 문화예술 행사가 펼쳐지는 공간입니다. 여러 장르가 융복합 되는 현대미술의 다양한 예술적 표현이 가능하도록 하였습니다.</span></div><div><span style='font-size: 14pt;'>- 영화관</span></div><div><span style='font-size: 14pt;'>총 120여석 규모의 국립현대미술관 서울관 영화관에서는 예술영화, 실험영화, 국제영화제 등 다양한 프로그램이 진행되고 있습니다.</span></div><div><span style='font-size: 12px;'><br></span></div><div><span style='font-size: 14pt;'>□ <b>편의시설</b></span></div><div><span style='font-size: 14pt;'>- 아트존</span></div><div><span style='font-size: 14pt;'>서울관 1층 아트존에서는 조각, 사진, 드로잉, 판화, 공예(도예, 장신구, 섬유, 금속 등)와 디자인 상품 및 디자인 가구 등 총 500여종 이상의 오리지널 작품이 전시, 판매되고 있습니다. 그 외에도 다양한 아트상품과 문화 기념품을 만나보실 수 있습니다.</span></div><div><span style='font-size: 14pt;'>- 카페테리아</span></div><div><span style='font-size: 14pt;'>전시장 내부에 위치한 휴게공간으로, 미술관 이미지에 부합하는 특화된 샐러드, 파스타, 파니니 등의 메뉴를 제공합니다.</span></div><div><span style='font-size: 14pt;'>- 푸드코트</span></div><div><span style='font-size: 14pt;'>합리적인 가격에 누구나 즐길 수 있는 비빔밥, 불고기, 육개장 등 다양한 메뉴의 식음료가 준비되어 있습니다.</span></div><div><span style='font-size: 14pt;'>- 북카페 오설록</span></div><div><span style='font-size: 14pt;'>서울관 외부 마당과 아름다운 삼청동 길이 훤히 보이는 탁 트인 전망을 자랑하는 복합 차 문화 공간입니다.</span></div><div><span style='font-size: 12px;'><br></span></div><div><span style='font-size: 14pt;'>□<b> 위치안내</b></span></div><div><span style='font-size: 14pt;'>지하철 3호선 : 안국역 1번 출구 광화문 방향</span></div><div><span style='font-size: 14pt;'>지하철 5호선 : 광화문역 2번 출구 삼청로 방향</span></div>",유료,,,,,,,
824.0,미술관,예술의전당 서울서예박물관,서울특별시 서초구 남부순환로 2406,37.4802402,127.0142152,02-580-1300,,https://www.sac.or.kr,,전시별 상이,매주 월요일,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=52e982b36306456e9eabe01e6554902f&thumb=Y,,<p>서예 작품 다수<br></p>,유료,,,,,,,
70.0,미술관,서울시립 남서울미술관,서울특별시 관악구 남부순환로 2076,37.47605354,126.9794659,02-2124-8800,,https://sema.seoul.go.kr/,평일(화~금) 오전 10시 ~ 오후 8시 (관람 종료 1시간 전까지 입장)<br>토 ? 일 ? 공휴일 오전 10시~오후 6시,무료,"1월 1일 , 매주 월요일<br>월요일이 공휴일인 경우 정상 개관",,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=0456ff55c6324143aba768e734c366de&thumb=Y,-,"<div style='text-align: left;' align='left'><span style='font-size: 14pt;'>남서울미술관은 역사의 정취가 가득한, 오래 머물고 싶은 미술관입니다.</span></div><div style='text-align: left;' align='left'><span style='font-size: 12px;'><br></span></div><div style='text-align: left;' align='left'><span style='font-size: 14pt;'>미술관이 둥지를 튼 이곳은 대한제국(1897~1910) 시절 벨기에 영사관으로 사용된 건물(사적 제254호)로, 1905년 회현동에 준공되어 1983년 지금의 남현동으로 옮겨졌습니다.</span></div><div style='text-align: left;' align='left'><span style='font-size: 14pt;'>길게 뻗은 복도를 중심으로 양옆으로 자유롭게 배열된 두 개 층의 방들에서는 다양한 층위의 관람객에 특화된 공공 프로그램을 소개합니다.</span></div>",무료,,,,,,,
