번호,주제분류,문화시설명,문화시설주소,위도,경도,전화번호,팩스번호,홈페이지,관람시간,관람료,휴관일,개관일자,객석수,대표이미지,기타사항,시설소개,무료구분,지하철,버스정거장,YELLOW,GREEN,BLUE,RED,공항버스
9.0,박물관/기념관,세종대왕기념관,서울특별시 동대문구 회기로 56,37.59099289,127.0427032,02-969-8851,,http://sejongkorea.org/main/main.html,09:00 ~ 18:00,"대인 1,800원/ 소인 1,200원","매주 월요일, 설날, 추석, 신정",,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100154&thumb=Y,,"<div style='text-align: center;' align='center'><span style='font-size: 14pt;'>고세종대왕의 성덕과 위업을 추모하고 보존하기 위해 1970년 세종대왕기념사업회에서 준공하였다.&nbsp;</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>전시관은 한글실, 과학실, 국악실, 일대기실로 구성된다.&nbsp;</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>&lt;한글실&gt;은 세종대왕 당시 펴낸 도서류를, &lt;과학실&gt;은 과학 관계자료(금속활자 판자기, 수표측우기 등)를 전시하고 있으며,&nbsp;</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>&lt;국악실&gt;은 국악악기류를 전시하고 있다. &lt;일대기실&gt;은 김학수선생께서 수년동안 그린 '세종대왕 일대기 그림' 14폭이&nbsp;</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>전시되어 있어 세종대왕의 치덕을 살펴 볼 수 있다.</span></div>",유료,,,,,,,
14.0,박물관/기념관,용산도시기억전시관,"한강로3가 64-1 , 용산센트럴파크 해링턴스퀘어 공공시설동 1,2층",37.52686633,126.9668797,02-3785-2590,,https://blog.naver.com/yongsanpark_gallery,,,"일, 월, 공휴일",,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000101551&thumb=Y,,<!&#45;&#45;startfragment&#45;&#45;><p class='0'><span><span>층 전시관은 용산도시변천사와 용산참사 등 용산기지 관련 수집자료를 활용한 콘텐츠로 구성되고</span><span lang='EN-US'><span lang='EN-US'><font size='3'> 2<span></span></font></span><font size='2'></font></span></span></p><p class='0'><br />  </p>,무료,,,,,,,
16.0,박물관/기념관,서울생활사박물관,서울특별시 노원구 동일로174길 27,37.62017392,127.0769362,02-3399-2900,,https://museum.seoul.go.kr/sulm/index.do,09:00 ~ 18:00 (입장마감 : 17:30),,"공휴일을 제외한 매주 월요일, 1월 1일<br>* 월요일이「관공서의 공휴일에 관한 규정」제2조에 따른 공휴일일 때에는 휴관하지 아니함",,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=171a2e8550b5489bbf20fc511d1935e2&thumb=Y,"은행알 추첨기, 브라더 재봉틀, 밤섬에서 사용하였던 배 제작 도구 등 1,519점","<div><span style='font-size: 14pt;'>2019년 7월에 개관한 서울생활사박물관은 과거 서울북부지방법원과 서울북부지방검찰청이 있던 북부법조단지였습니다.</span></div><div><span style='font-size: 14pt;'>2010년, 북부법조단지가 이전함에 따라 해당공간이 유휴지가 됐습니다. 이에 서울시는 도시재생 사업의 일환으로, 구 북부법조단지 공간을 리모델링 하였습니다.</span></div><div><span style='font-size: 12px;'><br></span></div><div><span style='font-size: 14pt;'>청사 이전으로 인한 유휴 공간을 활용함과 동시에 북부법조단지라는 사법적 권위를 상징하는 공간을 시민들에게 돌려주고, 시민이 중심이 되어 함께 전시를 만들고 교육프로그램을 운영할 것입니다.</span></div><div><span style='font-size: 14pt;'>기억과 감성을 담은 근현대 생활사 박물관으로써, 시민들이 소통하고 교감하는 동북부 복합문화공간의 중심이 될 것입니다.</span></div>",무료,,,,,,,
17.0,박물관/기념관,공평도시유적전시관,서울특별시 종로구 우정국로 26,37.57168081,126.9835303,02-724-0215,,https://museum.seoul.go.kr/www/intro/annexIntro/annex_gongpyeong/annex_gongpyeong_01.jsp?sso=ok,,,정보없음,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000101548&thumb=Y,,"<h4 class='tit2'>운영 개요</h4><ul class='bul_dot'><li>대상 : <b>제한 없음(어린이 및 노약자 방문시 보호자 동반 필수)</b></li><li>해설정원	 <ul class='bul_hyphen'><li><b>개인 : 각 회차별 15명 정원</b></li><li><b>단체 : 30명 정원</b>		 <p class='desc_info'><span style='color:>※ 단체 해설 예약은 사전 협의 후진행 바랍니다.(</span><font color=' #b22222'=''>☎02-724-0215, 0135)</span></p></li></ul></li><li>장소 : 센트로폴리스 빌딩 지하1층 공평도시유적전시관 입구 안내데스크 앞</li><li>전시 해설 일정	 <ul class='bul_hyphen'><li><b>한국어 정기해설 : 약 50분 해설</b></li><li><span style='color:>영어, 일본어 전시 해설 가능하오니 원하시는 개인, 단체는 안내데스크에 신청</span>하여 주시기 바랍니다. (안내데스크 ☎02-724-0135)		 <p class=' desc_info'=''>※ 외국어 해설은 당일 전시관 사정에 따라 안내 할 수 없는 언어가 있을 수 있으니 <u>반드시 안내데스크에 일정, 시간 등 확인하시고 신청</u>바랍니다.<p></p></span></li></ul></li></ul>",무료,,,,,,,
41.0,박물관/기념관,한성백제박물관,서울특별시 송파구 위례성대로 71,37.51543881,127.1208894,02-2152-5800,,https://baekjemuseum.seoul.go.kr,"평일 : 오전 9시~오후 7시<br>토, 일, 공휴일 : 오전 9시~오후 7시(단,11~2월 : 오전 9시~오후 6시)",무료,"매주 월요일, 1월 1일, 시장이 정하는 휴관일(관장에게 위임)<br>단, 월요일이 공휴일인 경우 휴관하지 않음",2012년 04월 30일,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=4cdc3af32d864221b0c5f90cfbcf332f&thumb=Y,"풍납토성 출토 시유도기옹 등 57,057점","<p class='HStyle0' style='margin-right: 8.1pt; line-height: 1.8;'><span style='font-family: ' 신명='' 신명조,한컴돋움';='' font-size:='' 12pt;'=''>한성백제박물관은 ‘2천년 역사도시 서울’의 고대 문화를 복원?조명하는 시립박물관이며, 2012년 4월 개관하였다. 서울을 5백년간 왕도로 삼았던 백제를 중심으로 구석기시대부터 통일신라시대까지 서울지역과 한강유역의 역사？문화를 다루고 있으며, 5개 부서가 전시, 유물수집, 교육?문화행사, 발굴조사, 학술회의 및 학술서 발간 등의 업무를 수행하고 있다.</span></p><p style='line-height: 1.8;'>  </p><p class='HStyle0' style='margin-right: 8.1pt; line-height: 1.8;'><span style='font-family: ' 신명='' 신명조,한컴돋움';='' font-size:='' 12pt;'=''>박물관 건물은 백제의 </span><span style='font-family: ' 신명='' 신명조,한컴돋움';='' font-size:='' 12pt;'=''>왕</span><span style='font-family: ' 신명='' 신명조,한컴돋움';='' font-size:='' 12pt;'=''>성이었던 풍납동토성 및 몽촌토성의 이미지를 반영하면서 주변 환경과 조화를 </span><span style='font-family: ' 신명='' 신명조,한컴돋움';='' font-size:='' 12pt;'=''>이루어</span><span style='font-family: ' 신명='' 신명조,한컴돋움';='' font-size:='' 12pt;'=''> 2012년 한국건축문화대상 우수상, 서울시 건축상 최우수상 등을 수상하였다.&nbsp;&nbsp; </span></p><p style='line-height: 1.8;'>  </p><p class='HStyle0' style='margin-right: 8.1pt; line-height: 1.8;'><span style='font-family: ' 신명='' 신명조,한컴돋움';='' font-size:='' 12pt;'=''>전시실은 상설전시실과 특별전시실로 나</span><span style='font-family: ' 신명='' 신명조,한컴돋움';='' font-size:='' 12pt;'=''>뉘는데,</span><span style='font-family: ' 신명='' 신명조,한컴돋움';='' font-size:='' 12pt;'=''> 상설전시는 로비 및 </span><span style='font-family: ' 신명='' 신명조,한컴돋움';='' font-size:='' 12pt;'=''>제1전시실(선사), 제2전시실(백제), 제3전시실(고구려？신라)로 구분하며</span><span style='font-family: ' 신명='' 신명조,한컴돋움';='' font-size:='' 12pt;'=''>, 특별전시는 1년에 4회 계절별로 개최한다.</span><span style='font-family: ' 신명='' 신명조,한컴돋움';='' font-size:='' 12pt;'=''> 로</span><span style='font-family: ' 신명='' 신명조,한컴돋움';='' font-size:='' 12pt;'=''>비에는 너비 43m, 높이 11m 크기의 풍납동토성 성벽 자름면을 전시하여 판축법(版築法), 부엽법(敷葉法) 등 성벽 축조 공법을 소개하고 있다. </span></p><p style='line-height: 1.8;'>  </p><p class='HStyle0' style='margin-right: 8.1pt; line-height: 1.8;'><span style='font-family: ' 신명='' 신명조,한컴돋움';='' font-size:='' 12pt;'=''>이밖에 별도로 운영하는 &lt;백제 3D 여행관&gt;에서는 “유린, 백제로 가다？칠지도를 완성하라-”, “담지의 모험- 해상왕국 백제-” 등 2편의 입체영상을 교대로 상영하여 어린이들의 호응을 얻고 있다. </span></p><p style='line-height: 1.8;'>  </p><p class='HStyle0' style='margin-right: 8.1pt; line-height: 1.8;'><span style='font-family: ' 신명='' 신명조,한컴돋움';='' font-size:='' 12pt;'=''>교육동에서는 어린이?청소년?가족 대상 체험교육을 운영하며, </span><span style='font-family: ' 신명='' 신명조,한컴돋움';='' font-size:='' 12pt;'=''>전</span><span style='font-family: ' 신명='' 신명조,한컴돋움';='' font-size:='' 12pt;'=''>통놀이, 영화 상영, 음악회 등 다양한 문화행사를 정기적으로 개최한다. 학술행사는 3백석 규모의 강당에서 연중 개최한다. 박물관 소속 고고학 발굴조사단이 있어서 백제의 왕성구역인 몽촌토성과 왕릉구역인 석촌동고분군을 </span><span style='font-family: ' 신명='' 신명조,한컴돋움';='' font-size:='' 12pt;'=''>연중</span><span style='font-family: ' 신명='' 신명조,한컴돋움';='' font-size:='' 12pt;'=''> 발굴조사</span><span style='font-family: ' 신명='' 신명조,한컴돋움';='' font-size:='' 12pt;'=''>하며 현장을 시민에게 공개</span><span style='font-family: ' 신명='' 신명조,한컴돋움';='' font-size:='' 12pt;'=''>하고 있다. </span><span style='font-family: ' 신명='' 신명조,한컴돋움';='' font-size:='' 12pt;'=''>몽촌토성에 위치한 백제집자리전시관과 어린이전문교육기관인 몽촌역사관을 분관으로 운영하고 있다.</span><span style='font-size: 12pt;'>&nbsp;</span></p><p class='HStyle0' style='margin-right: 8.1pt; line-height: 1.8;'><span style='font-size: 12pt;'>&nbsp;</span></p><p style='line-height: 1.8;'>  </p><p class='HStyle0' style='margin-right: 8.1pt; line-height: 1.8;'><span style='font-family: ' 신명='' 신명조,한컴돋움';='' font-size:='' 12pt;'=''>한성백제박물관 누리집: http://baekjemuseum.seoul.go.kr</span></p>",무료,,,,,,,
42.0,박물관/기념관,한국분재박물관,서울특별시 서초구 신흥안길 40-10,37.45313676,127.0758032,02-577-0002,,http://www.ktreedesign.com/,※ 하절기 (3월~10월) : 09:00~19:00  일요일(12:00~19:00)※ 동절기 (11월~2월) : 09:00~17:00  일요일(12:00~17:00),무료,없음,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100216&thumb=Y,,"<span style='font-size: 14pt;'>서울시 서초구 우면산 기슭의 1,200여평의 땅에 수령 500년이 되었다는 소사 나무, 바닷가의 내음을 풍길 듯한 해송, 작은 키에 열매를 주렁주렁 매단 과실나무, 매화와 백일홍 등의 분재가 전시되어 있습니다.</span><br>  <br><span style='font-size: 14pt;'>  이용시간 : </span><br><span style='font-size: 14pt;'>  하절기(3~10월) -&nbsp;평일 09:00~19:00 / 일 12:00~19:00</span><br><span style='font-size: 14pt;'>  동절기(11~2월) - 평일 09:00~17:00 / 일 12:00~17:00</span><br>  <br><span style='font-size: 14pt;'>  쉬는날 : 연중무휴</span><br>  <br><span style='font-size: 14pt;'>  관람소요시간 : 약 1시간 정도</span><br>",무료,,,,,,,
88.0,박물관/기념관,건국대학교 박물관,서울특별시 광진구 능동로 120,37.53918267,127.0747119,0507-1430-3880,,http://www.konkuk.ac.kr/do/Museum/Index.do,화~금 11:00~16:00,무료,"토,일요일, 공휴일 방학기간중",,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100111&thumb=Y,,"<div style='text-align: center;' align='center'><span style='font-size: 14pt;'>본교 박물관은 1963년 3월에 대학의 기본적인 문화기관의 하나로 발족하여 우리 조상의 얼이 깃든 역사 유물을 수집, 보존, 전시함으로써&nbsp;</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>본교 교직원 및 학생, 동문, 일반인의 문화 와 역사의식 고취에 기여하고 있다. 또한 본교 설립자 고(故) 상허(常虛) 유석창(劉錫昶) 박사의&nbsp;</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>유품과 본교의 역사자료도 수집, 전시하여 &lt;애교심과 자긍심을 높이는 데 활용하도록 하고 있다. 역사유물로는 구석기시대로부터 초기철</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>기시대에 이르는 선사유물과 삼국시대 이래 조선시대까지의 토기, 도자기, 금속공예품, 목공예품, 서화, 서책류, 민속자료 등을 비롯한 5,3</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>00 여점의 유물을 소장하고 있다.</span></div>",무료,,,,,,,
93.0,박물관/기념관,연세대학교 김대중도서관,서울특별시 마포구 신촌로4길 5-26,37.55698238,126.92959,02-2123-6890,02-320-7777,https://www.kdjlibrary.org/,오전 10시~오후 6시,전석 15000(학생만원),"일요일, 공휴일",2003.11.3,160,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100895&thumb=Y,,"<div style='text-align: center;' align='center'><span style='font-size: 14pt;'>김대중도서관은 2003년 11월 아시아 최초의 대통령도서관으로 개관하였습니다. 대한민국 제15대 대통령이며 노벨평화상을 수상한 김대중 전 대통령이 도서관 건물과 1만</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>6,000여 건의 자료, 1만여 권의 장서 그리고 노벨평화상 상금을 연세대학교에 기증한 뜻과 연세대학교의 건학 이념을 바탕으로 설립되었습니다. 김대중도서관은 민주주의와</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>인권, 평화 구현 그리고 빈곤 퇴치를 위해 헌신한 김대중 전 대통령의 정신을 기리고 이를 위해 세계적 수준의 교육 및 연구활동, 그리고 사료 기관으로 거듭나겠습니다.</span></div><div style='text-align: center;' align='center'><span style='font-size: 12px;'><br></span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>김대중도서관은 주요사업으로 다음과 같은 활동을 하고 있습니다.&nbsp;</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>첫째,</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>김대중 대통령의 일생의 자료 -대통령 재임 전, 재임기, 재임 이후, 노벨평화상 수상 관련 자료 등 김대중 대통령의 개인적 생애와 함께 우리나라 현대사의 참모습을 보고 이</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>해할 수 있는 전시실을 운영하고 있습니다.</span></div><div style='text-align: center;' align='center'><span style='font-size: 12px;'><br></span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>둘째,</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>김대중 대통령이 기증한 반세기에 걸친 국내 정치 관련 자료, 국내외에서의 민주화와 평화통일 활동 자료, 대통령 재임기 국정 수행 관련 자료, 국제 외교 자료 등을 정리하며</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>&nbsp;연구하고 있습니다.</span></div><div style='text-align: center;' align='center'><span style='font-size: 12px;'><br></span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>셋째,</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>김대중 대통령의 업적을 기리는 기념사업을 하고 있습니다. 또한, 김대중 대통령 연보를 비롯해 각 분야에 걸친 김대중 연구 사업을 진행합니다. 이 사업의 일부는 정부의 “전</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>직대통령 예우에 관한 법률”에 의한 예산 지원으로 수행됩니다.</span></div><div style='text-align: center;' align='center'><span style='font-size: 12px;'><br></span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>넷째,</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>김대중 대통령을 비롯하여 민주화와 평화통일 및 야당사의 주요 증인들, 해외 인사들의 구술 인터뷰를 동영상으로 제작하여 디지털 아카이브를 만들고, 국내외 민주화와 평</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>화통일에 관련한 자료들을 수집, 정리, 연구하는 일도 함께 하고 있습니다.</span></div><div style='text-align: center;' align='center'><span style='font-size: 12px;'><br></span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>다섯째,</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>6.15남북공동선언기념, 노벨평화상 수상기념 학술회의 등 국제ㆍ국내학술회의와 오슬로 노벨평화센터 및 국내외 연구기관들과 교류협력을 통해 연구를 진행합니다.</span></div><div style='text-align: center;' align='center'><span style='font-size: 12px;'><br></span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>여섯째,</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>민주주의, 평화, 빈곤퇴치에 관한 교육 사업을 진행합니다. 김대중평화아카데미 과정을 통해 평화와 통일교육, 청소년 평화 학습 등의 교육과정에 참여하고 있습니다.</span></div><div style='text-align: center;' align='center'><span style='font-size: 12px;'><br></span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>김대중도서관은 사업 수행을 위해 산하에 김대중평화연구소, 국제협력센터, 사료센터, 전시열람센터를 두고 있습니다.</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>도서관 방문과 자료 검색, 각 교육과정 및 사업에 참여하는 방법은 별도로 안내가 되어있으니 참고하시기 바랍니다.</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>그리고 김대중도서관의 운영은 연세대학교 부속기관으로서 연세대학교의 지원금과 독지가들의 정성어린 후원으로 운영되고 있습니다.</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>이 자리를 빌어 그동안 후원에 참여하여 주신 모든 분들께 진심으로 감사드리며 앞으로 많은 분들의 참여와 후원을 부탁드립니다.</span></div>",무료,,,,,,,
95.0,박물관/기념관,최순우 옛집,서울특별시 성북구 성북로15길 9,37.59297685,127.0003499,02-3675-3402,,http://www.ntculture.or.kr/,4~11월 화~토10:00~16:00,무료,"매주 일, 월요일, 추석당일",,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100232&thumb=Y,,"<div><span style='font-size: 14pt;'>혜곡최순우기념관은 무량수전 배흘림기둥에 기대서서의 저자로 유명한 혜곡 최순우 선생이 1976 년부터 돌아가신 1984년까지 사셨던 옛집입니다. 2002년 자발적인 시민들의 후원과 기증으로 문화유산과 자연유산을 보존하는 내셔널트러스트 운동을 통해 최순우 옛집이 보존되었습니다. 2004년 재단법인 내셔널트러스트 문화유산기금이 발족되면서 우리나라 최초의 내셔널트러스트 시민문화유산 1호 '최순우 옛집'을 일반에 개방하였습니다.</span></div><div><span style='font-size: 14pt;'>최순우 선생의 친필원고와 수집엽서, 수신 연하장, 서화, 서적 등을 소장하여 해마다 특별전시와 시민참여형 문화예술교육프로그램을 운영하면서 2006년 혜곡최순우기념관으로 등록(서울시 제 29호)하였습니다.</span></div><div><span style='font-size: 14pt;'>재단법인 내셔널트러스트 문화유산기금은 역사인물가옥을 발굴하여 보존하는 활동을 벌이고 있습 니다. 혜곡최순우기념관의 사례가 알려지며 2006년 조각가 권진규(1922~1973)가 짓고 생활하며 작품을 만든 아틀리에(등록문화재 제134호)를 유족에게 기증받았고, 2012년에는 우리나라 최초의 서양화가 고희동이 41년 동안 살던 원서동 고희동 가옥(등록문화재 제84호, 소유자: 종로구)의 전시 운영을 맡았습니다.</span></div><div><span style='font-size: 14pt;'>시민문화유산 혜곡최순우기념관과 내셔널트러스트 역사인물가옥 보존 활동이 앞으로 더욱 활발하 게 펼쳐질 수 있도록 후원과 기증, 자원활동 참여로 함께해주시기 바랍니다.</span></div>",무료,,,,,,,
102.0,박물관/기념관,국립고궁박물관,서울 종로구 효자로 12 국립고궁박물관,37.57659162,126.9749748,02-3701-7500,,https://www.gogung.go.kr/gogung/main/main.do,"평일 09:00~18:00주말, 공휴일 09:00~19:00",일반 2000원청소년 1000원,월요일,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=cb018791a73b4756acfa9b1ea129b68d&thumb=Y,,"<span style='font-size: 12pt;'>광복 60주년을 맞아 2005년 8월 15일 경복궁 내에 있는 옛 국립중앙박물관 자리에 조선왕실의 보물을 한데 모아 전시해 놓은 국립고궁박물관이 화려한 스포트라이트를 받으며 개관했다. 문화재청은 1980년대 중반부터 창경원을 창경궁으로 복원하고, 일제에 의해 헐린 경복궁 전각들을 복원해나가기 시작했다. 그 과정에서 1992년에는 4대궁궐과 종묘, 능원 등에 흩어져 있던 궁중문화재를 모아 덕수궁에 궁중유물전시관을 개관하기도 했다. 하지만 덕수궁 내 석조전은 전시공간과 수장 공간이 턱없이 부족하고 규모조차 너무 작아 왕실문화를 홍보하고 연구 보존하는데 수많은 어려움에 부딪쳤고 이에 문화재청은 1993년 옛 국립중앙박물관 자리에 왕궁박물관을 개관하기로 결정하고 철저한 준비 끝에, 이번에 화려하게 개관을 하게 됐다. 이처럼 10년간의 긴 덕수궁 시대를 마치게 된 국립고궁박물관의 새 보금자리는 덕수궁 시대보다 전시공간은 3배, 수장 공간은 30배가 넓은 초대형 규모를 자랑하고 있고 이에 따라 4만여 점에 달하는 왕실문화재를 일반인들에게 널리 알리고 보존할 수 있는 확고한 기반을 갖추게 되었다.</span>",유료,,,,,,,
