,전시회,음악 및 무용발표회,박물관,전통예술공연,연극공연,영화관람,대중공연,운동경기
강남구,0.0,0.0,49009.200000000004,0.0,151928.52,30052441.439999998,75964.26,156829.44
강동구,0.0,0.0,156526.56,0.0,0.0,3151126.8000000003,28833.840000000004,0.0
강북구,0.0,0.0,22892.0,0.0,0.0,4056176.25,22892.0,17169.0
강서구,0.0,0.0,87683.2,0.0,0.0,8535411.5,21920.8,38361.4
관악구,0.0,2863.38,91628.16,0.0,0.0,10958155.26,114535.20000000001,42950.7
광진구,0.0,8523.45,95462.64000000001,3409.38,0.0,19760766.48,102281.40000000001,34093.8
구로구,0.0,44183.28,117822.08,12886.79,58911.04,19790427.5,149118.57,46024.25
금천구,0.0,14546.76,19395.68,1212.23,29093.52,11264041.16,32730.21,6061.150000000001
노원구,0.0,26204.28,26204.28,13102.14,98266.04999999999,37297425.199999996,314451.36,56775.94
도봉구,0.0,0.0,16661.88,0.0,33323.76,35836926.9,27769.8,2776.98
동대문구,33041.57,27824.48,55648.96,6956.12,118254.04000000001,40851553.73,271288.68,29563.510000000002
동작구,16889.579999999998,15012.960000000001,105090.72000000002,1876.6200000000001,105090.72000000002,68460974.22,288999.48,26272.680000000004
마포구,19981.61,79926.44,152586.84,12715.570000000002,239779.32,75377898.96000001,377834.08,49045.770000000004
서대문구,13258.08,11784.960000000001,41247.36,4419.36,175301.28,59631897.6,306408.96,20623.68
서초구,10227.84,34092.8,102278.4,8523.2,490936.32,87289500.47999999,354565.12,18751.04
성동구,6661.650000000001,58622.52,86601.45000000001,13323.300000000001,383711.04,96577937.03999999,149220.96000000002,25314.27
성북구,0.0,0.0,0.0,5921.13,25658.23,10156711.66,59211.299999999996,15789.68
송파구,40233.200000000004,57476.0,597750.4,11495.2,646605.0,184015161.6,655226.4,17242.8
양천구,56010.49,137316.04,1517703.6,28908.64,487833.3,141943229.18999997,720909.21,34329.01
영등포구,44174.72,107555.84000000001,261207.04,7682.56,449429.76,128513863.67999998,656858.8799999999,59539.84
용산구,17711.79,8334.960000000001,158364.24,4167.4800000000005,171908.55,64659494.07,153154.89,26046.75
은평구,17307.6,43269.0,103845.59999999999,4326.9,746390.25,157559736.6,363459.6,47595.9
종로구,6515.46,28957.600000000002,71670.06,5791.52,542955.0,118016698.8,60810.96000000001,2895.76
중구,0.0,0.0,22192.820000000003,0.0,19581.9,5208785.399999999,1958.1899999999998,0.0
중랑구,24526.32,45279.36,226396.8,15093.12,637684.32,180268452.0,792388.8,45279.36
