문화시설명,전시회,박물관,음악 및 무용 발표회,전통 예술 공연,연극 공연,영화 관람,대중 공연,운동 경기,가장 큰 카테고리,값,가장 많은 장소
DDP(동대문디자인플라자),0.60162115,0.6474819,0.8488972,0.87182546,0.88969123,0.9006915,0.88947916,0.79941833,영화 관람,0.9006915,57
주한영국문화원,0.5310698,0.577182,0.76919734,0.77572054,0.7944533,0.82244486,0.79991776,0.7327297,영화 관람,0.82244486,57
국립정동극장,0.6187244,0.6519271,0.8583818,0.8818213,0.9001458,0.9064423,0.89880925,0.8041767,영화 관람,0.9064423,57
시민청,0.6387376,0.7236326,0.7686482,0.7637884,0.7590101,0.76682585,0.77046335,0.75310147,대중 공연,0.77046335,1
남산골한옥마을,0.5959172,0.6518053,0.84731865,0.867792,0.88692576,0.9002154,0.8849532,0.7952747,영화 관람,0.9002154,57
CGV 명동,0.61798686,0.6614412,0.8561964,0.8722728,0.8910431,0.90912557,0.8912947,0.8018099,영화 관람,0.90912557,57
세컨드에비뉴 갤러리,0.63394165,0.6360414,0.7880585,0.8177258,0.82639694,0.8676743,0.8358611,0.7713959,영화 관람,0.8676743,57
중구여성플라자,0.60975784,0.64308476,0.85412383,0.87687624,0.894232,0.90174115,0.892886,0.79966855,영화 관람,0.90174115,57
명동난타극장,0.57840276,0.60135484,0.77237165,0.782491,0.80049574,0.82018095,0.8067917,0.72710484,영화 관람,0.82018095,57
문학의집서울,0.5541921,0.5701223,0.7418346,0.7623253,0.7847103,0.7912227,0.7858058,0.7097175,영화 관람,0.7912227,57
허리우드 스카이쇼 공연장,0.63887167,0.67752403,0.86190534,0.8758808,0.8941046,0.9180869,0.9004079,0.8206959,영화 관람,0.9180869,57
서울남산국악당,0.5959172,0.6518053,0.84731865,0.867792,0.88692576,0.9002154,0.8849532,0.7952747,영화 관람,0.9002154,57
서울도서관,0.6111715,0.6555213,0.8543544,0.8795147,0.8966398,0.91071343,0.89705133,0.80485,영화 관람,0.91071343,57
장충체육관,0.6309165,0.66655076,0.8649161,0.8921504,0.9055394,0.9059981,0.9045945,0.81124455,영화 관람,0.9059981,57
한국금융사박물관,0.661713,0.70004,0.8722129,0.8906904,0.8968887,0.9176831,0.9039661,0.8677006,영화 관람,0.9176831,57
서울시립미술관 서소문본관,0.6088573,0.6408792,0.8447937,0.86242837,0.8853468,0.8869426,0.8820204,0.7873447,영화 관람,0.8869426,57
한국은행 화폐박물관,0.62436604,0.65909153,0.8638605,0.88318783,0.8931224,0.9047497,0.8956016,0.8179617,영화 관람,0.9047497,57
안중근의사기념관,0.63394165,0.6360414,0.7880585,0.8177258,0.82639694,0.8676743,0.8358611,0.7713959,영화 관람,0.8676743,57
국립현대미술관 덕수궁,0.6213095,0.6521239,0.8554528,0.8828244,0.899519,0.9064607,0.89868116,0.80203795,영화 관람,0.9064607,57
서울아트시네마,0.63394165,0.6360414,0.7880585,0.8177258,0.82639694,0.8676743,0.8358611,0.7713959,영화 관람,0.8676743,57
충무로영상센터 오!재미동,0.61080253,0.6512843,0.8498126,0.86626893,0.8869854,0.896847,0.8837246,0.79713726,영화 관람,0.896847,57
신당창작아케이드,0.6477227,0.7543285,0.8143746,0.8258719,0.81707525,0.84262806,0.8253139,0.7959594,영화 관람,0.84262806,57
초전섬유 퀼트박물관,0.39316428,0.41514623,0.5253041,0.5218792,0.5365647,0.5178069,0.5329659,0.5129704,연극 공연,0.5365647,3
뮤지컬점프,0.55408597,0.5959875,0.77608,0.78251743,0.80704725,0.82999694,0.8074973,0.7428132,영화 관람,0.82999694,57
명동대성당 꼬스트홀,0.60623455,0.64394784,0.85365826,0.877512,0.8933357,0.9073751,0.8933086,0.80258334,영화 관람,0.9073751,57
삼일로창고극장,0.5602389,0.5841427,0.741575,0.7417605,0.7518307,0.7963095,0.76208955,0.72183967,영화 관람,0.7963095,57
서울도시건축전시관,0.5950216,0.63358045,0.8465693,0.86491156,0.8904988,0.90538394,0.8877039,0.79757845,영화 관람,0.90538394,57
청춘극장,0.6029811,0.6380945,0.8488815,0.8761035,0.89928854,0.9099321,0.89701015,0.80470157,영화 관람,0.9099321,57
남산공원 호현당,0.059105475,0.08063154,0.013034493,0.0012567639,-0.025062326,-0.024906525,-0.006120786,0.061283894,박물관,0.08063154,2
서울광장,0.6095885,0.645476,0.8551806,0.8793372,0.8972387,0.9025132,0.89533025,0.8020582,영화 관람,0.9025132,57
남산 소나무 힐링숲,0.059105475,0.08063154,0.013034493,0.0012567639,-0.025062326,-0.024906525,-0.006120786,0.061283894,박물관,0.08063154,2
서울시청 하늘광장 갤러리,0.6116172,0.64953685,0.8505615,0.8820653,0.89448375,0.90527654,0.8932171,0.79614365,영화 관람,0.90527654,57
국립극장,0.5387354,0.5587872,0.6990725,0.6978975,0.72219414,0.736023,0.7188076,0.6967989,영화 관람,0.736023,57
한양도성 유적전시관,0.58696926,0.6530479,0.8388926,0.86499536,0.88448036,0.901404,0.88294864,0.79303694,영화 관람,0.901404,57
두손 갤러리,0.48173222,0.5053379,0.58063656,0.5676226,0.5634454,0.61142945,0.56106746,0.5656984,영화 관람,0.61142945,57
느티나무어린이도서관,0.6105974,0.6695333,0.8177296,0.81766474,0.8313285,0.84633684,0.8327706,0.77476573,영화 관람,0.84633684,57
뉴스뮤지엄 을지로점,0.5887947,0.5971377,0.78707683,0.79601,0.81970495,0.8226419,0.82253176,0.7255826,영화 관람,0.8226419,57
명동아트브리즈,0.6161967,0.65619606,0.86345804,0.88958067,0.9025095,0.90259457,0.90170985,0.8068664,영화 관람,0.90259457,57
동대문운동장기념관,0.61533445,0.6649704,0.8558762,0.8692271,0.892444,0.90550005,0.88736665,0.8031102,영화 관람,0.90550005,57
신당생활문화예술터일상,0.62595916,0.6537959,0.8136952,0.8208694,0.8362547,0.86230975,0.82852095,0.77351856,영화 관람,0.86230975,57
정동1928 아트센터,0.6058582,0.6629635,0.8498188,0.8744337,0.8902209,0.9008407,0.8883464,0.79483426,영화 관람,0.9008407,57
한국현대문학관,0.5465803,0.57611763,0.76770633,0.7673486,0.7796135,0.8111036,0.78407073,0.7079531,영화 관람,0.8111036,57
국립극장 공연예술박물관,0.6292267,0.6646273,0.8632192,0.8862574,0.9048611,0.91052645,0.9033156,0.80712926,영화 관람,0.91052645,57
1인미디어콤플렉스,0.6047777,0.6465639,0.8575865,0.8816834,0.89708406,0.9064075,0.89773464,0.8066082,영화 관람,0.9064075,57
동국대학교서울캠퍼스 이해랑예술극장,0.5981162,0.6370044,0.8400234,0.86557716,0.89074653,0.88868886,0.88638633,0.7879972,연극 공연,0.89074653,3
아트룸블루,0.60798246,0.63257414,0.7935498,0.8039814,0.8161105,0.8458702,0.81011474,0.7650188,영화 관람,0.8458702,57
상상비즈아카데미,0.6180922,0.65135187,0.8605319,0.8761107,0.8964498,0.90512156,0.8937684,0.80192924,영화 관람,0.90512156,57
문화일보홀(현 청춘극장),0.6029811,0.6380945,0.8488815,0.8761035,0.89928854,0.9099321,0.89701015,0.80470157,영화 관람,0.9099321,57
배재학당역사박물관,0.5921169,0.6437846,0.8316094,0.8534583,0.87612784,0.89752704,0.87442815,0.7849957,영화 관람,0.89752704,57
눈스퀘어,0.60329866,0.6577933,0.83510673,0.8605261,0.8710765,0.88848424,0.871084,0.7974707,영화 관람,0.88848424,57
서울로미디어캔버스,0.66616005,0.71045035,0.866087,0.8851279,0.88999265,0.91600955,0.89971805,0.83963984,영화 관람,0.91600955,57
주한 리스트 헝가리 문화원,0.605585,0.65316963,0.8580024,0.87853956,0.89328396,0.9011354,0.8940316,0.79932237,영화 관람,0.9011354,57
군기시유적전시실,0.6231657,0.6611776,0.8648167,0.8895457,0.90550554,0.91038704,0.9042257,0.8102636,영화 관람,0.91038704,57
국립극단 명동예술극장,0.62839746,0.650041,0.86041564,0.8841306,0.9028568,0.90037596,0.8987905,0.7984296,연극 공연,0.9028568,3
한국의 집 민속극장,0.60339594,0.65379953,0.848971,0.87291574,0.8916378,0.9071759,0.8896534,0.79773355,영화 관람,0.9071759,57
문화역서울284,0.6170267,0.64490545,0.85431653,0.88077927,0.8992588,0.9021076,0.8967828,0.8001849,영화 관람,0.9021076,57
명보아트홀,0.6166601,0.6748341,0.83246136,0.835709,0.8555306,0.87016636,0.850807,0.7799473,영화 관람,0.87016636,57
더 케이브 서울,0.5950429,0.65535057,0.8040071,0.81685495,0.83276486,0.8547344,0.83154756,0.7818403,영화 관람,0.8547344,57
대한성공회 서울주교좌성당,0.5366733,0.5517523,0.732181,0.73454326,0.76120675,0.79124606,0.7622731,0.69489455,영화 관람,0.79124606,57
동대문역사관,0.6162063,0.6665392,0.85654163,0.8701223,0.8930197,0.9060577,0.88822836,0.80381477,영화 관람,0.9060577,57
남산XR스튜디오,0.6076672,0.6461239,0.85152173,0.87780887,0.896181,0.90100515,0.89484465,0.79782534,영화 관람,0.90100515,57
마프MAF,0.6086931,0.64595103,0.854105,0.8787593,0.90018404,0.911124,0.8976258,0.8047085,영화 관람,0.911124,57
정동제일교회,0.61939025,0.65395916,0.86013377,0.8832476,0.896383,0.90542775,0.8964574,0.80572176,영화 관람,0.90542775,57
