번호,주제분류,문화시설명,문화시설주소,위도,경도,전화번호,팩스번호,홈페이지,관람시간,관람료,휴관일,개관일자,객석수,대표이미지,기타사항,시설소개,무료구분,지하철,버스정거장,YELLOW,GREEN,BLUE,RED,공항버스
12.0,도서관,고척도서관,서울특별시 구로구 고척로45길 31,37.50531999,126.8530393,02-2615-0524,,http://gclib.sen.go.kr/,,,정보없음,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=73fa7f1a2485489d97593c26967dfee8&thumb=Y,,"<div style='text-align: center;' align='center'><span style='font-size: 14pt;'>고척도서관은 구로구 고척동 근린공원내에 위치한 공공도서관으로서 1990년 설치된 이후, 평생 교육의 장으로서 지역주민들에게 기능과 역할을 다하고 있습니다.&nbsp;</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>철따라 피고 지는 고척근린공원의 아름다운 수목과 지저귀는 새들의 화음속에 오늘도 고척도서관은 성장하고 있습니다. 으로도 자료의 확충과 이용자 편의 도모, 봉사 기능의 강화로 시민생활의 질을 높이는 교육문화 기관으로서의 기능을 다하고자 합니다.</span></div><div style='text-align: center;' align='center'><span style='font-size: 12px;'><br></span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>■ 정기휴관일 : 매월 둘째?넷째 수요일&nbsp;</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>■ 법정공휴일 : 일요일을 제외한 관공서 공휴일. 단, 일요일과 다른 공휴일이 겹치는 경우에는 휴관함&nbsp;</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>■ 임시휴관일 : 기타 도서관장이 정하는 날</span></div>",유료,,,,,,,
23.0,기타,구로구청,서울특별시 구로구 가마산로 245,37.49556644,126.8875051,02-860-2114,02-864-9595,http://www.guro.go.kr,,,"매주 토,일, 법정공휴일",,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100806&thumb=Y,,"<br>  서울특별시 구로구의 행정 및 민원 등의 업무를 담당하는 기관으로 1980년 4월 1일 개청하였다. 변화와 희망을 열어가는 활기찬 구로를 구정목표로 하고 있다. 주로 동 행정지도와 관리, 행정구역 조정, 각종 세금 징수와 등록, 주요 시책 분석, 구 예산 편성과 집행, 고시?공고 사항 관리, 국?공유 재산 매각과 대부, 공공근로사업자 관리, 지역물가 안정대책 마련, 재활용업무 계획 등의 업무를 시행한다. <br>  <br>  그리고 사회복지시설 관리, 저소득주민 책정과 관리, 환경오염 방지시설 개선명령, 공중시설 점검, 도로신설과 복구, 건축허가와 준공 처리, 주거환경 개선사업, 건축물철거 신고처리, 토지구획정리, 공원행정 계획과 조정, 지방세 증명 발급, 신원증명 조회, 각종 민원 서류 발급 등의 일을 맡아본다.<br>  <br>  ■ 이용시간 : <span class='time'>09:00~18:00</span> <br>  <br>",무료,,,,,,,
26.0,도서관,구로구립꿈나무어린이도서관,서울특별시 구로구 구로동로26길 54,37.48965471,126.8863324,02-860-1623,,https://lib.guro.go.kr/#/about/gulib/lib01,,,매주 화요일 및 법정공휴일,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100851&thumb=Y,,<p><b>시설현황</b><br></p><p>주소: 서울특별시 구로동로26길 54 구로구시설관리공단 2층 (구로동 741-27)</p><p>면적: 638㎡</p><p>열람석: 87석</p><p>전화번호: ☎(02)830-1623</p><p>인스타그램: https://www.instagram.com/libdream01/</p><p><br></p><p>      ■ 이용시간<br> </p>      <p align='center'> </p><p align='center'> </p><p align='center'> </p><p align='center'> </p><p align='center'> </p><p align='center'> </p><p align='center'> </p><p align='center'> </p><p align='center'> </p><p align='center'> </p><table width='400' align='left' bordercolor='gray' border='1' cellspacing='0' cellpadding='5'> <tbody> <tr> <td><p align='center'>구분</p></td><td><p align='center'>평일</p></td><td><p align='center'>토?일요일</p></td></tr><tr><td><p align='center'>동절기(11월~2월)</p></td><td><p align='center'>오전 10시~ 오후 6시</p></td><td><p align='center'>오전 10시 ~ 오후 5시</p></td></tr><tr><td><p align='center'>하절기(3월~10월)</p></td><td><p align='center'>오전 10시~ 오후7시</p></td><td><p align='center'>오전 10시 ~ 오후 5시</p></td></tr></tbody></table><p align='center'><br>      <br>      <br>      <br>      <br>      <br>     <br>      <br> </p>,무료,,,,,,,
114.0,기타,구로구민체육센터,서울특별시 구로구 고척로45길 39,37.50658124,126.8532759,02-2681-9595,02-2681-9109,https://www.gurosisul.or.kr/mod.asp?m=business&s=b01,,, 매주 일요일 및 공휴일,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100807&thumb=Y,,<br>  ■ 등록 및 접수안내<br>- 기존회원 : 매월 15일 ? 23일<br>  - 신규회원 : 매월 25일 ? 말일 (선착순 등록)<br>  - 변경및 연기기간 : 메월 24일~익월4일까지&nbsp;<br>  <br>  ■ 접수시간<br>- 평일 : 07:00 ~ 21:00<br>  - 토요일 : 09:00~ 18:00(일요일 및 공휴일에는 접수 받지 않습니다.)<br><br>  ■ 영업시간/휴관일<br>이용가능시간 평일 : 06:00?22:00 / 토요일 : 06:00?19:00<br>  매주 일요일 및 공휴일은 휴관합니다.<br>  * 체육센터 시설의 보수가 불가피한 경우에는 일정기간 휴관합니다.,무료,,,,,,,
115.0,문화예술회관,구로아트밸리예술극장,서울특별시 구로구 가마산로25길 9-24,37.49655847,126.8889639,02-2029-1700~1,,https://www.guroartsvalley.or.kr/user/overall/overallArt.do,,,"토,일,공휴일",,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100808&thumb=Y,,"<p>클래식, 대중음악, 연극, 뮤지컬 등 다양한 장르의 공연이 가능한,<br></p><div>서울 서남권을 대표하는 579석 규모의 다목적 공연장</div>    <p><br>   &nbsp;</p> <p>&nbsp;</p>",무료,,,,,,,
232.0,박물관/기념관,평강성서유물박물관,서울특별시 구로구 오류로8라길 44,37.49195522,126.8440613,02-2686-9496,,http://www.apm.or.kr/,10:00~17:00,"일반 2000원초,중학생 1000원",월요일,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=4c0f9e3c071d4c72b4e4436929fbbacb&thumb=Y,,"<div style='text-align: center;' align='center'><span style='font-size: 14pt;'>“이제 있는 것이 옛적에 있었고, 장래에 있을 것도 옛적에 있었나니 하나님은 이미 지난 것을 다시 찾으시느니라”</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>(전도서 3:15)</span></div><div style='text-align: center;' align='center'><span style='font-size: 12px;'><br></span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>“이미 있던 것이 후에 다시 있겠고 이미 한 일을 후에 다시 할지라 해 아래는 새 것이 없나니...이전 세대를 기억함이 없으니 장래 세대도 그 후 세대가&nbsp;</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>기억함이 없으리라”</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>(전도서 1:9,11)</span></div><div style='text-align: center;' align='center'><span style='font-size: 12px;'><br></span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>지난 과거를 모르면 현대나 미래의 일도 예측할 수가 없습니다.</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>본 박물관은 그동안 일반인들이 쉽게 접해 보지 못했던 성서시대의 유물들을 공개함으로서 체험적 신앙의 영역에 접근할 수 있도록 하였습니다.</span></div><div style='text-align: center;' align='center'><span style='font-size: 12px;'><br></span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>어렵게만 생각하였던 성경의 역사와 성경 속에 나타나는 시대적 상황과 풍습, 그리고 하나님께서 인간들에게 전하시고자 하셨던 구원의 말씀을 유물과&nbsp;</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>연결함으로 성경에 대한 확신을 갖고 믿음으로 하나님이 기뻐하시는 자녀들이란 자긍심을 가지고 미래의 소망을 바라보면서 살아가는데 도움이 되도록&nbsp;</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>만들었습니다.</span></div><div style='text-align: center;' align='center'><span style='font-size: 12px;'><br></span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>평강성서유물박물관을 통하여 성서고고학의 불모지와 같은 학문 영역의 확장과 문화적 안목의 격상은 물론 하나님께 더 가까이 접근하는 계기가 되기를&nbsp;</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>소원합니다.</span></div>",유료,,,,,,,
237.0,도서관,구로구립개봉도서관,서울특별시 구로구 개봉로16길 30-11,37.48952491,126.857976,02-2689-1695,,https://lib.guro.go.kr/#/about/gulib/lib06,,,매주 화요일 및 법정공휴일,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000101180&thumb=Y,,<div>개봉초등학교내 위치<br><br>시설규모<br>면적: 521㎡</div><div><div>열람석: 92석</div><div>유튜브: https://www.youtube.com/channel/UCf350xtpw9FkdmO_rWKeLMw<br></div><div>인스타그램: https://www.instagram.com/gaebonglib</div></div> <div><br> </div> <div>◎ 이용시간 안내</div> <div><br> </div> <div> <table style='BORDER-TOP: medium none; BORDER-RIGHT: medium none; BORDER-COLLAPSE: collapse; TABLE-LAYOUT: fixed; BORDER-BOTTOM: medium none; BORDER-LEFT: medium none; mso-table-overlap: never'> <tbody> <tr> <td style='BORDER-TOP: #000000 0.28pt solid; HEIGHT: 48.28pt; BORDER-RIGHT: #000000 0.28pt solid; WIDTH: 72.58pt; BACKGROUND: #dfeaf5; BORDER-BOTTOM: #000000 0.28pt solid; PADDING-BOTTOM: 1.41pt; PADDING-TOP: 1.41pt; PADDING-LEFT: 5.1pt; BORDER-LEFT: #000000 0.28pt solid; PADDING-RIGHT: 5.1pt' valign='middle' rowspan='2'> <p class='0' style='WORD-BREAK: keep-all; TEXT-ALIGN: center; TEXT-AUTOSPACE: ; mso-pagination: none; mso-padding-alt: 0pt 0pt 0pt 0pt'><!--[if !supportEmptyParas]-->&nbsp;<!--[endif]--> <!--?xml:namespace prefix = 'o' /--><o:p></o:p></p></td> <td style='BORDER-TOP: #000000 0.28pt solid; HEIGHT: 24.14pt; BORDER-RIGHT: #000000 0.28pt solid; WIDTH: 145.16pt; BACKGROUND: #dfeaf5; BORDER-BOTTOM: #000000 0.28pt solid; PADDING-BOTTOM: 1.41pt; PADDING-TOP: 1.41pt; PADDING-LEFT: 5.1pt; BORDER-LEFT: #000000 0.28pt solid; PADDING-RIGHT: 5.1pt' valign='middle' colspan='2'> <p class='0' style='WORD-BREAK: keep-all; TEXT-ALIGN: center; TEXT-AUTOSPACE: ; mso-pagination: none; mso-padding-alt: 0pt 0pt 0pt 0pt'><span lang='EN-US' style='LETTER-SPACING: 0pt'>3</span>월<span lang='EN-US' style='LETTER-SPACING: 0pt'>~10</span>월</p></td> <td style='BORDER-TOP: #000000 0.28pt solid; HEIGHT: 24.14pt; BORDER-RIGHT: #000000 0.28pt solid; WIDTH: 145.16pt; BACKGROUND: #dfeaf5; BORDER-BOTTOM: #000000 0.28pt solid; PADDING-BOTTOM: 1.41pt; PADDING-TOP: 1.41pt; PADDING-LEFT: 5.1pt; BORDER-LEFT: #000000 0.28pt solid; PADDING-RIGHT: 5.1pt' valign='middle' colspan='2'> <p class='0' style='WORD-BREAK: keep-all; TEXT-ALIGN: center; TEXT-AUTOSPACE: ; mso-pagination: none; mso-padding-alt: 0pt 0pt 0pt 0pt'><span lang='EN-US' style='LETTER-SPACING: 0pt'>11</span>월<span lang='EN-US' style='LETTER-SPACING: 0pt'>~2</span>월</p></td></tr> <tr> <td style='BORDER-TOP: #000000 0.28pt solid; HEIGHT: 24.14pt; BORDER-RIGHT: #000000 0.28pt solid; WIDTH: 72.58pt; BACKGROUND: #dfeaf5; BORDER-BOTTOM: #000000 0.28pt solid; PADDING-BOTTOM: 1.41pt; PADDING-TOP: 1.41pt; PADDING-LEFT: 5.1pt; BORDER-LEFT: #000000 0.28pt solid; PADDING-RIGHT: 5.1pt' valign='middle'> <p class='0' style='WORD-BREAK: keep-all; TEXT-ALIGN: center; TEXT-AUTOSPACE: ; mso-pagination: none; mso-padding-alt: 0pt 0pt 0pt 0pt'>평일</p></td> <td style='BORDER-TOP: #000000 0.28pt solid; HEIGHT: 24.14pt; BORDER-RIGHT: #000000 0.28pt solid; WIDTH: 72.58pt; BACKGROUND: #dfeaf5; BORDER-BOTTOM: #000000 0.28pt solid; PADDING-BOTTOM: 1.41pt; PADDING-TOP: 1.41pt; PADDING-LEFT: 5.1pt; BORDER-LEFT: #000000 0.28pt solid; PADDING-RIGHT: 5.1pt' valign='middle'> <p class='0' style='WORD-BREAK: keep-all; TEXT-ALIGN: center; TEXT-AUTOSPACE: ; mso-pagination: none; mso-padding-alt: 0pt 0pt 0pt 0pt'>주말</p></td> <td style='BORDER-TOP: #000000 0.28pt solid; HEIGHT: 24.14pt; BORDER-RIGHT: #000000 0.28pt solid; WIDTH: 72.58pt; BACKGROUND: #dfeaf5; BORDER-BOTTOM: #000000 0.28pt solid; PADDING-BOTTOM: 1.41pt; PADDING-TOP: 1.41pt; PADDING-LEFT: 5.1pt; BORDER-LEFT: #000000 0.28pt solid; PADDING-RIGHT: 5.1pt' valign='middle'> <p class='0' style='WORD-BREAK: keep-all; TEXT-ALIGN: center; TEXT-AUTOSPACE: ; mso-pagination: none; mso-padding-alt: 0pt 0pt 0pt 0pt'>평일</p></td> <td style='BORDER-TOP: #000000 0.28pt solid; HEIGHT: 24.14pt; BORDER-RIGHT: #000000 0.28pt solid; WIDTH: 72.58pt; BACKGROUND: #dfeaf5; BORDER-BOTTOM: #000000 0.28pt solid; PADDING-BOTTOM: 1.41pt; PADDING-TOP: 1.41pt; PADDING-LEFT: 5.1pt; BORDER-LEFT: #000000 0.28pt solid; PADDING-RIGHT: 5.1pt' valign='middle'> <p class='0' style='WORD-BREAK: keep-all; TEXT-ALIGN: center; TEXT-AUTOSPACE: ; mso-pagination: none; mso-padding-alt: 0pt 0pt 0pt 0pt'>주말</p></td></tr> <tr> <td style='BORDER-TOP: #000000 0.28pt solid; HEIGHT: 24.14pt; BORDER-RIGHT: #000000 0.28pt solid; WIDTH: 72.58pt; BORDER-BOTTOM: #000000 0.28pt solid; PADDING-BOTTOM: 1.41pt; PADDING-TOP: 1.41pt; PADDING-LEFT: 5.1pt; BORDER-LEFT: #000000 0.28pt solid; PADDING-RIGHT: 5.1pt' valign='middle'> <p class='0' style='WORD-BREAK: keep-all; TEXT-ALIGN: center; TEXT-AUTOSPACE: ; mso-pagination: none; mso-padding-alt: 0pt 0pt 0pt 0pt'>어린이실</p></td> <td style='BORDER-TOP: #000000 0.28pt solid; HEIGHT: 24.14pt; BORDER-RIGHT: #000000 0.28pt solid; WIDTH: 72.58pt; BORDER-BOTTOM: #000000 0.28pt solid; PADDING-BOTTOM: 1.41pt; PADDING-TOP: 1.41pt; PADDING-LEFT: 5.1pt; BORDER-LEFT: #000000 0.28pt solid; PADDING-RIGHT: 5.1pt' valign='middle'> <p class='0' style='WORD-BREAK: keep-all; TEXT-ALIGN: center; LETTER-SPACING: 0pt; TEXT-AUTOSPACE: ; mso-pagination: none; mso-padding-alt: 0pt 0pt 0pt 0pt; mso-ascii-font-family: 굴림; mso-font-width: 100%; mso-text-raise: 0pt'><span lang='EN-US' style='LETTER-SPACING: 0pt'>09:00~18:00</span></p></td> <td style='BORDER-TOP: #000000 0.28pt solid; HEIGHT: 24.14pt; BORDER-RIGHT: #000000 0.28pt solid; WIDTH: 72.58pt; BORDER-BOTTOM: #000000 0.28pt solid; PADDING-BOTTOM: 1.41pt; PADDING-TOP: 1.41pt; PADDING-LEFT: 5.1pt; BORDER-LEFT: #000000 0.28pt solid; PADDING-RIGHT: 5.1pt' valign='middle'> <p class='0' style='WORD-BREAK: keep-all; TEXT-ALIGN: center; LETTER-SPACING: 0pt; TEXT-AUTOSPACE: ; mso-pagination: none; mso-padding-alt: 0pt 0pt 0pt 0pt; mso-ascii-font-family: 굴림; mso-font-width: 100%; mso-text-raise: 0pt'><span lang='EN-US' style='LETTER-SPACING: 0pt'>09:00~17:00</span></p></td> <td style='BORDER-TOP: #000000 0.28pt solid; HEIGHT: 24.14pt; BORDER-RIGHT: #000000 0.28pt solid; WIDTH: 145.16pt; BORDER-BOTTOM: #000000 0.28pt solid; PADDING-BOTTOM: 1.41pt; PADDING-TOP: 1.41pt; PADDING-LEFT: 5.1pt; BORDER-LEFT: #000000 0.28pt solid; PADDING-RIGHT: 5.1pt' valign='middle' colspan='2'> <p class='0' style='WORD-BREAK: keep-all; TEXT-ALIGN: center; LETTER-SPACING: 0pt; TEXT-AUTOSPACE: ; mso-pagination: none; mso-padding-alt: 0pt 0pt 0pt 0pt; mso-ascii-font-family: 굴림; mso-font-width: 100%; mso-text-raise: 0pt'><span lang='EN-US' style='LETTER-SPACING: 0pt'>09:00~17:00</span></p></td></tr> <tr> <td style='BORDER-TOP: #000000 0.28pt solid; HEIGHT: 24.14pt; BORDER-RIGHT: #000000 0.28pt solid; WIDTH: 72.58pt; BORDER-BOTTOM: #000000 0.28pt solid; PADDING-BOTTOM: 1.41pt; PADDING-TOP: 1.41pt; PADDING-LEFT: 5.1pt; BORDER-LEFT: #000000 0.28pt solid; PADDING-RIGHT: 5.1pt' valign='middle'> <p class='0' style='WORD-BREAK: keep-all; TEXT-ALIGN: center; TEXT-AUTOSPACE: ; mso-pagination: none; mso-padding-alt: 0pt 0pt 0pt 0pt'>종합자료실</p></td> <td style='BORDER-TOP: #000000 0.28pt solid; HEIGHT: 24.14pt; BORDER-RIGHT: #000000 0.28pt solid; WIDTH: 290.32pt; BORDER-BOTTOM: #000000 0.28pt solid; PADDING-BOTTOM: 1.41pt; PADDING-TOP: 1.41pt; PADDING-LEFT: 5.1pt; BORDER-LEFT: #000000 0.28pt solid; PADDING-RIGHT: 5.1pt' valign='middle' colspan='4'> <p class='0' style='WORD-BREAK: keep-all; TEXT-ALIGN: center; LETTER-SPACING: 0pt; TEXT-AUTOSPACE: ; mso-pagination: none; mso-padding-alt: 0pt 0pt 0pt 0pt; mso-ascii-font-family: 굴림; mso-font-width: 100%; mso-text-raise: 0pt'><span lang='EN-US' style='LETTER-SPACING: 0pt'>09:00~22:00</span></p></td></tr> <tr> <td style='BORDER-TOP: #000000 0.28pt solid; HEIGHT: 24.14pt; BORDER-RIGHT: #000000 0.28pt solid; WIDTH: 72.58pt; BORDER-BOTTOM: #000000 0.28pt solid; PADDING-BOTTOM: 1.41pt; PADDING-TOP: 1.41pt; PADDING-LEFT: 5.1pt; BORDER-LEFT: #000000 0.28pt solid; PADDING-RIGHT: 5.1pt' valign='middle'> <p class='0' style='WORD-BREAK: keep-all; TEXT-ALIGN: center; TEXT-AUTOSPACE: ; mso-pagination: none; mso-padding-alt: 0pt 0pt 0pt 0pt'>자료열람실</p></td> <td style='BORDER-TOP: #000000 0.28pt solid; HEIGHT: 24.14pt; BORDER-RIGHT: #000000 0.28pt solid; WIDTH: 290.32pt; BORDER-BOTTOM: #000000 0.28pt solid; PADDING-BOTTOM: 1.41pt; PADDING-TOP: 1.41pt; PADDING-LEFT: 5.1pt; BORDER-LEFT: #000000 0.28pt solid; PADDING-RIGHT: 5.1pt' valign='middle' colspan='4'> <p class='0' style='WORD-BREAK: keep-all; TEXT-ALIGN: center; LETTER-SPACING: 0pt; TEXT-AUTOSPACE: ; mso-pagination: none; mso-padding-alt: 0pt 0pt 0pt 0pt; mso-ascii-font-family: 굴림; mso-font-width: 100%; mso-text-raise: 0pt'><span lang='EN-US' style='LETTER-SPACING: 0pt'>09:00~22:00</span></p></td></tr></tbody></table></div>,무료,,,,,,,
240.0,공연장,구로 꿈나무극장,서울특별시 구로구 구로동로26길 54,37.48956232,126.8862929,02-830-2562,,https://www.guroartsvalley.or.kr/user/overall/overallArt5.do,,,프로그램별 상이,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000101156&thumb=Y,,"<p>꿈나무극장은 주민들과 소통하는 문화 놀이터입니다.</p> <p>꿈나무극장은 지역 예술인과 주민들을 위한 공간으로 생활과 예술이 함께 호흡하는 문화예술 놀이터입니다.</p> <p>'문화놀이터'라는 의미를 담고있는 꿈나무극장은 153석 규모의 가변형 극장입니다.</p> <p>연극, 오페라, 독주회 등 다양한 장르의 공연을 비롯하여 문화행사를 제공하는 다목적 공연장으로 소규모 공간에서 무대의 경계를 느끼지 않고 공연에 몰입할 수 있는 공간입니다. </p> <p>아울러, 지역 예술인들의 창작활동과 주민들의 소통을 위한 환경을 제공합니다.</p> <p><br>  </p> <p><br>  </p> <p>&lt;교통편&gt;<br>  - 자동차<br>   ① 구로역, 가리봉역방향 &gt; 남구로역 1번(6번)출구 &gt; 좌측 GS25 편의점 골목으로 들어옴 &gt; 국일 부동산 지나서 좌회전<br>  ② 대림역, 구로구청방향 &gt; 남구로역 6번 출구 &gt; GS25 편의점 골목으로 들어옴 &gt; 국일부동산 지나서 좌회전<br>   &nbsp; ※ 주차요금 : 1시간 1,200원<br>  &nbsp; ※ 재래시장 이용자 및 거주자우선 주차로 인해 주차장 이용이 어려우니 대중교통 이용을 당부 드립니다. </p> <p>-&nbsp;버스<br>  ① ‘구로4동 우체국’하차 - 오른쪽 구로시장 안으로 직진(도보5분) <br>  &nbsp; - 간선버스 : 503, 571<br>  &nbsp; - 지선버스 : 5615, 5619, 5626, 5630, 5712, 5714, 6411, 6511, 6512<br>  ② 남구로역 6번 출구 하차 - GS25 편의점에서 직진(도보5분) <br>  &nbsp; - 지선버스 : 5618, 6411, 6512</p> <p>-&nbsp;지하철<br>  ① 7호선 남구로역 6번 출구 (바로 앞 GS25 편의점 골목 안으로) 도보 5분<br>  ② 2호선 대림역 1번 출구에서 남구로역 방향으로 도보15분</p><p><br> </p>",무료,,,,,,,
247.0,도서관,구로구립글마루 한옥어린이도서관,서울특별시 구로구 고척로27바길 7,37.5069156,126.845637,02-2615-8200,,https://lib.guro.go.kr/#/about/gulib/lib07,,,"매주 화요일, 법정공휴일",,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000101181&thumb=Y,,한옥공간 활성화 시범사업으로 선정되어 우리구 개봉동에 조성한 '구로구립 글마루 한옥어린이도서관'은 전통 한옥 공간에서 어린이들이 책과 함께 꿈과 희망을 키우면서 우리 무화의 우수성을 체험할 수 있는 공간입니다.,무료,,,,,,,
281.0,도서관,구로구립개봉어린이도서관,"서울특별시 구로구 경인로 318-15 2, 3층",37.49674308,126.855912,02-2066-1695,,http://lib.guro.go.kr/,,,"매주 화요일 정기휴관, 일요일을 제외한 법정 공휴일 (일요일과 공휴일이 겹치는 경우 휴관)",,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=43dc6b14c9d54c358317f52014c3a0f5&thumb=Y,,"<h6><span style='font-family: 돋움; font-size: x-large;'>구로구립 개봉어린이도서관</span></h6> <h6><font size='3' face='돋움'>1. 이용시간</font></h6> <h6><font size='3' face='돋움'>하절기(3~10월) 평일 : 오전 10시 ~ 오후 7시</font></h6> <h6><font size='3' face='돋움'>동절기(11~2월) 평일 : 오전 10시~ 오후 6시</font></h6> <h6><font size='3' face='돋움'>주말 : 오전 10시 ~ 오후 5시</font></h6> <h6><span style='font-family: 돋움; font-size: medium;'>2. 휴관일</span><br></h6> <h6><font size='3' face='돋움'>정기 휴관 : 매주 화요일</font></h6> <h6><font size='3' face='돋움'>임시 휴관 : 도서관 사정으로 임시로 정하는 휴일</font></h6> <h6><font size='3' face='돋움'>일요일을 제외한 법정 공휴일 (일요일과 공휴일이 겹치는 경우 휴관)</font></h6> <h6><span style='font-family: 돋움; font-size: medium;'>3. 대출안내</span><br></h6> <h6><font size='3' face='돋움'>대출권수 : 1인 3권 ※ 상호대차 이용 권수는 전체 대출 권수에 포함됩니다.</font></h6> <h6><font size='3' face='돋움'>대출기간 : 2주(14일) 이내</font></h6> <h6><font size='3' face='돋움'>대출연장 : 대출일 다음날부터 1회에 한하여 1주일(7일) 연장 가능합니다.</font></h6> <h6><font size='3' face='돋움'>예약도서는 연장이 불가능하며, 상호대차한 도서는 소장도서관에서만 연장 가능합니다</font></h6> <h6><font size='3' face='돋움'>재 대출 : 반납된 도서는 일주일 경과 후 다시 대출 가능합니다.</font></h6> <h6><font size='3' face='돋움'>상호대차 : 타기관의 도서를 이용자 소속기관에서 대출받고자 할 때 사용하는 기능</font></h6> <h6><font face='돋움'><br> </font></h6> <h6><font size='3' face='돋움'>* 문의</font></h6> <h6> <p class='h7'><font size='3' face='돋움'>개봉어린이도서관 ☎ 2066-1695,1659 팩스 2066-1675</font></p></h6> <h6><br> </h6>",무료,,,,,,,
