번호,주제분류,문화시설명,문화시설주소,위도,경도,전화번호,팩스번호,홈페이지,관람시간,관람료,휴관일,개관일자,객석수,대표이미지,기타사항,시설소개,무료구분,지하철,버스정거장,YELLOW,GREEN,BLUE,RED,공항버스
30.0,공연장,반포심산아트홀,서울특별시 서초구 사평대로 55,37.49883446,126.9912425,02-3477-2461,,https://www.seochocf.or.kr,,,정보없음,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=d76ee0d80c404c0cbc32d73f2bc1f6b5&thumb=Y,,<div style='text-align: center;' align='center'><span style='font-size: 14pt;'>산책하듯 즐기는 문턱 낮은 문화예술 공간 서초문화재단 반포심산아트홀</span></div>,무료,,,,,,,
42.0,박물관/기념관,한국분재박물관,서울특별시 서초구 신흥안길 40-10,37.45313676,127.0758032,02-577-0002,,http://www.ktreedesign.com/,※ 하절기 (3월~10월) : 09:00~19:00  일요일(12:00~19:00)※ 동절기 (11월~2월) : 09:00~17:00  일요일(12:00~17:00),무료,없음,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100216&thumb=Y,,"<span style='font-size: 14pt;'>서울시 서초구 우면산 기슭의 1,200여평의 땅에 수령 500년이 되었다는 소사 나무, 바닷가의 내음을 풍길 듯한 해송, 작은 키에 열매를 주렁주렁 매단 과실나무, 매화와 백일홍 등의 분재가 전시되어 있습니다.</span><br>  <br><span style='font-size: 14pt;'>  이용시간 : </span><br><span style='font-size: 14pt;'>  하절기(3~10월) -&nbsp;평일 09:00~19:00 / 일 12:00~19:00</span><br><span style='font-size: 14pt;'>  동절기(11~2월) - 평일 09:00~17:00 / 일 12:00~17:00</span><br>  <br><span style='font-size: 14pt;'>  쉬는날 : 연중무휴</span><br>  <br><span style='font-size: 14pt;'>  관람소요시간 : 약 1시간 정도</span><br>",무료,,,,,,,
824.0,미술관,예술의전당 서울서예박물관,서울특별시 서초구 남부순환로 2406,37.4802402,127.0142152,02-580-1300,,https://www.sac.or.kr,,전시별 상이,매주 월요일,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=52e982b36306456e9eabe01e6554902f&thumb=Y,,<p>서예 작품 다수<br></p>,유료,,,,,,,
89.0,공연장,서초구민체육센터,서울 서초구 사평대로 55 서초구민체육센터.,37.49885315,126.9905157,02-591-6060,,http://www.seochoymca.com/,,,매월 넷째주 일요일,1994.10.27,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=67184cad8456426792ad790df5edab76&thumb=Y,,"<p><font face='돋움'>* 시설규모 - 지하 2층 지상 3층</font> </p> <p><font face='돋움' size='2'>*<b> 층별안내</b></font>  </p><table width='630' height='200' bordercolor='#808080' bordercolordark='#ffffff' border='1' cellspacing='0' cellpadding='3'> <tbody> <tr> <td width='15%' align='middle' valign='center' bgcolor='#fff2e6'> <p><font face='돋움' size='2'><b>구 분</b></font></p></td> <td width='46%' align='middle' valign='center' bgcolor='#fff2e6'> <p><font face='돋움' size='2'><b>시설명</b></font></p></td> <td width='38%' align='middle' valign='center' bgcolor='#fff2e6'> <p><font face='돋움' size='2'><b>비 고</b></font></p></td> </tr><tr> <td width='15%' align='middle' valign='center'> <p><font face='돋움' size='2'>지하 2층</font></p></td> <td width='46%' valign='center'> <p><font face='돋움' size='2'>라켓볼장</font></p></td> <td width='38%' valign='center'> <p><font face='돋움' size='2'>정규코트 4면, 샤워장</font></p></td> </tr><tr> <td width='15%' align='middle' valign='center'> <p><font face='돋움' size='2'>지하 1층</font></p></td> <td width='46%' valign='center'> <p><font face='돋움' size='2'>수영장, 안내, 남,여탈의실, 탁구장</font>  </p><p><font face='돋움' size='2'>녹색가게,용품점</font></p></td> <td width='38%' valign='center'> <p><font face='돋움' size='2'>수영장-25M 6개 레인+유아풀</font>  </p><p><font face='돋움' size='2'>탁구장-탁구대 6개</font></p></td> </tr><tr> <td width='15%' align='middle' valign='center'> <p><font face='돋움' size='2'>지상 1층</font></p></td> <td width='46%' valign='center'> <p><font face='돋움' size='2'>접수, 집회실, 헬스장, 프로그램실<br>  에어로빅장, 아기스포츠단, 매점, 경비</font></p></td> <td width='38%' valign='center'><font face='돋움' size='2'><br>  </font></td> </tr><tr> <td width='15%' align='middle' valign='center'> <p><font face='돋움' size='2'>지상 2층</font></p></td> <td width='46%' valign='center'> <p><font face='돋움' size='2'>농구장, 유도장</font></p></td> <td width='38%' valign='center'> <p><font face='돋움' size='2'>농구장-정규코트 1면</font></p></td> </tr><tr> <td width='15%' align='middle' valign='center'> <p><font face='돋움' size='2'>지상 3층</font></p></td> <td width='46%' valign='center'> <p><font face='돋움' size='2'>골프장</font></p></td> <td width='38%' valign='center'> <p>&nbsp;</p></td></tr></tbody></table><p></p><font face='돋움'>*<b> 자유이용안내</b></font><br>   <table width='630' height='700' bordercolor='#808080' bordercolordark='#ffffff' border='1' cellspacing='0' cellpadding='3'> <tbody> <tr> <td width='12%' align='middle' bgcolor='#d0ecff'><b><font face='돋움' size='2'>반명</font></b></td> <td width='14%' align='middle' bgcolor='#d0ecff'><b><font face='돋움' size='2'>요 일</font></b></td> <td width='20%' align='middle' bgcolor='#d0ecff'><b><font face='돋움' size='2'>시 간</font></b></td> <td width='20%' align='middle' bgcolor='#d0ecff'><b><font face='돋움' size='2'>대 상</font></b></td> <td width='34%' align='middle' bgcolor='#d0ecff'><b><font face='돋움' size='2'>회 비</font></b></td></tr> <tr> <td width='12%' align='middle' rowspan='8'> <p align='center'><font face='돋움' size='2'>수 영<br>  (일일회원)</font></p></td> <td width='14%' align='middle' rowspan='4'><font face='돋움' size='2'>월 ~ 금</font></td> <td width='20%' align='middle' rowspan='2'> <p align='center'><font face='돋움' size='2'>12:00 ~ 13:50</font></p></td> <td width='20%' align='middle' rowspan='14'> <p align='center'><font face='돋움' size='2'>누구나</font>  </p><p><font face='돋움' size='2'>* 미취학 아동은<br>  보호자 동반</font>  </p><p><font face='돋움' size='2'>* 3세 이상은 초등 학생 요금 적용</font>  </p><p><font face='돋움' size='2'>* 경로우대는 65세 이상 신분증 소지자에 한함</font></p> <p>　</p></td> <td width='34%' align='middle'><font face='돋움' size='2'>초등학생-1,500원(경로)</font></td></tr> <tr> <td width='34%' align='middle' rowspan='2'><font face='돋움' size='2'>중?고생-2,500원</font></td></tr> <tr> <td width='20%' align='middle' rowspan='2'><font face='돋움' size='2'>22:00 ~ 23:20</font> </td></tr> <tr> <td width='34%' align='middle'><font face='돋움' size='2'>성 인-3,500원</font></td></tr> <tr> <td width='14%' align='middle' rowspan='4'><font face='돋움' size='2'>일?공휴일</font> </td> <td width='20%' align='middle' rowspan='2'><font face='돋움' size='2'>11:00 ~ 13:50</font></td> <td width='34%' align='middle'><font face='돋움' size='2'>초등학생-2,500원(경로)</font></td></tr> <tr> <td width='34%' align='middle' rowspan='2'><font face='돋움' size='2'>중?고생-3,000원</font></td></tr> <tr> <td width='20%' align='middle' rowspan='2'><font face='돋움' size='2'>15:00 ~ 17:50</font> </td></tr> <tr> <td width='34%' align='middle'><font face='돋움' size='2'>성 인-4,500원</font></td></tr> <tr> <td width='12%' align='middle' rowspan='6'><font face='돋움' size='2'>수 영<br>  (월 회원)</font> </td> <td width='14%' align='middle' rowspan='6'> <p align='center'><font face='돋움' size='2'>월 ~ 금</font></p></td> <td width='20%' align='middle' rowspan='3'><font face='돋움' size='2'>12:00 ~ 13:50</font></td> <td width='34%' align='middle'><font face='돋움' size='2'>초등학생-32,000원(경로)</font></td></tr> <tr> <td width='34%' align='middle'><font face='돋움' size='2'>중?고생-41,000원</font></td></tr> <tr> <td width='34%' align='middle'><font face='돋움' size='2'>성 인-58,000원</font></td></tr> <tr> <td width='20%' align='middle' rowspan='3'><font face='돋움' size='2'>22:00 ~ 23:20</font></td> <td width='34%' align='middle'><font face='돋움' size='2'>초등학생-32,000원(경로)</font></td></tr> <tr> <td width='34%' align='middle'><font face='돋움' size='2'>중?고생-41,000원</font></td></tr> <tr> <td width='34%' align='middle'><font face='돋움' size='2'>성 인-58,000원</font></td></tr> <tr> <td width='12%' valign='center' rowspan='4'> <p align='center'><font face='돋움' size='2'>라켓볼</font></p></td> <td width='14%' valign='center'> <p align='center'><font face='돋움' size='2'>월 ~ 금</font></p></td> <td width='17%' valign='center'> <p align='center'><font face='돋움' size='2'>13:00 ~ 16:50 , 21:00 ~ 22:50</font></p></td> <td width='20%' valign='center' rowspan='4'> <p align='center'><font face='돋움' size='2'>누구나<br>  (30분)</font> </p></td> <td width='34%' valign='center'> <p align='center'><font face='돋움' size='2'>초?중고생-3,000원</font></p></td></tr> <tr> <td width='14%' valign='center'> <p align='center'><font face='돋움' size='2'>토</font></p></td> <td width='17%' valign='center'> <p align='center'><font face='돋움' size='2'>13:00 ~ 18:00</font></p></td> <td width='34%' valign='center'> <p align='center'><font face='돋움' size='2'>성 인-4,000원</font></p></td></tr> <tr> <td width='14%' valign='center' rowspan='2'> <p align='center'><font face='돋움' size='2'>일?공휴일</font></p></td> <td width='17%' valign='center'> <p align='center'><font face='돋움' size='2'>11:00 ~ 13:50</font></p></td> <td width='34%' valign='center'> <p align='center'><font face='돋움' size='2'>초?중고생-4,000원</font></p></td></tr> <tr> <td width='17%' valign='center'> <p align='center'><font face='돋움' size='2'>15:00 ~ 17:50</font></p></td> <td width='34%' valign='center'> <p align='center'><font face='돋움' size='2'>성 인-5,000원</font></p></td></tr> <tr> <td width='12%' valign='center' rowspan='3'> <p align='center'><font face='돋움' size='2'>농 구</font></p></td> <td width='14%' valign='center' rowspan='3'> <p align='center'><font face='돋움' size='2'>일?공휴일<br>  (셋째주제외) </font> </p><p align='center'><font face='돋움' size='2'>셋째주는 <br>  배드민턴</font></p></td> <td width='17%' valign='center' rowspan='3'> <p align='center'><font face='돋움' size='2'>14:00 ~ 17:00</font></p></td> <td width='20%' valign='center' rowspan='3'> <p align='center'><font face='돋움' size='2'>누구나</font></p></td> <td width='34%' valign='center'> <p align='center'><font face='돋움' size='2'>초등학생-2,000원</font></p></td></tr> <tr> <td width='34%' valign='center'> <p align='center'><font face='돋움' size='2'>중?고생-2,000원</font></p></td></tr> <tr> <td width='34%' valign='center'> <p align='center'><font face='돋움' size='2'>성 인-3,000원</font></p></td></tr> <tr> <td width='12%' valign='center' rowspan='4'> <p align='center'><font face='돋움' size='2'>탁 구</font></p></td> <td width='14%' valign='center' rowspan='2'> <p align='center'><font face='돋움' size='2'>월 ~ 금</font></p></td> <td width='17%' valign='center' rowspan='2'> <p align='center'><font face='돋움' size='2'>13:00 ~ 18:00</font></p></td> <td width='20%' valign='center' rowspan='4'> <p align='center'><font face='돋움' size='2'>누구나</font>  </p><p><font face='돋움' size='2'>* 경로우대는 65세 이상 신분증 소지자에 한함</font></p></td> <td width='34%' valign='center'> <p align='center'><font face='돋움' size='2'>단식/복식<br>  초?중고생-1,500/2,000원(경로)</font></p></td></tr> <tr> <td width='34%' valign='center'> <p align='center'><font face='돋움' size='2'>성 인-2,000/2,500원</font></p></td></tr> <tr> <td width='14%' valign='center' rowspan='2'> <p align='center'><font face='돋움' size='2'>일?공휴일</font></p></td> <td width='17%' valign='center'> <p align='center'><font face='돋움' size='2'>11:00 ~ 13:50</font></p></td> <td width='34%' valign='center'> <p align='center'><font face='돋움' size='2'>단식/복식<br>  초?중고생-2,000/2,500원(경로)</font></p></td></tr> <tr> <td width='17%' valign='center'> <p align='center'><font face='돋움' size='2'>15:00 ~ 17:50</font></p></td> <td width='34%' valign='center'> <p align='center'><font face='돋움' size='2'>성 인-2,500/3,000원</font></p></td></tr> <tr> <td width='12%' valign='center' rowspan='2'> <p align='center'><font face='돋움' size='2'>배드민턴</font></p></td> <td width='14%' valign='center' rowspan='2'> <p align='center'><font face='돋움' size='2'>매월<br>  셋째주일요일</font></p></td> <td width='17%' valign='center' rowspan='2'> <p align='center'><font face='돋움' size='2'>14:00 ~ 17:00</font></p></td> <td width='20%' valign='center' rowspan='2'> <p align='center'><font face='돋움' size='2'>누구나</font></p></td> <td width='34%' valign='center'> <p align='center'><font face='돋움' size='2'>중?고생-2,000원</font></p></td></tr> <tr> <td width='34%' valign='center'> <p align='center'><font face='돋움' size='2'>성 인-3,000원</font></p></td></tr></tbody></table><br>  <br>  <br>",유료,,,,,,,
92.0,공연장,서초문화예술회관 (구 서초구민회관),서울특별시 서초구 강남대로 201,37.48170939,127.0358612,02-2155-8301~5,,https://www.seocho.go.kr/site/seocho/05/10504010300002015070811.jsp,,,일요일 휴무,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100833&thumb=Y,,"<ul> <li> <h3>시설물 현황</h3></li></ul> <p><b class='point'>1.위 치 :</b> 서초구 양재동 25번지 </p> <p><b class='point'>2.규 모 :</b> 연면적 : 4,068㎡ (지하ㅣ층, 지상4층) </p> <p><b class='point'>3.주 차 장 :</b> 80대주차가능 (주차요금 10분당 500원) </p> <p><b class='point'>4.안내전화 :</b> 2155-8301 </p> <p><b class='point'>5. 층별시설현황</b> </p> <p>&nbsp;&nbsp; - 지하1층 : 제1연습실, 제2연습실, 요리교실 </p> <p>&nbsp;&nbsp; - 지상1층 : 대강당, 서초문화원 제1강의실, 바둑교실, 사무실 </p> <p>&nbsp;&nbsp; - 지상2층 : 기능교실강의실, 분장실, 자원봉사센터, 건강가정지원센터, 상이군경연합회, 서초문화원 </p> <p>&nbsp;&nbsp; - 지상3,4층 : 독서실</p>",무료,,,,,,,
137.0,기타,내곡느티나무쉼터,서울특별시 서초구 염곡말길 9,37.46182406,127.050699,02-6953-7133~4 ,,https://ntwelfare.org/,,,"토요일, 법정공휴일",,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000101247&thumb=Y,,<p>서초구립 느티나무쉼터는 신중년(5070세대)을 위한 어르신문화여가복합시설(시설종류: 노인복지관)로써 새로운 형태의 노인여가복지시설</p><p><br></p><p><b>이용안내</b></p><p>- 대상 : 서초구민 만 55세 이상<br>- 구비서류 : 신분증 또는 주민등록등본<br>- 장소 : 내곡쉼터 2층 안내데스크<br>- 시간 : 평일 10:00~17:00 (점심시간 제외)</p><p><br></p><p>* 자료출처 : 서초구립느티나무쉼터 홈페이지</p>,무료,,,,,,,
153.0,미술관,유리지공예관,서울특별시 서초구 중앙로 555,37.45775784,127.0123542,02-578-6663,,http://yoolizzycraftmuseum.org/wp/,,,"매주월요일,공휴일",,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100934&thumb=Y,,"<div style='text-align: center;' align='center'><span style='font-size: 14pt;'><b>한국 현대공예운동의 거점공간을 지향하는 비영리 금속공예 전문 미술관</b></span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'><br></span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>유리지 공예관(구 치우금속공예관)은 2004년 10월 8일 한국공예의 전통 속에 내재한 미적 특질을 현대미술의 흐름과 연계하여 연구?조사, 수집?전시, 학습?체험하는 비영리 사</span><span style='font-size: 14pt;'>립</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>미술관으로 설립되어 2005년 제 1종 미술관으로 등록되었습니다. 유리지 공예관은 다음과 같은 구체적 목표를 가지고 비영리기관으로서 그 역할과 사명을 실천해가고자 합</span><span style='font-size: 14pt;'>니다.</span></div><div style='text-align: center;' align='center'><span style='font-size: 12px;'><br></span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>현대미술 속에서 공예의 정체성과 비영리 금속공예 전문 미술관으로서의 위상 정립</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>한국 현대금속공예의 사회적, 국제적 교류성 진작</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>작가자료 축적을 통해 한국금속공예의 이론 및 역사적 연구를 위한 초석 마련</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>차세대 작가의 발굴 및 지원</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>현대금속공예와 대중과의 소통 증진</span></div>",무료,,,,,,,
176.0,도서관,서초구립반포도서관,서울특별시 서초구 고무래로 34,37.50248707,127.0125134,02-520-8700,,https://www.seocholib.or.kr/,,,"매주 월요일, 법정 공휴일",,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000101363&thumb=Y,,"<div><span style='font-size: 14pt;'>서초구의 대표 종합도서관인 서초구립반포도서관은 2013년에 개관하였으며, 책과 문화를 통해 지역사회와 소통하는 ‘문화가 있는 도서관’입니다.&nbsp;</span></div><div><span style='font-size: 14pt;'>문화예술의 향유 및 인문독서 함양의 기회를 제공하는 등 지역 인프라를 활용한 문화콘텐츠를 개발하고 있으며, 생애주기별 독서?문화 프로그램을&nbsp;</span></div><div><span style='font-size: 14pt;'>통해 교육, 문화, 사회적 기능을 수행하는데 최선을 다하고 있습니다.</span></div><div><span style='font-size: 12px;'><br></span></div><div><span style='font-size: 14pt;'>서초구립반포도서관은 전문적이고 차별화된 독서?문화 프로그램을 통해 어린이와 청소년의 창의력 개발을 돕고, 주민의 평생학습 및 문화향유의&nbsp;</span></div><div><span style='font-size: 14pt;'>기회를 제공하면서&nbsp; 지역사회와 함께 성장해가는 도서관입니다. 서초구립반포도서관은 책과 사람, 문화가 만나는 커뮤니티 공간으로서, 이용자를&nbsp;</span></div><div><span style='font-size: 14pt;'>배려하고 따뜻함이 묻어나는 공간입니다.</span></div><div><span style='font-size: 12px;'><br></span></div><div><span style='font-size: 14pt;'><b>운영시간</b></span></div><div><span style='font-size: 14pt;'>평일 09:00~22:00(종합자료실1?2)</span></div><div><span style='font-size: 14pt;'>09:00~18:00(어린이자료실)</span></div><div><span style='font-size: 14pt;'>주말 09:00~18:00(도서관전체)</span></div>",무료,"9호선 사평역 2번 출구에서 약 500m(도보 5분), 7호선 반포역 3번 출구에서 약 900m(도보 10분), 2, 3호선 교대역 6번 출구에서 마을버스 승차, 강남고속터미널 도보 15분",,,,,,6020번 공항버스
184.0,기타,서초여성가족플라자,서울특별시 서초구 잠원로8길 38,37.51355119,127.0121064,02-522-0291,,https://www.women.co.kr/seocho/index.do,,,정기휴무 (매주 일요일),,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000101254&thumb=Y,,<div style='text-align: center;' align='center'><span style='font-size: 14pt;'>서초여성가족플라자는 서초구 여성의 경쟁력 향상과 사회참여 및 복지증진을 통한 양성평등 실현을 위해 1998년 설립된 기관입니다.</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>서초여성가족플라자는 양성평등을 기반으로 한 생애교육과 커리어개발을 통해 여성과 가족의 적극적인 참여와 소통으로 꿈을 이룰 수 있는&nbsp;</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>환경을 조성하고자 합니다.</span></div>,무료,,,,,,,
188.0,공연장,한전아트센터,서울특별시 서초구 효령로72길 60,37.48560466,127.0280788,02-2105-8133,,https://home.kepco.co.kr/kepco/AR/main.do,10:00~22:00,,없음,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100198&thumb=Y,"■ 기    타 : 콘서트홀 - 5,280㎡ (1,600평) 객 석 - 2층 1000석 규모 무대면적 - 396㎡ (120평) 오케스트라 Box 면적 : 53㎡ (16평) 무대천정높이: 28.9m","<div style='text-align: center;' align='center'><span style='font-size: 14pt;'>최첨단 설비와 시스템을 갖춘 복합 문화공간, 한전 아츠풀센터가 2001년 4월 개관 하였다. 4월 10일부터 5월 29일까지의 개관페스티벌을 시작으로 클래식, 무용, 연극, 뮤지컬</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>등 전문 예술공연뿐 아니라 어린이, 청소년, 주부를 대상으로 하는 다양한 기획공연과 교육 프로그램, 지역 주민과 함께 하는 축제 및 심야 예술영화 등 다채로운 프로그램을</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>선보일 예정이다. 관객중심의 쾌적하고 편리한 공연장 운영과 대중적이면서도 독창적인 공연프로그램 개발을 통해 예술가들에게는 기량을 마음껏 발휘할 수 있는 장이 될 것</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>이다.</span></div>",유료,,,,,,,
