번호,주제분류,문화시설명,문화시설주소,위도,경도,전화번호,팩스번호,홈페이지,관람시간,관람료,휴관일,개관일자,객석수,대표이미지,기타사항,시설소개,무료구분,지하철,버스정거장,YELLOW,GREEN,BLUE,RED,공항버스
25.0,도서관,문래도서관,서울특별시 영등포구 문래로20길 49,37.51685657,126.8908946,02)2629-8600,02)2629-8601,https://www.ydplib.or.kr/mllib/index.do,,유료,매주 월요일 일요일을 제외한 법정공휴일,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=434f3e2652374f7c972d16f51ab93405&thumb=Y,,■ 이용시간<br>   <table border='1' cellspacing='1' cellpadding='0'> <colgroup> <col width='20%'> </colgroup><tbody> <tr> <th>자 료 실</th> <th>평 일</th> <th>주 말</th> <th>휴 관 일</th></tr> <tr> <td>어린이(유아)열람실</td> <td>09 : 00 ~ 18 : 00</td> <td rowspan='3'>09 : 00 ~ 17 : 00</td> <td class='left' rowspan='4'><span class='red'>&nbsp;&nbsp;&nbsp; - 매주 금요일</span><br>  <br>  &nbsp;&nbsp;&nbsp; - 법정 공휴일<br>  <br>  &nbsp;&nbsp;&nbsp; - 특별한 사유로 관장이 정한 경우 <br>  &nbsp;&nbsp;&nbsp;&nbsp;(장서점검 및 시설유지 보수 등) </td></tr> <tr> <td>종합자료실</td> <td>09 : 00 ~ 20 : 00</td></tr> <tr> <td>전자정보열람실</td> <td>09 : 00 ~ 20 : 00</td></tr> <tr> <td>일반열람실</td> <td colspan='2'>07 : 00 ~ 22 : 00</td></tr></tbody></table>,무료,,,,,,,
86.0,문화원,영등포문화원,서울특별시 영등포구 신길로 275,37.51612662,126.9121264,02-846-0155~6,02-846-0157,http://www.ydpcc.co.kr/,,,정보없음,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=3ca55adbeb2c4f54a7e7fbc0639c1e6a&thumb=Y,,"<span style='font-size: 14pt;'>1층</span><br><span style='font-size: 14pt;'>   &nbsp;- 전시실 : 회원여러분이 만든 작품들을 전시하는 공간입니다.</span><br><span style='font-size: 14pt;'>   &nbsp;- 다목적 강당 : 특별강의 , 기획강의 등 다양하게 사용되는 강당입니다.</span><br>   <br><span style='font-size: 14pt;'>   2층</span><br><span style='font-size: 14pt;'>   &nbsp;- 제5강의실, 제6강의실, 예술인 사랑방, 문화정보센터, 영상실, 실습실(A), 실습실(B)</span><br><span style='font-size: 14pt;'>   &nbsp;&nbsp;&nbsp; 휴게실, 문화원사무국, 원장실, 부원장실</span><br>   <br><span style='font-size: 14pt;'>   3층</span><br><span style='font-size: 14pt;'>   &nbsp; - 제1강의실, 제2강의실, 제3강의실(미술, 서예교실), 휴게실, 다목적실, 소강당</span>",유료,,,,,,,
128.0,공연장,KBS홀,서울특별시 영등포구 여의공원로 13,37.52596989,126.9167168,02-781-1000,,http://office.kbs.co.kr/kbshall/,,,정보없음,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=a0c7f5d3519240e691811ab891b1b2dc&thumb=Y,"주차시설 이용 : 방문객 주차장 이용 (평일 오후 6시 이후는 무료, 토요일 오후 1시 이후 무료)","<p><span style='font-size: 14pt;'>KBS홀은 국내 최대 면적을 갖춘 무대를 비롯, 각종 공연과 행사에 필요한 최첨단 기능의 무대장치, 음향, 조명시설 등을 완비한 국제규모의 다목적홀이다. </span><br><span style='font-size: 14pt;'>  &nbsp;</span><br><span style='font-size: 14pt;'>  &nbsp;- 지하2층, 지상 7층으로 1990년 4월 30일 완공 (1991년 9월7일 개관)</span><br><span style='font-size: 14pt;'>  - 동서66m 남북 115m 높이 40m의 철근 콘크리트 건물로서 연면적 3,300평(10,890㎡)</span><br><span style='font-size: 14pt;'>  - KBS홀 내부 규모 :1,441평(무대 591평, 객석 414평, 로비 436평)</span><br><span style='font-size: 14pt;'>  - KBS홀의 총 좌석수 : 1,661석(1층 : 995석, 2층 : 526석, 가변석 : 140석)</span></p> <p><span style='font-size: 14pt;'>KBS홀은 원형으로 골격이 이루어진 다목적홀로서 옥외의 돌출된 삼각형 스페이스 후레임의 대비에 의해 그 존재가 더욱 뚜렷하게 드러나고 있다. 로비의 공간을 둥근형태로 유지하면서 확장시키기 위하여 또 다른 원형공간을 덧붙이는 아트리움 구성 기법이 특이하다. </span><br><span style='font-size: 14pt;'>  대규모 공간을 요구하는 국내의 콘서트 행사를 비롯, 가요제, 발레, 국제예술제, 실내악, 관악제, 오페라, 민속예술 공연 등 각종 공연행사의 개최가 가능하며 공공행사나 시상식, 국제회의 ,세미나 등의 개최시에도 활용될 수 있도록 꾸며진 공간이다.</span><br><span style='font-size: 14pt;'>  도심속에서도 자연을 경험할 수 있게끔 만들자는 것이 바로 KBS홀의 기본 조경개념이다.</span><br><span style='font-size: 14pt;'>  KBS홀의 외곽을 장식하고 있는 여러 가지 형태의 정원들은 각각 분수대, 연못, 조각품 그리고 각종 조형물들로 조화를 이루고 있다.</span><br><span style='font-size: 14pt;'>  KBS홀 광장은 비롯한 정원에 배치되어 있는 수준 높은 조형작품들은 하나하나가 독립된 예술품이 아니라 모든 작품들이 한데 어우러져 다양한 문화활동을 수용하는 자연공원의 풍부함을 표현하는 것이다</span><br><span style='font-size: 14pt;'>  &nbsp;</span><br>  &nbsp;<br>  </p>",유료,,,,,,,
152.0,도서관,대림도서관,서울특별시 영등포구 도신로 27,37.50429681,126.896056,02-828-3700,02-828-3701,https://www.ydplib.or.kr/drlib/index.do,,,"매주 월요일, 일요일을 제외한 법정공휴일",,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=cb93c55bd50c4f528c38fc8705dc77b3&thumb=Y,,<p> </p><table style='width: 577px; height: 316px;' cellspacing='0' cellpadding='0'> <thead> <tr> <th>위치</th> <th>실별안내</th> <th>실별내용</th> <th>좌석수</th></tr></thead> <tbody> <tr> <td rowspan='2'>4층</td> <td>일반열람실</td> <td class='left'>학습전용공간</td> <td>102석</td></tr> <tr> <td>문화교실</td> <td class='left'>문화교양강좌</td> <td>8석</td></tr> <tr> <td>3층</td> <td>종합자료실</td> <td class='left'>- 일반도서 열람 / 대출<br>  - 신문 및 잡지 / 참고도서 </td> <td>36석</td></tr> <tr> <td rowspan='3'>2층</td> <td>전자정보열람실 </td> <td class='left'>정보검색 / 문서편집 / DVD . CD 감상</td> <td>24석</td></tr> <tr> <td>문화강좌실 </td> <td class='left'>문화교양강좌</td> <td>35석</td></tr> <tr> <td>취미교실 </td> <td class='left'>취미교양강좌</td> <td>12석</td></tr> <tr> <td rowspan='3'>1층</td> <td>어린이유아열람실 </td> <td class='left'>어린이도서 및 유아도서 열람 / 대출</td> <td>24석</td></tr> <tr> <td>사무실 </td> <td class='left'>행정지원 및 기획협력 직원사무공간</td> <td rowspan='2'>-</td></tr> <tr> <td>고객만족센터 </td> <td class='left'>회원가입 및 시설안내</td></tr> <tr> <td rowspan='2'>지하1층</td> <td>다목적실 </td> <td class='left'>세미나 및 영화감상</td> <td>80석</td></tr> <tr> <td>카페테리아(매점) </td> <td class='left'>이용자 편의시설</td> <td>24석</td></tr></tbody></table><p></p>,무료,,,,,,,
167.0,문화예술회관,영등포아트홀,서울 영등포구 국회대로596 영등포구민회관,37.5262451,126.9001286,02-2670-4080,02-2068-9496,https://www.instagram.com/ydparthall/,,,"매주 일,월",,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=43c83c43b2324a15bbeb7fdcd1c7fb78&thumb=Y,,"<div style='text-align: center;' align='center'><span style='font-size: 14pt;'>운영시간: 06:00 ~ 22:00</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>화~금(평일) : 09:00~18:00</span></div><div style='text-align: center;' align='center'><span style='font-size: 14pt;'>토, 일, 공유일 미개방 (단, 공연이 있을 경우 3시간전부터 유료운영)</span></div>",유료,,,,,,,
169.0,도서관,국회도서관,서울특별시 영등포구 의사당대로 1,37.53291197,126.9164039,02-6788-4211,,http://www.nanet.go.kr,월요일~금요일 : 오전 9시~오후10시(야간이용시간 : 오후6시~오후10시)  토요일~일요일 : 오전9시~오후5시,,"매월 둘째, 넷째 토요일/ 일요일을 제외한 공휴일(공휴일과 겹친 토요일, 일요일 휴관)",,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=35d8fa64c3144d14bbad8233ae97dbbd&thumb=Y,,"<ul> <li style='font-size: 14pt;'><span style='font-size: 14pt;'>열람대상</span></li></ul> <ul class='Contents-01 MarginLast' _extended='true'> <li _extended='true' style='font-size: 14pt;'><span style='font-size: 14pt;'>전ㆍ현직 국회의원 및 국회 소속 공무원</span></li> <li _extended='true' style='font-size: 14pt;'><span style='font-size: 14pt;'>평생열람증 및 명예열람증 소지자</span></li> <li _extended='true' style='font-size: 14pt;'><span style='font-size: 14pt;'>대학생 또는 18세 이상인 자</span></li> <li _extended='true' style='font-size: 14pt;'><span style='font-size: 14pt;'>중?고등학생 중 소속 학교의 학교장 또는 사서교사 또는 도서업무 담당 교직원의 추천을 받은 자</span></li> <li _extended='true' style='font-size: 14pt;'><span style='font-size: 14pt;'>12세 이상 17세 이하의 비재학 청소년 중 선출직 공직자(국회의원, 교육감, 교육위원, 광역자치단체장, 광역의회의원, 기초자치단체장, 기초의회의원) 또는 공공도서관장 또는 기초행정구역의 책임자(구청장, 동장, 읍장, 면장)의 추천을 받은 자</span></li> <li _extended='true' style='font-size: 14pt;'><span style='font-size: 14pt;'>그 밖에 도서관 소장자료가 필요하다고 국회도서관장이 인정한 자</span></li><!--20111004 li한줄 추가--> <li _extended='true' style='font-size: 14pt;'><span style='font-size: 14pt;'>외국인의 경우 여권 또는 외국인등록증 소지자</span></li><!-- 20110511 최성호 수정 					     20110526 2차 수정--></ul> <p>&nbsp;</p>",무료,,,,,,,
171.0,기타,영등포구청,서울특별시 영등포구 당산로 123,37.52626292,126.8959527,02-2670-3114,02-2670-3002,http://www.ydp.go.kr,,,"매주 토요일, 법정공휴일",,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100816&thumb=Y,,<p>영등포구의 행정과 민원을 담당하는 기관입니다.</p>,무료,,,,,,,
268.0,공연장,여의도한강공원물빛무대,서울 영등포구 여의도동 84-1,37.53287894,126.9291297,02-3780-0799,,http://www.floating-stage.com/,,,-,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=befa73b30fe24ea4aa76ad4fbd923149&thumb=Y,,"<span style='font-size: 14pt;'><b>여의도물빛무대는 세계최초의 개폐식 수상무대로 다양한 연출이 가능한 멀티미디어 시스템을 갖춘 사울 최고의 야외공연장입니다. 이번 주말 사랑하는 가족, 친구, 연인과 여의도 물빛무대로 오세요.</b></span><div><br>  <div><b><br>  </b></div><div><b><span style='font-size: 18pt;'>세계 최초의 개폐식 수상무대</span></b></div><div><span style='font-size: 14pt;'>무대면적 562</span><span style='font-family: ' nanum='' barun='' gothic',='' 돋움;='' font-size:='' 14pt;'=''>m</span><sup style='font-family: ' nanum='' barun='' gothic',='' 돋움;'=''><font size='2'><span style='font-size: 14pt;'>2</span></font></sup><span style='font-size: 14pt;' nanum='' barun='' gothic',='' 돋움;='' font-size:='' 14pt;'=''>,<span style='font-size: 14pt;'>&nbsp;</span>실내객석 200석, 야외객석 2,200석 규모로 조성된 여의도 물빛무대는 강변을 배경으로 한 공연 문화 시설로서 세계최초의 개폐식 수상무대입니다.</span></div><div><b style='font-size: 10pt;'><br>  </b></div><div><b style='font-size: 10pt;'><span style='font-size: 18pt;'>물방울을 형상화한 디자인</span></b></div><div><span style='font-size: 14pt;'>윤창기와 장 샤오이가 공동 디자인한 여의도 물빛무대는 물속에서 떠오르는 물방울을 형상화한 모습으로 한강의 경관과 조화를 이루고 있으며 기능적으로는 물위에 둥둥 떠다니는 부유식 수상 구조물로 홍수에 대비해 물에 뜨는 구조로 제작되었습니다.</span></div><div><br>  </div><div><b><span style='font-size: 18pt;'>다양한 연출이 가능한 멀티미디어 시스템</span></b></div><div><span style='font-size: 14pt;'>음악에 맞춰 춤추는 음악분수 쇼와 화려한 레이저 쇼 등이 매일 주기적으로 운영되어 다양한 공간을 연출하고 외부표면의 LED는 다음날 기상상태에 따라 빛이 변하는 방식으로 일기예보 정보판이 되기도 합니다. 이러한 멀티미디어 시스템은 플로팅 스테이지만의 특화된 시스템으로 배경과 함께 어우러져 공연 뿐만 아니라 시민들에게 새로운 볼거리를 제공합니다.</span></div><div><br>  </div><div><b><span style='font-size: 18pt;'>강과 공원을 배경으로 한 최고의 야외공연장</span></b></div><div><span style='font-size: 14pt;'>한강의 경관을 배경으로 한 플로팅 스테이지는 세계 어느 공연장에서도 찾아볼 수 없는 최고의 절경이며, 야외 2,200석의 스탠드 객석과 너른들판, 물빛광장(피아노물길</span><span style='font-family: ' nanum='' barun='' gothic',='' 돋움;='' font-size:='' 14pt;'=''>?</span><span style='font-size: 14pt;'>빛의 폭포)등은 관람객들에게 자연의 편안함과 휴식공간</span><span style='font-size: 14pt;'>을 제공하여 한강 르네상스 프로젝트의 목적인 '회복'과 '창조'를 완벽히 실천하는 한강의 랜드마크입니다.</span></div><div><dd class='tit' style='margin: 0px; padding: 30px 50px 0px 350px; color: rgb(47, 34, 124); line-height: 50px; font-family: ' nanum='' barun='' gothic',='' 돋움;='' font-size:='' 20px;='' font-weight:='' 700;'=''><br style='color: rgb(47, 34, 124); text-transform: none; text-indent: 0px; letter-spacing: normal; font-family: ' nanum='' barun='' gothic',='' 돋움;='' font-size:='' 20px;='' font-style:='' normal;='' font-weight:='' 700;='' word-spacing:='' 0px;='' white-space:='' orphans:='' 2;='' widows:='' background-color:='' rgb(255,='' 255,='' 255);='' font-variant-ligatures:='' font-variant-caps:='' -webkit-text-stroke-width:='' text-decoration-style:='' initial;='' text-decoration-color:='' initial;'=''></dd></div></div>",무료,,,,,,,
294.0,기타,아트온더무브,서울특별시 영등포구 양산로 지하 200,37.52273452,126.9049592,070-8624-5753,,https://blog.naver.com/artonthemove,,,매주 일요일,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000101536&thumb=Y,,"<span style='font-size: 14pt;'>영등포시장역은 서울문화예술철도 사업의 일환으로 노후한 역사내 환경을 개선하여 지하철을 이용하는 시민들에게 문화예술적 경험을 제공하기 위해 시작되었습니다. 영등포시장역은 지하 1층부터 6층까지 마켓마당, 계단미술관, 라운지 사이, 크리에이티브 샘으로 구성되어있습니다.</span><div><br>    </div><div><span style='font-size: 14pt;'>그 중 라운지 사이는 지하철 역사내에 시민들이 문화예술을 경험할 수 있는 공간으로 기획되었습니다. 시장의 활기와 정겨움을 모티브로 삼아 문화예술을 공유할 수 있는 복합공간입니다. 크게 갤러리, 카페, 커뮤니티 룸으로 구성되어 운영되고 있습니다.</span></div><div><br>    </div><div><span style='font-size: 14pt;'>라운지 사이 갤러리는 기획 전시 또는 공간 사용 예약을 통한 전시가 진행되고 있습니다. 매 달 달라지는 전시를 무료로 감상할 수 있습니다. '문화예술'라는 단어가 익숙하지 않을 수 있는 시민들에게 좋은 공간, 좋은 전시들을 제공함으로써 문화예술의 경험의 턱을 낮추고자 합니다.</span></div><div><br>    </div><div><span style='font-size: 14pt;'>지하철 역에서 즐기는 '문화예술'. 풍부하고 다채로운 경험을 제공하기 위한 아트온더무브가 되겠습니다.</span></div>",무료,,,,,,,
410.0,문화예술회관,문래예술공장,서울특별시 영등포구 경인로88길 5-4,37.51321703,126.9001259,02-2676-4332,02-6008-7346,http://www.sfac.or.kr/,,,매주 월요일,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=456fe0f605c24499ac54cc162bcdc077&thumb=Y,,"<div><span style='font-size: 14pt;'><br></span></div><div><span style='font-size: 14pt;'>문래예술공장은 2010년부터 현재까지 문래창작촌의 예술인/단체 뿐만 아니라, 자유로운 실험예술과 다원예술을 지향하는 국내외 예술인/단체를 발굴 및 지원, 육성하고 있다.</span></div><div><span style='font-size: 14pt;'>블랙박스 극장 외에도 갤러리M30, 녹음실, 영상편집실 등의 전문적인 시설을 갖추고 있다.</span></div>",무료,,,,,,,
